;ENSCAFT00000027448_90_90;ENSCAFT00000027452_90_90;ENST00000271850_90_90;ENST00000302206_90_90;ENST00000323144_90_90;ENST00000328159_90_90;ENST00000330188_90_90;ENST00000341372_90_90;ENST00000341485_90_90;ENST00000368530_90_90;ENST00000368531_90_90;ENST00000368533_90_90;ENST00000509409_90_90;ENST00000509601_90_90;ENST00000515609_90_90;ENST00000611659_90_90;ENSMUST00000029549_90_90;ENSMUST00000118566_90_90;ENSMUST00000119158_90_90;ENSMUST00000119570_90_90;ENSMUST00000121503_90_90;ENSMUST00000127955_90_90;ENSMUST00000149432_90_90
ENSCAFT00000027448_90_90;1.0;0.48;0.355;0.4;0.545;0.44;0.545;0.375;0.2;0.5;0.4;0.4;0.095;0.136;0.042;0.36;0.357;0.52;0.48;0.48;0.667;0.105;0.263
ENSCAFT00000027452_90_90;0.48;1.0;0.577;0.5;0.571;0.4;0.65;0.455;0.261;0.64;0.417;0.478;0.1;0.143;0.091;0.435;0.762;0.85;0.895;0.44;0.545;0.111;0.278
ENST00000271850_90_90;0.355;0.577;1.0;0.28;0.357;0.481;0.407;0.542;0.36;0.704;0.5;0.56;0.08;0.16;0.261;0.52;0.75;0.5;0.519;0.519;0.345;0.087;0.167
ENST00000302206_90_90;0.4;0.5;0.28;1.0;0.5;0.3;0.6;0.438;0.25;0.333;0.316;0.389;0.083;0.0;0.0;0.333;0.333;0.4;0.421;0.35;0.471;0.222;0.556
ENST00000323144_90_90;0.545;0.571;0.357;0.5;1.0;0.6;0.875;0.526;0.368;0.462;0.722;0.632;0.267;0.312;0.0;0.579;0.417;0.545;0.65;0.435;0.632;0.133;0.333
ENST00000328159_90_90;0.44;0.4;0.481;0.3;0.6;1.0;0.6;0.722;0.556;0.429;0.833;0.833;0.235;0.353;0.0;0.778;0.565;0.5;0.4;0.591;0.571;0.118;0.222
ENST00000330188_90_90;0.545;0.65;0.407;0.6;0.875;0.6;1.0;0.611;0.444;0.462;0.632;0.722;0.267;0.312;0.0;0.667;0.478;0.545;0.571;0.5;0.632;0.133;0.333
ENST00000341372_90_90;0.375;0.455;0.542;0.438;0.526;0.722;0.611;1.0;0.562;0.321;0.765;0.875;0.2;0.25;0.0;0.812;0.65;0.375;0.391;0.684;0.429;0.143;0.267
ENST00000341485_90_90;0.2;0.261;0.36;0.25;0.368;0.556;0.444;0.562;1.0;0.172;0.588;0.688;0.154;0.417;0.0;0.625;0.429;0.2;0.208;0.45;0.227;0.0;0.067
ENST00000368530_90_90;0.5;0.64;0.704;0.333;0.462;0.429;0.462;0.321;0.172;1.0;0.345;0.345;0.08;0.115;0.261;0.31;0.5;0.75;0.64;0.323;0.56;0.087;0.217
ENST00000368531_90_90;0.4;0.417;0.5;0.316;0.722;0.833;0.632;0.765;0.588;0.345;1.0;0.882;0.25;0.375;0.0;0.824;0.591;0.4;0.478;0.619;0.455;0.125;0.235
ENST00000368533_90_90;0.4;0.478;0.56;0.389;0.632;0.833;0.722;0.875;0.688;0.345;0.882;1.0;0.25;0.375;0.0;0.938;0.667;0.4;0.417;0.7;0.455;0.125;0.235
ENST00000509409_90_90;0.095;0.1;0.08;0.083;0.267;0.235;0.267;0.2;0.154;0.08;0.25;0.25;1.0;0.25;0.0;0.267;0.095;0.095;0.1;0.1;0.111;0.2;0.125
ENST00000509601_90_90;0.136;0.143;0.16;0.0;0.312;0.353;0.312;0.25;0.417;0.115;0.375;0.375;0.25;1.0;0.0;0.4;0.19;0.136;0.143;0.2;0.158;0.0;0.0
ENST00000515609_90_90;0.042;0.091;0.261;0.0;0.0;0.0;0.0;0.0;0.0;0.261;0.0;0.0;0.0;0.0;1.0;0.0;0.087;0.087;0.091;0.0;0.0;0.0;0.0
ENST00000611659_90_90;0.36;0.435;0.52;0.333;0.579;0.778;0.667;0.812;0.625;0.31;0.824;0.938;0.267;0.4;0.0;1.0;0.619;0.36;0.375;0.65;0.409;0.133;0.25
ENSMUST00000029549_90_90;0.357;0.762;0.75;0.333;0.417;0.565;0.478;0.65;0.429;0.5;0.591;0.667;0.095;0.19;0.087;0.619;1.0;0.652;0.682;0.609;0.4;0.105;0.2
ENSMUST00000118566_90_90;0.52;0.85;0.5;0.4;0.545;0.5;0.545;0.375;0.2;0.75;0.4;0.4;0.095;0.136;0.087;0.36;0.652;1.0;0.85;0.37;0.667;0.105;0.263
ENSMUST00000119158_90_90;0.48;0.895;0.519;0.421;0.65;0.4;0.571;0.391;0.208;0.64;0.478;0.417;0.1;0.143;0.091;0.375;0.682;0.85;1.0;0.385;0.545;0.111;0.278
ENSMUST00000119570_90_90;0.48;0.44;0.519;0.35;0.435;0.591;0.5;0.684;0.45;0.323;0.619;0.7;0.1;0.2;0.0;0.65;0.609;0.37;0.385;1.0;0.545;0.111;0.211
ENSMUST00000121503_90_90;0.667;0.545;0.345;0.471;0.632;0.571;0.632;0.429;0.227;0.56;0.455;0.455;0.111;0.158;0.0;0.409;0.4;0.667;0.545;0.545;1.0;0.125;0.312
ENSMUST00000127955_90_90;0.105;0.111;0.087;0.222;0.133;0.118;0.133;0.143;0.0;0.087;0.125;0.125;0.2;0.0;0.0;0.133;0.105;0.105;0.111;0.111;0.125;1.0;0.4
ENSMUST00000149432_90_90;0.263;0.278;0.167;0.556;0.333;0.222;0.333;0.267;0.067;0.217;0.235;0.235;0.125;0.0;0.0;0.25;0.2;0.263;0.278;0.211;0.312;0.4;1.0
