;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.465;0.478;0.09;0.0;0.051;0.096;0.0;0.0;0.106;0.0;0.128;0.108;0.345;0.118;0.041;0.116
ENSCAFT00000023892_90_90;0.465;1.0;0.787;0.127;0.0;0.139;0.135;0.0;0.0;0.147;0.063;0.147;0.127;0.328;0.137;0.071;0.135
ENSCAFT00000043832_90_90;0.478;0.787;1.0;0.111;0.0;0.219;0.116;0.0;0.0;0.126;0.054;0.126;0.111;0.258;0.118;0.06;0.116
ENST00000292476_90_90;0.09;0.127;0.111;1.0;0.309;0.113;0.903;0.473;0.655;0.767;0.584;0.506;0.703;0.118;0.599;0.545;0.621
ENST00000412686_90_90;0.0;0.0;0.0;0.309;1.0;0.0;0.342;0.141;0.462;0.225;0.239;0.225;0.309;0.0;0.35;0.425;0.342
ENST00000430038_90_90;0.051;0.139;0.219;0.113;0.0;1.0;0.123;0.0;0.0;0.141;0.075;0.05;0.041;0.078;0.045;0.028;0.044
ENST00000436336_90_90;0.096;0.135;0.116;0.903;0.342;0.123;1.0;0.394;0.725;0.849;0.636;0.551;0.621;0.128;0.653;0.513;0.676
ENST00000440514_90_90;0.0;0.0;0.0;0.473;0.141;0.0;0.394;1.0;0.492;0.344;0.401;0.344;0.473;0.0;0.372;0.363;0.394
ENST00000441580_90_90;0.0;0.0;0.0;0.655;0.462;0.0;0.725;0.492;1.0;0.574;0.612;0.428;0.514;0.0;0.538;0.563;0.564
ENST00000451876_90_90;0.106;0.147;0.126;0.767;0.225;0.141;0.849;0.344;0.574;1.0;0.508;0.629;0.506;0.147;0.562;0.386;0.551
ENST00000452047_90_90;0.0;0.063;0.054;0.584;0.239;0.075;0.636;0.401;0.612;0.508;1.0;0.295;0.374;0.0;0.383;0.386;0.403
ENSMUST00000070487_90_90;0.128;0.147;0.126;0.506;0.225;0.05;0.551;0.344;0.428;0.629;0.295;1.0;0.767;0.255;0.875;0.54;0.849
ENSMUST00000160422_90_90;0.108;0.127;0.111;0.703;0.309;0.041;0.621;0.473;0.514;0.506;0.374;0.767;1.0;0.201;0.877;0.711;0.903
ENSMUST00000160574_90_90;0.345;0.328;0.258;0.118;0.0;0.078;0.128;0.0;0.0;0.147;0.0;0.255;0.201;1.0;0.226;0.12;0.22
ENSMUST00000160629_90_90;0.118;0.137;0.118;0.599;0.35;0.045;0.653;0.372;0.538;0.562;0.383;0.875;0.877;0.226;1.0;0.654;0.97
ENSMUST00000160762_90_90;0.041;0.071;0.06;0.545;0.425;0.028;0.513;0.363;0.563;0.386;0.386;0.54;0.711;0.12;0.654;1.0;0.683
ENSMUST00000162244_90_90;0.116;0.135;0.116;0.621;0.342;0.044;0.676;0.394;0.564;0.551;0.403;0.849;0.903;0.22;0.97;0.683;1.0
