;transcript52_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript64_ENSMUSG00000054036;transcript48_MGP-PahariEiJ-G0020237;transcript57_ENSMUSG00000054036;transcript7_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript52_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript8_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript41_ENSMUGG00000013649;transcript53_ENSRNOG00000031503
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.873;0.857;0.724;0.709;0.683;0.903;0.986;0.735;0.862;0.862;0.644;0.758;0.662;0.701;0.701;0.649;0.683
transcript63_MGP-CAROLIEiJ-G0020234;0.873;1.0;0.936;0.829;0.813;0.789;0.788;0.873;0.842;0.988;0.988;0.74;0.832;0.761;0.806;0.806;0.743;0.784
transcript64_ENSMUSG00000054036;0.857;0.936;1.0;0.835;0.828;0.795;0.774;0.857;0.857;0.925;0.925;0.753;0.887;0.775;0.821;0.821;0.757;0.736
transcript48_MGP-PahariEiJ-G0020237;0.724;0.829;0.835;1.0;0.98;0.96;0.653;0.724;0.975;0.821;0.821;0.878;0.752;0.902;0.956;0.956;0.896;0.874
transcript57_ENSMUSG00000054036;0.709;0.813;0.828;0.98;1.0;0.941;0.64;0.709;0.966;0.805;0.805;0.896;0.747;0.921;0.975;0.975;0.914;0.857
transcript7_MGP-PahariEiJ-G0020237;0.683;0.789;0.795;0.96;0.941;1.0;0.681;0.683;0.935;0.781;0.781;0.842;0.716;0.865;0.916;0.916;0.86;0.834
transcript62_MGP-CAROLIEiJ-G0020234;0.903;0.788;0.774;0.653;0.64;0.681;1.0;0.903;0.663;0.778;0.778;0.58;0.683;0.596;0.632;0.632;0.586;0.608
transcript52_ENSMUSG00000054036;0.986;0.873;0.857;0.724;0.709;0.683;0.903;1.0;0.735;0.862;0.862;0.644;0.758;0.662;0.701;0.701;0.649;0.683
transcript67_ENSMUSG00000054036;0.735;0.842;0.857;0.975;0.966;0.935;0.663;0.735;1.0;0.833;0.833;0.873;0.771;0.897;0.95;0.95;0.883;0.869
transcript9_MGP-CAROLIEiJ-G0020234;0.862;0.988;0.925;0.821;0.805;0.781;0.778;0.862;0.833;1.0;1.0;0.733;0.823;0.753;0.798;0.798;0.737;0.776
transcript9_MGP-PahariEiJ-G0020237;0.862;0.988;0.925;0.821;0.805;0.781;0.778;0.862;0.833;1.0;1.0;0.733;0.823;0.753;0.798;0.798;0.737;0.776
transcript40_ENSRNOG00000031503;0.644;0.74;0.753;0.878;0.896;0.842;0.58;0.644;0.873;0.733;0.733;1.0;0.847;0.972;0.917;0.917;0.973;0.806
transcript49_ENSRNOG00000031503;0.758;0.832;0.887;0.752;0.747;0.716;0.683;0.758;0.771;0.823;0.823;0.847;1.0;0.819;0.764;0.764;0.824;0.684
transcript8_ENSRNOG00000031503;0.662;0.761;0.775;0.902;0.921;0.865;0.596;0.662;0.897;0.753;0.753;0.972;0.819;1.0;0.943;0.943;0.946;0.829
transcript55_ENSRNOG00000031503;0.701;0.806;0.821;0.956;0.975;0.916;0.632;0.701;0.95;0.798;0.798;0.917;0.764;0.943;1.0;1.0;0.892;0.879
transcript54_ENSRNOG00000031503;0.701;0.806;0.821;0.956;0.975;0.916;0.632;0.701;0.95;0.798;0.798;0.917;0.764;0.943;1.0;1.0;0.892;0.879
transcript41_ENSMUGG00000013649;0.649;0.743;0.757;0.896;0.914;0.86;0.586;0.649;0.883;0.737;0.737;0.973;0.824;0.946;0.892;0.892;1.0;0.784
transcript53_ENSRNOG00000031503;0.683;0.784;0.736;0.874;0.857;0.834;0.608;0.683;0.869;0.776;0.776;0.806;0.684;0.829;0.879;0.879;0.784;1.0
