;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.818;0.935;0.941;1.0;0.824;1.0;0.941;0.824;0.941;0.941;0.941;0.941;0.824;0.824;0.824;0.824
transcript7_ENSMLUG00000027828;0.818;1.0;0.871;0.882;0.818;1.0;0.818;0.882;1.0;0.882;0.882;0.882;0.882;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.935;0.871;1.0;1.0;0.935;0.875;0.935;1.0;0.875;1.0;1.0;1.0;1.0;0.875;0.875;0.875;0.875
transcript7_ENSCCNG00000000226;0.941;0.882;1.0;1.0;0.941;0.886;0.941;1.0;0.886;1.0;1.0;1.0;1.0;0.886;0.886;0.886;0.886
transcript25_ENSMPUG00000020072;1.0;0.818;0.935;0.941;1.0;0.986;1.0;0.907;0.986;0.907;0.907;0.907;0.907;0.985;0.985;0.985;0.983
transcript25_ENSMLUG00000027828;0.824;1.0;0.875;0.886;0.986;1.0;0.985;0.907;1.0;0.907;0.907;0.907;0.907;1.0;1.0;1.0;1.0
transcript28_ENSMPUG00000020072;1.0;0.818;0.935;0.941;1.0;0.985;1.0;0.908;0.988;0.908;0.908;0.908;0.908;0.988;0.984;0.984;0.982
transcript12_ENSECAG00000007947;0.941;0.882;1.0;1.0;0.907;0.907;0.908;1.0;0.912;1.0;1.0;0.951;0.989;0.912;0.908;0.906;0.909
transcript12_ENSMLUG00000027828;0.824;1.0;0.875;0.886;0.986;1.0;0.988;0.912;1.0;0.912;0.912;0.868;0.902;1.0;1.0;1.0;1.0
transcript23_ENSECAG00000007947;0.941;0.882;1.0;1.0;0.907;0.907;0.908;1.0;0.912;1.0;1.0;0.951;0.989;0.912;0.908;0.906;0.909
transcript31_ENSECAG00000007947;0.941;0.882;1.0;1.0;0.907;0.907;0.908;1.0;0.912;1.0;1.0;0.951;0.989;0.912;0.908;0.906;0.909
transcript32_ENSECAG00000007947;0.941;0.882;1.0;1.0;0.907;0.907;0.908;0.951;0.868;0.951;0.951;1.0;0.961;0.866;0.851;0.906;0.847
transcript33_ENSECAG00000007947;0.941;0.882;1.0;1.0;0.907;0.907;0.908;0.989;0.902;0.989;0.989;0.961;1.0;0.902;0.895;0.906;0.895
transcript15_ENSMLUG00000027828;0.824;1.0;0.875;0.886;0.985;1.0;0.988;0.912;1.0;0.912;0.912;0.866;0.902;1.0;1.0;1.0;1.0
transcript16_ENSMLUG00000027828;0.824;1.0;0.875;0.886;0.985;1.0;0.984;0.908;1.0;0.908;0.908;0.851;0.895;1.0;1.0;1.0;1.0
transcript26_ENSMLUG00000027828;0.824;1.0;0.875;0.886;0.985;1.0;0.984;0.906;1.0;0.906;0.906;0.906;0.906;1.0;1.0;1.0;1.0
transcript27_ENSMLUG00000027828;0.824;1.0;0.875;0.886;0.983;1.0;0.982;0.909;1.0;0.909;0.909;0.847;0.895;1.0;1.0;1.0;1.0
