;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.965;0.732;0.849;0.765;0.617;0.65;0.581;0.178;0.466;0.925;0.751;0.81;0.783;0.688;0.406;0.364;0.738;0.225;0.44;0.905
ENST00000264731_90_90;0.965;1.0;0.768;0.845;0.801;0.623;0.655;0.58;0.139;0.453;0.962;0.718;0.809;0.69;0.635;0.372;0.317;0.652;0.233;0.399;0.836
ENST00000320472_90_90;0.732;0.768;1.0;0.623;0.87;0.8;0.694;0.744;0.169;0.574;0.729;0.495;0.587;0.47;0.671;0.484;0.405;0.431;0.299;0.517;0.605
ENST00000354600_90_90;0.849;0.845;0.623;1.0;0.655;0.748;0.786;0.453;0.19;0.552;0.809;0.856;0.961;0.824;0.499;0.472;0.405;0.782;0.119;0.278;0.69
ENST00000392460_90_90;0.765;0.801;0.87;0.655;1.0;0.694;0.809;0.713;0.164;0.55;0.762;0.528;0.619;0.499;0.795;0.464;0.389;0.462;0.285;0.494;0.635
ENST00000392461_90_90;0.617;0.623;0.8;0.748;0.694;1.0;0.861;0.574;0.239;0.726;0.587;0.604;0.708;0.575;0.51;0.639;0.536;0.534;0.15;0.356;0.47
ENST00000392463_90_90;0.65;0.655;0.694;0.786;0.809;0.861;1.0;0.55;0.229;0.691;0.619;0.643;0.747;0.61;0.617;0.607;0.512;0.569;0.144;0.341;0.499
ENST00000418709_90_90;0.581;0.58;0.744;0.453;0.713;0.574;0.55;1.0;0.185;0.778;0.544;0.332;0.418;0.314;0.541;0.581;0.482;0.275;0.342;0.615;0.436
ENST00000434928_90_90;0.178;0.139;0.169;0.19;0.164;0.239;0.229;0.185;1.0;0.262;0.143;0.072;0.196;0.187;0.155;0.306;0.295;0.195;0.484;0.202;0.128
ENST00000437221_90_90;0.466;0.453;0.574;0.552;0.55;0.726;0.691;0.778;0.262;1.0;0.418;0.417;0.515;0.4;0.385;0.788;0.657;0.359;0.173;0.416;0.314
ENST00000440651_90_90;0.925;0.962;0.729;0.809;0.762;0.587;0.619;0.544;0.143;0.418;1.0;0.681;0.84;0.652;0.594;0.334;0.278;0.678;0.24;0.413;0.795
ENST00000449992_90_90;0.751;0.718;0.495;0.856;0.528;0.604;0.643;0.332;0.072;0.417;0.681;1.0;0.817;0.751;0.424;0.378;0.316;0.706;0.0;0.194;0.623
ENST00000456148_90_90;0.81;0.809;0.587;0.961;0.619;0.708;0.747;0.418;0.196;0.515;0.84;0.817;1.0;0.782;0.462;0.43;0.363;0.816;0.123;0.287;0.652
ENSMUST00000040231_90_90;0.783;0.69;0.47;0.824;0.499;0.575;0.61;0.314;0.187;0.4;0.652;0.751;0.782;1.0;0.643;0.44;0.535;0.958;0.104;0.398;0.841
ENSMUST00000065523_90_90;0.688;0.635;0.671;0.499;0.795;0.51;0.617;0.541;0.155;0.385;0.594;0.424;0.462;0.643;1.0;0.427;0.531;0.605;0.246;0.649;0.792
ENSMUST00000115304_90_90;0.406;0.372;0.484;0.472;0.464;0.639;0.607;0.581;0.306;0.788;0.334;0.378;0.43;0.44;0.427;1.0;0.657;0.403;0.158;0.445;0.349
ENSMUST00000115305_90_90;0.364;0.317;0.405;0.405;0.389;0.536;0.512;0.482;0.295;0.657;0.278;0.316;0.363;0.535;0.531;0.657;1.0;0.496;0.138;0.708;0.433
ENSMUST00000115306_90_90;0.738;0.652;0.431;0.782;0.462;0.534;0.569;0.275;0.195;0.359;0.678;0.706;0.816;0.958;0.605;0.403;0.496;1.0;0.106;0.41;0.802
ENSMUST00000115307_90_90;0.225;0.233;0.299;0.119;0.285;0.15;0.144;0.342;0.484;0.173;0.24;0.0;0.123;0.104;0.246;0.158;0.138;0.106;1.0;0.285;0.206
ENSMUST00000115308_90_90;0.44;0.399;0.517;0.278;0.494;0.356;0.341;0.615;0.202;0.416;0.413;0.194;0.287;0.398;0.649;0.445;0.708;0.41;0.285;1.0;0.525
ENSMUST00000115310_90_90;0.905;0.836;0.605;0.69;0.635;0.47;0.499;0.436;0.128;0.314;0.795;0.623;0.652;0.841;0.792;0.349;0.433;0.802;0.206;0.525;1.0
