;ENSCAFT00000005545_90_90;ENST00000369254_90_90;ENST00000369261_90_90;ENST00000447886_90_90;ENST00000536676_90_90;ENST00000539200_90_90;ENST00000544166_90_90;ENST00000620278_90_90;ENSMUST00000084781_90_90;ENSMUST00000108214_90_90;ENSMUST00000108218_90_90;ENSMUST00000140652_90_90;ENSMUST00000150920_90_90
ENSCAFT00000005545_90_90;1.0;0.385;0.846;0.308;0.833;0.667;0.417;0.167;0.833;0.583;1.0;0.5;0.154
ENST00000369254_90_90;0.385;1.0;0.5;0.222;0.333;0.167;0.222;0.0;0.231;0.444;0.385;0.714;0.125
ENST00000369261_90_90;0.846;0.5;1.0;0.308;0.833;0.667;0.417;0.167;0.692;0.462;0.846;0.385;0.071
ENST00000447886_90_90;0.308;0.222;0.308;1.0;0.364;0.182;0.111;0.0;0.154;0.333;0.308;0.222;0.0
ENST00000536676_90_90;0.833;0.333;0.833;0.364;1.0;0.8;0.5;0.2;0.667;0.417;0.833;0.333;0.0
ENST00000539200_90_90;0.667;0.167;0.667;0.182;0.8;1.0;0.444;0.25;0.8;0.25;0.667;0.167;0.0
ENST00000544166_90_90;0.417;0.222;0.417;0.111;0.5;0.444;1.0;0.4;0.364;0.2;0.417;0.222;0.0
ENST00000620278_90_90;0.167;0.0;0.167;0.0;0.2;0.25;0.4;1.0;0.2;0.125;0.167;0.0;0.0
ENSMUST00000084781_90_90;0.833;0.231;0.692;0.154;0.667;0.8;0.364;0.2;1.0;0.417;0.833;0.333;0.182
ENSMUST00000108214_90_90;0.583;0.444;0.462;0.333;0.417;0.25;0.2;0.125;0.417;1.0;0.583;0.625;0.25
ENSMUST00000108218_90_90;1.0;0.385;0.846;0.308;0.833;0.667;0.417;0.167;0.833;0.583;1.0;0.5;0.154
ENSMUST00000140652_90_90;0.5;0.714;0.385;0.222;0.333;0.167;0.222;0.0;0.333;0.625;0.5;1.0;0.286
ENSMUST00000150920_90_90;0.154;0.125;0.071;0.0;0.0;0.0;0.0;0.0;0.182;0.25;0.154;0.286;1.0
