;transcript15_ENSPEMG00000024651;transcript6_ENSMPUG00000020072;transcript25_ENSCPOG00000024843;transcript6_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript36_ENSCGRG00000018457;transcript15_ENSSTOG00000019743
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;1.0;1.0;0.959;1.0;0.932;0.963;0.622;1.0;1.0;1.0;0.911;1.0
transcript6_ENSMPUG00000020072;1.0;1.0;1.0;1.0;1.0;0.962;0.937;0.886;0.964;0.631;1.0;1.0;1.0;0.93;1.0
transcript25_ENSCPOG00000024843;1.0;1.0;1.0;1.0;1.0;0.957;0.925;0.871;0.961;0.637;1.0;1.0;1.0;0.924;1.0
transcript6_ENSECAG00000007947;1.0;1.0;1.0;1.0;1.0;0.957;0.925;0.871;0.953;0.624;1.0;1.0;1.0;0.93;1.0
transcript20_ENSECAG00000007947;1.0;1.0;1.0;1.0;1.0;0.957;0.925;0.871;0.953;0.624;1.0;1.0;1.0;0.93;1.0
transcript7_ENSECAG00000007947;0.959;0.962;0.957;0.957;0.957;1.0;0.882;0.828;1.0;0.576;0.953;0.953;0.953;0.884;0.943
transcript19_ENSECAG00000007947;1.0;0.937;0.925;0.925;0.925;0.882;1.0;0.942;0.882;0.553;1.0;1.0;1.0;0.93;1.0
transcript21_ENSECAG00000007947;0.932;0.886;0.871;0.871;0.871;0.828;0.942;1.0;0.835;0.58;0.942;0.942;0.942;0.988;0.957
transcript7_ENSMLUG00000027828;0.963;0.964;0.961;0.953;0.953;1.0;0.882;0.835;1.0;0.598;0.958;0.958;0.958;0.906;0.946
transcript13_ENSMLUG00000027828;0.622;0.631;0.637;0.624;0.624;0.576;0.553;0.58;0.598;1.0;0.615;0.615;0.615;0.648;0.595
transcript15_ENSCGRG00015005362;1.0;1.0;1.0;1.0;1.0;0.953;1.0;0.942;0.958;0.615;1.0;1.0;1.0;0.924;1.0
transcript15_ENSCGRG00000018457;1.0;1.0;1.0;1.0;1.0;0.953;1.0;0.942;0.958;0.615;1.0;1.0;1.0;0.924;1.0
transcript15_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;0.953;1.0;0.942;0.958;0.615;1.0;1.0;1.0;0.924;1.0
transcript36_ENSCGRG00000018457;0.911;0.93;0.924;0.93;0.93;0.884;0.93;0.988;0.906;0.648;0.924;0.924;0.924;1.0;0.95
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;1.0;1.0;0.943;1.0;0.957;0.946;0.595;1.0;1.0;1.0;0.95;1.0
