;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.808;0.998;0.252;0.201;0.991;0.75;0.802;0.745;0.991;0.859;0.397;0.797;0.318
ENST00000331224_90_90;0.808;1.0;0.809;0.313;0.243;0.801;0.923;0.987;0.917;0.801;0.922;0.483;0.981;0.296
ENST00000341267_90_90;0.998;0.809;1.0;0.253;0.202;0.99;0.749;0.801;0.744;0.99;0.858;0.396;0.795;0.318
ENST00000392848_90_90;0.252;0.313;0.253;1.0;0.6;0.249;0.328;0.307;0.33;0.249;0.287;0.352;0.309;0.0
ENST00000556051_90_90;0.201;0.243;0.202;0.6;1.0;0.199;0.253;0.239;0.254;0.199;0.225;0.248;0.24;0.0
ENSMUST00000056110_90_90;0.991;0.801;0.99;0.249;0.199;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109841_90_90;0.75;0.923;0.749;0.328;0.253;0.758;1.0;0.936;0.993;0.758;0.874;0.524;0.929;0.247
ENSMUST00000109842_90_90;0.802;0.987;0.801;0.307;0.239;0.81;0.936;1.0;0.929;0.81;0.934;0.493;0.994;0.295
ENSMUST00000109843_90_90;0.745;0.917;0.744;0.33;0.254;0.753;0.993;0.929;1.0;0.753;0.868;0.528;0.935;0.241
ENSMUST00000109844_90_90;0.991;0.801;0.99;0.249;0.199;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109846_90_90;0.859;0.922;0.858;0.287;0.225;0.868;0.874;0.934;0.868;0.868;1.0;0.462;0.928;0.36
ENSMUST00000124293_90_90;0.397;0.483;0.396;0.352;0.248;0.404;0.524;0.493;0.528;0.404;0.462;1.0;0.496;0.0
ENSMUST00000173539_90_90;0.797;0.981;0.795;0.309;0.24;0.805;0.929;0.994;0.935;0.805;0.928;0.496;1.0;0.289
ENSMUST00000173812_90_90;0.318;0.296;0.318;0.0;0.0;0.316;0.247;0.295;0.241;0.316;0.36;0.0;0.289;1.0
