;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.25;0.231;0.471;0.271;0.147;0.147;0.147;0.154;0.154;0.161;0.118;0.109;0.147;0.0;0.114;0.253;0.223;0.0;0.243;0.336;0.336;0.299;0.071;0.151;0.135;0.247;0.135;0.071;0.163;0.283;0.14;0.178;0.109;0.0;0.0;0.0;0.147;0.113;0.107;0.153;0.114;0.124;0.331;0.261;0.284;0.154;0.147;0.0;0.154;0.0;0.0;0.147;0.0;0.338;0.379;0.379;0.379;0.379;0.379;0.151;0.379;0.004;0.013
ENSCAFT00000013439_90_90;0.25;1.0;0.849;0.766;0.886;0.779;0.779;0.781;0.711;0.735;0.665;0.143;0.701;0.782;0.158;0.655;0.784;0.892;0.217;0.857;0.132;0.132;0.138;0.063;0.181;0.134;0.151;0.117;0.063;0.175;0.087;0.147;0.17;0.701;0.046;0.074;0.178;0.782;0.635;0.699;0.716;0.654;0.486;0.798;0.911;0.874;0.735;0.781;0.084;0.735;0.311;0.046;0.781;0.035;0.129;0.123;0.123;0.123;0.123;0.123;0.178;0.123;0.004;0.017
ENSCAFT00000037016_90_90;0.231;0.849;1.0;0.754;0.878;0.856;0.856;0.859;0.781;0.808;0.731;0.157;0.762;0.859;0.174;0.712;0.805;0.909;0.224;0.95;0.068;0.068;0.072;0.092;0.094;0.099;0.078;0.101;0.092;0.091;0.024;0.098;0.088;0.763;0.051;0.081;0.196;0.859;0.691;0.764;0.787;0.712;0.528;0.811;0.916;0.958;0.808;0.859;0.092;0.808;0.342;0.051;0.859;0.038;0.067;0.064;0.064;0.064;0.064;0.064;0.094;0.064;0.005;0.019
ENSCAFT00000021145_90_90;0.471;0.766;0.754;1.0;0.666;0.718;0.718;0.72;0.658;0.579;0.517;0.109;0.707;0.721;0.279;0.565;0.653;0.635;0.215;0.647;0.138;0.138;0.123;0.045;0.08;0.065;0.106;0.065;0.045;0.084;0.098;0.069;0.085;0.705;0.136;0.106;0.296;0.72;0.65;0.704;0.665;0.564;0.525;0.753;0.691;0.705;0.579;0.72;0.114;0.579;0.409;0.142;0.72;0.097;0.139;0.157;0.157;0.157;0.157;0.157;0.079;0.157;0.003;0.005
ENSCAFT00000025193_90_90;0.271;0.886;0.878;0.666;1.0;0.677;0.677;0.679;0.624;0.768;0.704;0.155;0.598;0.684;0.14;0.669;0.807;0.915;0.26;0.945;0.12;0.12;0.126;0.086;0.176;0.178;0.143;0.162;0.086;0.167;0.082;0.181;0.161;0.601;0.008;0.111;0.156;0.688;0.55;0.602;0.636;0.669;0.432;0.808;0.917;0.947;0.767;0.679;0.119;0.767;0.258;0.015;0.679;0.0;0.121;0.115;0.115;0.115;0.115;0.115;0.175;0.115;0.004;0.016
ENST00000302271_90_90;0.147;0.779;0.856;0.718;0.677;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.852;0.988;0.291;0.704;0.664;0.739;0.263;0.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.846;0.14;0.107;0.303;0.981;0.791;0.847;0.925;0.704;0.671;0.719;0.808;0.785;0.838;0.998;0.115;0.838;0.426;0.161;0.998;0.116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374612_90_90;0.147;0.779;0.856;0.718;0.677;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.852;0.988;0.291;0.704;0.664;0.739;0.263;0.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.846;0.14;0.107;0.303;0.981;0.791;0.847;0.925;0.704;0.671;0.719;0.808;0.785;0.838;0.998;0.115;0.838;0.426;0.161;0.998;0.116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374616_90_90;0.147;0.781;0.859;0.72;0.679;0.995;0.995;1.0;0.936;0.841;0.777;0.214;0.854;0.99;0.291;0.706;0.666;0.742;0.263;0.722;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.848;0.14;0.107;0.302;0.983;0.793;0.849;0.928;0.706;0.669;0.722;0.811;0.787;0.84;1.0;0.114;0.84;0.428;0.16;1.0;0.116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000427764_90_90;0.154;0.711;0.781;0.658;0.624;0.94;0.94;0.936;1.0;0.777;0.83;0.228;0.793;0.928;0.231;0.644;0.607;0.675;0.192;0.657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.786;0.149;0.061;0.242;0.921;0.731;0.787;0.865;0.644;0.611;0.657;0.738;0.717;0.778;0.938;0.054;0.778;0.366;0.171;0.938;0.124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000478691_90_90;0.154;0.735;0.808;0.579;0.768;0.836;0.836;0.841;0.777;1.0;0.923;0.254;0.712;0.847;0.14;0.838;0.777;0.882;0.315;0.854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.717;0.0;0.128;0.16;0.853;0.662;0.719;0.796;0.838;0.536;0.777;0.882;0.854;1.0;0.84;0.136;1.0;0.268;0.001;0.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
