;transcript30_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript29_ENSCPOG00000024843;transcript1_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828
transcript30_ENSSTOG00000019743;1.0;0.893;0.893;0.929;0.896;0.913;0.913;0.953;0.959;1.0;0.98;0.896;0.834;0.834;0.829
transcript9_ENSSTOG00000019743;0.893;1.0;0.792;0.826;0.796;0.814;0.814;0.85;0.856;0.893;0.873;0.796;0.92;0.92;0.914
transcript1_ENSCCNG00000000226;0.893;0.792;1.0;0.964;0.938;0.958;0.958;0.923;0.93;0.893;0.875;0.934;0.801;0.801;0.793
transcript30_ENSCCNG00000000226;0.929;0.826;0.964;1.0;0.903;0.923;0.923;0.958;0.894;0.929;0.911;0.906;0.831;0.831;0.822
transcript36_ENSCPOG00000024843;0.896;0.796;0.938;0.903;1.0;0.98;0.98;0.942;0.935;0.896;0.913;0.933;0.8;0.8;0.806
transcript37_ENSCPOG00000024843;0.913;0.814;0.958;0.923;0.98;1.0;1.0;0.961;0.952;0.913;0.895;0.956;0.824;0.824;0.817
transcript35_ENSCPOG00000024843;0.913;0.814;0.958;0.923;0.98;1.0;1.0;0.961;0.952;0.913;0.895;0.956;0.824;0.824;0.817
transcript29_ENSCPOG00000024843;0.953;0.85;0.923;0.958;0.942;0.961;0.961;1.0;0.914;0.953;0.933;0.924;0.855;0.855;0.848
transcript1_ENSSTOG00000019743;0.959;0.856;0.93;0.894;0.935;0.952;0.952;0.914;1.0;0.959;0.941;0.926;0.803;0.803;0.798
transcript29_ENSSTOG00000019743;1.0;0.893;0.893;0.929;0.896;0.913;0.913;0.953;0.959;1.0;0.98;0.896;0.834;0.834;0.829
transcript31_ENSSTOG00000019743;0.98;0.873;0.875;0.911;0.913;0.895;0.895;0.933;0.941;0.98;1.0;0.875;0.812;0.812;0.818
transcript1_ENSMLUG00000027828;0.896;0.796;0.934;0.906;0.933;0.956;0.956;0.924;0.926;0.896;0.875;1.0;0.862;0.862;0.855
transcript10_ENSMLUG00000027828;0.834;0.92;0.801;0.831;0.8;0.824;0.824;0.855;0.803;0.834;0.812;0.862;1.0;1.0;0.992
transcript16_ENSMLUG00000027828;0.834;0.92;0.801;0.831;0.8;0.824;0.824;0.855;0.803;0.834;0.812;0.862;1.0;1.0;0.992
transcript28_ENSMLUG00000027828;0.829;0.914;0.793;0.822;0.806;0.817;0.817;0.848;0.798;0.829;0.818;0.855;0.992;0.992;1.0
