;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;0.996;0.89;0.574;0.774;0.854;0.401;0.437;0.881;0.697;0.555;0.857;0.999;0.893;0.777;0.884;0.7;0.594
ENST00000353609_90_90;0.996;1.0;0.893;0.577;0.778;0.855;0.401;0.407;0.885;0.701;0.556;0.861;0.997;0.891;0.775;0.882;0.698;0.592
ENST00000417353_90_90;0.89;0.893;1.0;0.646;0.871;0.749;0.295;0.452;0.778;0.595;0.45;0.754;0.891;0.997;0.868;0.775;0.592;0.662
ENST00000443841_90_90;0.574;0.577;0.646;1.0;0.741;0.462;0.0;0.127;0.652;0.278;0.157;0.438;0.575;0.643;0.739;0.65;0.276;0.309
ENST00000585836_90_90;0.774;0.778;0.871;0.741;1.0;0.668;0.205;0.333;0.88;0.479;0.363;0.639;0.775;0.868;0.996;0.876;0.476;0.533
ENST00000586615_90_90;0.854;0.855;0.749;0.462;0.668;1.0;0.469;0.273;0.776;0.556;0.651;0.716;0.854;0.748;0.667;0.775;0.555;0.449
ENST00000589593_90_90;0.401;0.401;0.295;0.0;0.205;0.469;1.0;0.467;0.313;0.571;0.72;0.466;0.401;0.295;0.204;0.313;0.572;0.421
ENST00000590335_90_90;0.437;0.407;0.452;0.127;0.333;0.273;0.467;1.0;0.301;0.562;0.377;0.467;0.438;0.49;0.361;0.322;0.624;0.736
ENST00000591858_90_90;0.881;0.885;0.778;0.652;0.88;0.776;0.313;0.301;1.0;0.586;0.471;0.746;0.882;0.775;0.876;0.997;0.583;0.476
ENST00000592436_90_90;0.697;0.701;0.595;0.278;0.479;0.556;0.571;0.562;0.586;1.0;0.793;0.814;0.698;0.592;0.476;0.583;0.996;0.844
ENST00000592811_90_90;0.555;0.556;0.45;0.157;0.363;0.651;0.72;0.377;0.471;0.793;1.0;0.646;0.555;0.449;0.362;0.47;0.792;0.64
ENST00000615753_90_90;0.857;0.861;0.754;0.438;0.639;0.716;0.466;0.467;0.746;0.814;0.646;1.0;0.858;0.751;0.636;0.743;0.811;0.687
ENSMUST00000003640_90_90;0.999;0.997;0.891;0.575;0.775;0.854;0.401;0.438;0.882;0.698;0.555;0.858;1.0;0.893;0.778;0.885;0.701;0.595
ENSMUST00000207334_90_90;0.893;0.891;0.997;0.643;0.868;0.748;0.295;0.49;0.775;0.592;0.449;0.751;0.893;1.0;0.871;0.778;0.595;0.666
ENSMUST00000207716_90_90;0.777;0.775;0.868;0.739;0.996;0.667;0.204;0.361;0.876;0.476;0.362;0.636;0.778;0.871;1.0;0.88;0.479;0.536
ENSMUST00000208326_90_90;0.884;0.882;0.775;0.65;0.876;0.775;0.313;0.322;0.997;0.583;0.47;0.743;0.885;0.778;0.88;1.0;0.586;0.479
ENSMUST00000208446_90_90;0.7;0.698;0.592;0.276;0.476;0.555;0.572;0.624;0.583;0.996;0.792;0.811;0.701;0.595;0.479;0.586;1.0;0.848
ENSMUST00000208505_90_90;0.594;0.592;0.662;0.309;0.533;0.449;0.421;0.736;0.476;0.844;0.64;0.687;0.595;0.666;0.536;0.479;0.848;1.0
