;transcript52_ENSMUGG00000013592;transcript55_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript7_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript7_ENSPEMG00000024651;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript54_ENSCGRG00015005362;transcript53_ENSCGRG00015005362
transcript52_ENSMUGG00000013592;1.0;0.863;0.986;0.073;0.082;0.058;0.058;0.074;0.878;0.903;0.075;0.913;0.074;0.074;0.074;0.898;0.827
transcript55_ENSCGRG00015005362;0.863;1.0;0.873;0.132;0.14;0.116;0.116;0.134;0.943;0.915;0.132;0.904;0.134;0.134;0.134;0.965;0.892
transcript52_ENSCGRG00015005362;0.986;0.873;1.0;0.074;0.082;0.058;0.058;0.074;0.887;0.913;0.074;0.904;0.074;0.074;0.074;0.908;0.834
transcript7_MGP-CAROLIEiJ-G0020234;0.073;0.132;0.074;1.0;0.847;0.71;0.71;0.987;0.125;0.128;0.975;0.128;0.987;0.987;0.987;0.127;0.138
transcript58_MGP-CAROLIEiJ-G0020234;0.082;0.14;0.082;0.847;1.0;0.844;0.844;0.838;0.147;0.151;0.827;0.15;0.838;0.838;0.838;0.135;0.145
transcript57_MGP-CAROLIEiJ-G0020234;0.058;0.116;0.058;0.71;0.844;1.0;1.0;0.702;0.124;0.128;0.691;0.126;0.702;0.702;0.702;0.112;0.12
transcript59_MGP-CAROLIEiJ-G0020234;0.058;0.116;0.058;0.71;0.844;1.0;1.0;0.702;0.124;0.128;0.691;0.126;0.702;0.702;0.702;0.112;0.12
transcript7_ENSMUGG00000013649;0.074;0.134;0.074;0.987;0.838;0.702;0.702;1.0;0.126;0.13;0.987;0.129;1.0;1.0;1.0;0.129;0.139
transcript28_ENSMUGG00000013649;0.878;0.943;0.887;0.125;0.147;0.124;0.124;0.126;1.0;0.972;0.125;0.959;0.126;0.126;0.126;0.978;0.906
transcript42_ENSMUGG00000013649;0.903;0.915;0.913;0.128;0.151;0.128;0.128;0.13;0.972;1.0;0.128;0.987;0.13;0.13;0.13;0.949;0.878
transcript7_ENSMUGG00000013592;0.075;0.132;0.074;0.975;0.827;0.691;0.691;0.987;0.125;0.128;1.0;0.13;0.987;0.987;0.987;0.127;0.138
transcript42_ENSMUGG00000013592;0.913;0.904;0.904;0.128;0.15;0.126;0.126;0.129;0.959;0.987;0.13;1.0;0.129;0.129;0.129;0.939;0.87
transcript7_ENSPEMG00000024651;0.074;0.134;0.074;0.987;0.838;0.702;0.702;1.0;0.126;0.13;0.987;0.129;1.0;1.0;1.0;0.129;0.139
transcript7_ENSCGRG00015005362;0.074;0.134;0.074;0.987;0.838;0.702;0.702;1.0;0.126;0.13;0.987;0.129;1.0;1.0;1.0;0.129;0.139
transcript7_ENSCGRG00000018457;0.074;0.134;0.074;0.987;0.838;0.702;0.702;1.0;0.126;0.13;0.987;0.129;1.0;1.0;1.0;0.129;0.139
transcript54_ENSCGRG00015005362;0.898;0.965;0.908;0.127;0.135;0.112;0.112;0.129;0.978;0.949;0.127;0.939;0.129;0.129;0.129;1.0;0.927
transcript53_ENSCGRG00015005362;0.827;0.892;0.834;0.138;0.145;0.12;0.12;0.139;0.906;0.878;0.138;0.87;0.139;0.139;0.139;0.927;1.0
