id_transcript;block_sequence
ENSCAFT00000023990_90_90;0.1.2.3.4.5.6.9.10.13.14.15.18
ENST00000220429_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.18
ENST00000359031_90_90;0.1.2.3.4.5.6.7.10.13.14.15.16
ENST00000380877_90_90;0.1.2.3.4.5.6.7.10.13.14.15.18
ENST00000396464_90_90;0.1.2.3.4.5.6.7.10.13.14.15.16
ENST00000429662_90_90;0.1.2.3.4.5.6.7.8.9.10.13.14.15.16
ENST00000543881_90_90;3.4.5.6.7.8.9.10.13.14.15.18
ENST00000558335_90_90;0.1.2.3.4
ENST00000558970_90_90;0.1.2.3
ENST00000560825_90_90;0.1.2.3.4.5.6.7.10.13.15.16
ENST00000561010_90_90;6.7.8.9.10.13.14.15.17
ENSMUST00000039978_90_90;0.1.2.3.4.5.6.9.10.11.15.16
ENSMUST00000089745_90_90;0.1.2.3.4.5.6.9.10.11.12
ENSMUST00000103226_90_90;0.1.2.3.4.5.6.9.10.11.14.15.16
ENSMUST00000103227_90_90;0.1.2.3.4.5.6.9.10.11.15.18
ENSMUST00000110424_90_90;0.1.2.3.4.5.6.9.10.11.15.18
ENSMUST00000110425_90_90;0.1.2.3.4.5.6.9.10.11.14.15.18
ENSMUST00000124972_90_90;0.1
ENSMUST00000137335_90_90;0
