;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.882;0.917;0.94;0.543;0.494;0.546;0.496;0.483;0.502;0.546;0.423;0.413;0.582;0.434;0.431;0.42;0.557;0.496;0.168;0.189;0.21;0.176;0.493;0.521;0.525;0.547;0.645;0.649;0.466;0.502
transcript7_ENSSTOG00000019743;0.882;1.0;0.93;0.945;0.648;0.654;0.651;0.657;0.735;0.68;0.651;0.481;0.526;0.688;0.515;0.597;0.586;0.651;0.657;0.159;0.223;0.212;0.169;0.666;0.699;0.794;0.728;0.772;0.779;0.615;0.68
transcript7_ENSCCNG00000000226;0.917;0.93;1.0;0.977;0.662;0.666;0.664;0.668;0.665;0.687;0.664;0.483;0.526;0.701;0.539;0.635;0.601;0.664;0.668;0.162;0.194;0.222;0.169;0.673;0.707;0.718;0.771;0.845;0.818;0.613;0.687
transcript7_ENSCPOG00000024843;0.94;0.945;0.977;1.0;0.651;0.653;0.651;0.653;0.654;0.675;0.651;0.478;0.522;0.651;0.517;0.598;0.582;0.662;0.653;0.17;0.198;0.212;0.181;0.661;0.661;0.708;0.731;0.85;0.859;0.61;0.675
transcript10_ENSMPUG00000020072;0.543;0.648;0.662;0.651;1.0;0.857;0.995;0.852;0.869;0.924;0.995;0.777;0.777;0.933;0.881;0.848;0.862;0.976;0.852;0.104;0.115;0.12;0.102;0.887;0.867;0.824;0.854;0.786;0.772;0.914;0.924
transcript10_ENSECAG00000007947;0.494;0.654;0.666;0.653;0.857;1.0;0.852;0.995;0.871;0.924;0.852;0.681;0.783;0.801;0.766;0.87;0.88;0.834;0.995;0.104;0.116;0.118;0.104;0.895;0.874;0.829;0.856;0.8;0.777;0.912;0.924
transcript17_ENSMPUG00000020072;0.546;0.651;0.664;0.651;0.995;0.852;1.0;0.856;0.864;0.919;1.0;0.781;0.78;0.938;0.885;0.843;0.857;0.981;0.856;0.094;0.102;0.108;0.093;0.889;0.862;0.819;0.849;0.78;0.767;0.908;0.919
transcript17_ENSECAG00000007947;0.496;0.657;0.668;0.653;0.852;0.995;0.856;1.0;0.866;0.92;0.856;0.684;0.786;0.805;0.77;0.864;0.875;0.838;1.0;0.094;0.104;0.107;0.094;0.897;0.869;0.824;0.851;0.795;0.772;0.906;0.92
transcript17_ENSSTOG00000019743;0.483;0.735;0.665;0.654;0.869;0.871;0.864;0.866;1.0;0.944;0.864;0.679;0.784;0.812;0.767;0.875;0.891;0.845;0.866;0.098;0.132;0.119;0.1;0.909;0.889;0.945;0.869;0.805;0.784;0.925;0.944
transcript17_ENSCPOG00000024843;0.502;0.68;0.687;0.675;0.924;0.924;0.919;0.92;0.944;1.0;0.919;0.718;0.829;0.863;0.814;0.925;0.942;0.902;0.92;0.101;0.115;0.116;0.101;0.962;0.938;0.891;0.914;0.84;0.82;0.984;1.0
