;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000233892_90_90;0.0;1.0;0.75;0.3;1.0;0.222;0.167;0.8;0.308;0.8;0.167;0.75;0.889
ENST00000323303_90_90;0.0;0.75;1.0;0.333;0.75;0.167;0.417;0.75;0.333;0.615;0.214;0.714;0.667
ENST00000409355_90_90;0.0;0.3;0.333;1.0;0.3;0.0;0.286;0.444;0.0;0.3;0.125;0.231;0.333
ENST00000409360_90_90;0.0;1.0;0.75;0.3;1.0;0.222;0.167;0.8;0.308;0.8;0.167;0.75;0.889
ENST00000409916_90_90;0.0;0.222;0.167;0.0;0.222;1.0;0.0;0.222;0.25;0.222;0.0;0.167;0.111
ENST00000417097_90_90;0.0;0.167;0.417;0.286;0.167;0.0;1.0;0.167;0.182;0.077;0.429;0.214;0.182
ENST00000448447_90_90;0.0;0.8;0.75;0.444;0.8;0.222;0.167;1.0;0.214;0.8;0.077;0.615;0.7
ENSMUST00000027122_90_90;0.0;0.308;0.333;0.0;0.308;0.25;0.182;0.214;1.0;0.308;0.444;0.538;0.231
ENSMUST00000159311_90_90;0.0;0.8;0.615;0.3;0.8;0.222;0.077;0.8;0.308;1.0;0.167;0.75;0.7
ENSMUST00000161122_90_90;0.0;0.167;0.214;0.125;0.167;0.0;0.429;0.077;0.444;0.167;1.0;0.417;0.182
ENSMUST00000162364_90_90;0.0;0.75;0.714;0.231;0.75;0.167;0.214;0.615;0.538;0.75;0.417;1.0;0.667
ENSMUST00000162553_90_90;0.0;0.889;0.667;0.333;0.889;0.111;0.182;0.7;0.231;0.7;0.182;0.667;1.0
