;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.899;0.8;0.899;0.899;0.899;0.774;0.888;0.774;0.171;0.176;0.186;0.1;0.088;0.194;0.173;0.178
transcript7_ENSMUGG00000013649;0.899;1.0;0.899;1.0;1.0;1.0;0.695;0.801;0.695;0.197;0.203;0.223;0.109;0.096;0.224;0.2;0.205
transcript7_ENSMUGG00000013592;0.8;0.899;1.0;0.899;0.899;0.899;0.601;0.708;0.601;0.171;0.176;0.236;0.115;0.088;0.194;0.173;0.178
transcript7_ENSCGRG00015005362;0.899;1.0;0.899;1.0;1.0;1.0;0.695;0.801;0.695;0.197;0.203;0.223;0.109;0.096;0.224;0.2;0.205
transcript7_ENSCGRG00000018457;0.899;1.0;0.899;1.0;1.0;1.0;0.695;0.801;0.695;0.197;0.203;0.223;0.109;0.096;0.224;0.2;0.205
transcript7_ENSPEMG00000024651;0.899;1.0;0.899;1.0;1.0;1.0;0.695;0.801;0.695;0.197;0.203;0.223;0.109;0.096;0.224;0.2;0.205
transcript57_MGP-CAROLIEiJ-G0020234;0.774;0.695;0.601;0.695;0.695;0.695;1.0;0.887;1.0;0.17;0.176;0.185;0.072;0.066;0.168;0.151;0.154
transcript58_MGP-CAROLIEiJ-G0020234;0.888;0.801;0.708;0.801;0.801;0.801;0.887;1.0;0.887;0.19;0.196;0.21;0.097;0.086;0.19;0.171;0.174
transcript59_MGP-CAROLIEiJ-G0020234;0.774;0.695;0.601;0.695;0.695;0.695;1.0;0.887;1.0;0.17;0.176;0.185;0.072;0.066;0.168;0.151;0.154
transcript28_ENSMUGG00000013649;0.171;0.197;0.171;0.197;0.197;0.197;0.17;0.19;0.17;1.0;0.97;0.797;0.689;0.844;0.887;0.98;0.955
transcript42_ENSMUGG00000013649;0.176;0.203;0.176;0.203;0.203;0.203;0.176;0.196;0.176;0.97;1.0;0.822;0.71;0.871;0.855;0.95;0.924
transcript42_ENSMUGG00000013592;0.186;0.223;0.236;0.223;0.223;0.223;0.185;0.21;0.185;0.797;0.822;1.0;0.851;0.72;0.724;0.778;0.752
transcript52_ENSMUGG00000013592;0.1;0.109;0.115;0.109;0.109;0.109;0.072;0.097;0.072;0.689;0.71;0.851;1.0;0.807;0.645;0.703;0.677
transcript52_ENSCGRG00015005362;0.088;0.096;0.088;0.096;0.096;0.096;0.066;0.086;0.066;0.844;0.871;0.72;0.807;1.0;0.764;0.861;0.835
transcript53_ENSCGRG00015005362;0.194;0.224;0.194;0.224;0.224;0.224;0.168;0.19;0.168;0.887;0.855;0.724;0.645;0.764;1.0;0.904;0.878
transcript54_ENSCGRG00015005362;0.173;0.2;0.173;0.2;0.2;0.2;0.151;0.171;0.151;0.98;0.95;0.778;0.703;0.861;0.904;1.0;0.974
transcript55_ENSCGRG00015005362;0.178;0.205;0.178;0.205;0.205;0.205;0.154;0.174;0.154;0.955;0.924;0.752;0.677;0.835;0.878;0.974;1.0
