;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.978;1.0;1.0;1.0;0.69;0.586;0.179;0.643;0.036;0.5;0.552;0.607;0.179
ENSCAFT00000005583_90_90;0.978;1.0;1.0;1.0;1.0;0.724;0.621;0.172;0.621;0.034;0.483;0.586;0.586;0.172
ENST00000272238_90_90;1.0;1.0;1.0;0.679;0.981;0.704;0.704;0.407;0.704;0.704;0.704;0.0;0.704;1.0
ENST00000381661_90_90;1.0;1.0;0.679;1.0;0.667;0.37;0.37;0.526;0.37;0.37;0.37;0.0;0.37;0.667
ENST00000635370_90_90;1.0;1.0;0.981;0.667;1.0;0.704;0.704;0.407;0.704;0.704;0.704;0.0;0.704;1.0
ENSMUST00000020884_90_90;0.69;0.724;0.704;0.37;0.704;1.0;0.927;0.39;0.795;0.488;0.829;0.439;0.902;0.373
ENSMUST00000095820_90_90;0.586;0.621;0.704;0.37;0.704;0.927;1.0;0.421;0.854;0.526;0.895;0.474;0.974;0.396
ENSMUST00000127185_90_90;0.179;0.172;0.407;0.526;0.407;0.39;0.421;1.0;0.421;0.5;0.471;0.133;0.432;0.324
ENSMUST00000140751_90_90;0.643;0.621;0.704;0.37;0.704;0.795;0.854;0.421;1.0;0.526;0.895;0.366;0.875;0.396
ENSMUST00000143131_90_90;0.036;0.034;0.704;0.37;0.704;0.488;0.526;0.5;0.526;1.0;0.588;0.0;0.541;0.633
ENSMUST00000153090_90_90;0.5;0.483;0.704;0.37;0.704;0.829;0.895;0.471;0.895;0.588;1.0;0.368;0.919;0.432
ENSMUST00000156727_90_90;0.552;0.586;0.0;0.0;0.0;0.439;0.474;0.133;0.366;0.0;0.368;1.0;0.447;0.0
ENSMUST00000221129_90_90;0.607;0.586;0.704;0.37;0.704;0.902;0.974;0.432;0.875;0.541;0.919;0.447;1.0;0.404
ENSMUST00000222103_90_90;0.179;0.172;1.0;0.667;1.0;0.373;0.396;0.324;0.396;0.633;0.432;0.0;0.404;1.0
