;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.8;0.88;0.84;0.84;0.8;0.36;0.12;0.56;0.36;0.76;0.68;0.48;0.76;0.64;0.16;0.32;1.0;0.64;0.92;0.96;0.92;0.96;0.96;0.48;0.72;0.96;0.24
ENST00000227214_90_90;0.8;1.0;0.889;0.923;0.96;1.0;0.458;0.154;0.615;0.333;0.846;0.875;0.52;0.917;0.833;0.25;0.4;0.778;0.583;0.875;0.84;0.875;0.808;0.84;0.435;0.667;0.741;0.12
ENST00000354190_90_90;0.88;0.889;1.0;0.963;0.926;0.889;0.407;0.138;0.552;0.345;0.759;0.778;0.519;0.815;0.741;0.222;0.357;0.889;0.519;0.778;0.815;0.778;0.852;0.815;0.385;0.593;0.852;0.192
ENST00000398492_90_90;0.84;0.923;0.963;1.0;0.889;0.923;0.423;0.143;0.571;0.31;0.786;0.808;0.481;0.846;0.769;0.231;0.37;0.852;0.538;0.808;0.778;0.808;0.885;0.778;0.4;0.615;0.815;0.2
ENST00000398494_90_90;0.84;0.96;0.926;0.889;1.0;0.96;0.44;0.148;0.593;0.37;0.815;0.84;0.56;0.88;0.8;0.24;0.385;0.815;0.56;0.84;0.88;0.84;0.778;0.88;0.417;0.64;0.778;0.115
ENST00000535129_90_90;0.8;1.0;0.889;0.923;0.96;1.0;0.458;0.154;0.615;0.333;0.846;0.875;0.52;0.917;0.833;0.25;0.4;0.778;0.583;0.875;0.84;0.875;0.808;0.84;0.435;0.667;0.741;0.12
ENST00000535582_90_90;0.36;0.458;0.407;0.423;0.44;0.458;1.0;0.308;0.611;0.643;0.458;0.524;0.786;0.375;0.55;0.545;0.833;0.333;0.444;0.375;0.36;0.375;0.346;0.36;0.75;0.474;0.346;0.231
ENST00000536527_90_90;0.12;0.154;0.138;0.143;0.148;0.154;0.308;1.0;0.2;0.286;0.154;0.174;0.25;0.077;0.182;0.5;0.308;0.111;0.176;0.125;0.12;0.125;0.115;0.12;0.25;0.158;0.115;0.429
ENST00000538227_90_90;0.56;0.615;0.552;0.571;0.593;0.615;0.611;0.2;1.0;0.429;0.615;0.696;0.684;0.538;0.727;0.333;0.526;0.556;0.778;0.625;0.6;0.625;0.577;0.6;0.588;0.789;0.577;0.158
ENST00000539157_90_90;0.36;0.333;0.345;0.31;0.37;0.333;0.643;0.286;0.429;1.0;0.44;0.375;0.625;0.259;0.391;0.5;0.643;0.333;0.368;0.32;0.36;0.32;0.296;0.36;0.615;0.4;0.346;0.333
ENST00000540431_90_90;0.76;0.846;0.759;0.786;0.815;0.846;0.458;0.154;0.615;0.44;1.0;0.875;0.52;0.769;0.833;0.25;0.4;0.741;0.682;0.833;0.8;0.833;0.769;0.8;0.524;0.773;0.769;0.174
ENST00000541597_90_90;0.68;0.875;0.778;0.808;0.84;0.875;0.524;0.174;0.696;0.375;0.875;1.0;0.591;0.792;0.952;0.286;0.455;0.667;0.667;0.75;0.72;0.75;0.692;0.72;0.5;0.762;0.692;0.136
ENST00000542389_90_90;0.48;0.52;0.519;0.481;0.56;0.52;0.786;0.25;0.684;0.625;0.52;0.591;1.0;0.44;0.619;0.429;0.667;0.444;0.526;0.44;0.48;0.44;0.407;0.48;0.714;0.55;0.462;0.188
ENST00000543085_90_90;0.76;0.917;0.815;0.846;0.88;0.917;0.375;0.077;0.538;0.259;0.769;0.792;0.44;1.0;0.75;0.167;0.32;0.741;0.542;0.833;0.8;0.833;0.769;0.8;0.391;0.625;0.704;0.08
ENST00000543524_90_90;0.64;0.833;0.741;0.769;0.8;0.833;0.55;0.182;0.727;0.391;0.833;0.952;0.619;0.75;1.0;0.3;0.476;0.63;0.7;0.708;0.68;0.708;0.654;0.68;0.526;0.8;0.654;0.143
ENST00000545798_90_90;0.16;0.25;0.222;0.231;0.24;0.25;0.545;0.5;0.333;0.5;0.25;0.286;0.429;0.167;0.3;1.0;0.545;0.148;0.235;0.167;0.16;0.167;0.154;0.16;0.333;0.211;0.154;0.375
ENST00000546251_90_90;0.32;0.4;0.357;0.37;0.385;0.4;0.833;0.308;0.526;0.643;0.4;0.455;0.667;0.32;0.476;0.545;1.0;0.296;0.389;0.333;0.32;0.333;0.308;0.32;0.667;0.421;0.308;0.25
ENSMUST00000079176_90_90;1.0;0.778;0.889;0.852;0.815;0.778;0.333;0.111;0.556;0.333;0.741;0.667;0.444;0.741;0.63;0.148;0.296;1.0;0.63;0.889;0.926;0.889;0.963;0.926;0.444;0.704;0.963;0.259
ENSMUST00000107043_90_90;0.64;0.583;0.519;0.538;0.56;0.583;0.444;0.176;0.778;0.368;0.682;0.667;0.526;0.542;0.7;0.235;0.389;0.63;1.0;0.708;0.68;0.708;0.654;0.68;0.611;0.895;0.654;0.263
ENSMUST00000107044_90_90;0.92;0.875;0.778;0.808;0.84;0.875;0.375;0.125;0.625;0.32;0.833;0.75;0.44;0.833;0.708;0.167;0.333;0.889;0.708;1.0;0.96;1.0;0.923;0.96;0.5;0.792;0.852;0.192
ENSMUST00000107045_90_90;0.96;0.84;0.815;0.778;0.88;0.84;0.36;0.12;0.6;0.36;0.8;0.72;0.48;0.8;0.68;0.16;0.32;0.926;0.68;0.96;1.0;0.96;0.889;1.0;0.48;0.76;0.889;0.185
ENSMUST00000107046_90_90;0.92;0.875;0.778;0.808;0.84;0.875;0.375;0.125;0.625;0.32;0.833;0.75;0.44;0.833;0.708;0.167;0.333;0.889;0.708;1.0;0.96;1.0;0.923;0.96;0.5;0.792;0.852;0.192
ENSMUST00000107047_90_90;0.96;0.808;0.852;0.885;0.778;0.808;0.346;0.115;0.577;0.296;0.769;0.692;0.407;0.769;0.654;0.154;0.308;0.963;0.654;0.923;0.889;0.923;1.0;0.889;0.462;0.731;0.926;0.269
ENSMUST00000116287_90_90;0.96;0.84;0.815;0.778;0.88;0.84;0.36;0.12;0.6;0.36;0.8;0.72;0.48;0.8;0.68;0.16;0.32;0.926;0.68;0.96;1.0;0.96;0.889;1.0;0.48;0.76;0.889;0.185
ENSMUST00000138830_90_90;0.48;0.435;0.385;0.4;0.417;0.435;0.75;0.25;0.588;0.615;0.524;0.5;0.714;0.391;0.526;0.333;0.667;0.444;0.611;0.5;0.48;0.5;0.462;0.48;1.0;0.632;0.462;0.357
