;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.667;0.917;0.958;0.208;0.917;0.917;0.583;0.125;0.583;0.417;0.167;0.042;0.208;0.083;0.25;0.625;0.292;0.042;0.083;0.083;1.0;0.739;0.174;0.696;0.957;0.783;0.957;0.957
ENST00000361556_90_90;0.667;1.0;0.64;0.615;0.0;0.615;0.64;0.778;0.1;0.778;0.208;0.0;0.158;0.211;0.05;0.333;0.737;0.389;0.158;0.105;0.111;0.64;0.944;0.0;1.0;0.667;0.8;0.667;0.64
ENST00000371714_90_90;0.917;0.64;1.0;0.958;0.16;0.958;0.917;0.609;0.08;0.609;0.478;0.208;0.038;0.167;0.04;0.261;0.583;0.304;0.038;0.083;0.087;0.958;0.64;0.217;0.667;0.917;0.826;1.0;0.958
ENST00000428468_90_90;0.958;0.615;0.958;1.0;0.154;0.92;0.958;0.583;0.12;0.583;0.458;0.2;0.037;0.208;0.08;0.25;0.625;0.292;0.037;0.08;0.083;1.0;0.68;0.208;0.64;0.958;0.792;0.958;0.92
ENST00000435274_90_90;0.208;0.0;0.16;0.154;1.0;0.154;0.115;0.0;0.0;0.0;0.214;0.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.167;0.0;0.5;0.0;0.125;0.0;0.174;0.167
ENST00000447887_90_90;0.917;0.615;0.958;0.92;0.154;1.0;0.88;0.583;0.077;0.583;0.458;0.2;0.037;0.16;0.038;0.25;0.56;0.292;0.037;0.08;0.083;0.92;0.615;0.208;0.64;0.88;0.792;0.958;1.0
ENST00000453295_90_90;0.917;0.64;0.917;0.958;0.115;0.88;1.0;0.609;0.125;0.609;0.417;0.16;0.038;0.217;0.083;0.261;0.652;0.304;0.038;0.083;0.087;0.958;0.708;0.167;0.667;1.0;0.826;0.917;0.88
ENST00000462759_90_90;0.583;0.778;0.609;0.583;0.0;0.583;0.609;1.0;0.125;1.0;0.136;0.0;0.0;0.267;0.062;0.429;0.933;0.5;0.0;0.133;0.143;0.583;0.778;0.0;0.824;0.609;0.737;0.609;0.583
ENST00000481937_90_90;0.125;0.1;0.08;0.12;0.0;0.077;0.125;0.125;1.0;0.125;0.154;0.0;0.0;0.5;0.4;0.0;0.188;0.222;0.0;0.4;0.0;0.125;0.167;0.0;0.111;0.13;0.1;0.083;0.08
ENST00000486942_90_90;0.583;0.778;0.609;0.583;0.0;0.583;0.609;1.0;0.125;1.0;0.136;0.0;0.0;0.267;0.062;0.429;0.933;0.5;0.0;0.133;0.143;0.583;0.778;0.0;0.824;0.609;0.737;0.609;0.583
