;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.907;0.839;0.922;0.836;0.778;0.778;0.198;0.489;0.207;0.424;0.613;0.855;0.149
ENSCAFT00000005583_90_90;0.907;1.0;0.927;0.839;0.922;0.862;0.864;0.18;0.449;0.188;0.39;0.703;0.778;0.137
ENST00000272238_90_90;0.839;0.927;1.0;0.907;0.922;0.862;0.927;0.18;0.499;0.188;0.442;0.764;0.838;0.137
ENST00000381661_90_90;0.922;0.839;0.907;1.0;0.836;0.778;0.838;0.198;0.544;0.207;0.482;0.671;0.921;0.149
ENST00000635370_90_90;0.836;0.922;0.922;0.836;1.0;0.936;0.862;0.166;0.46;0.173;0.402;0.708;0.778;0.128
ENSMUST00000020884_90_90;0.778;0.862;0.862;0.778;0.936;1.0;0.922;0.207;0.508;0.214;0.454;0.708;0.836;0.164
ENSMUST00000095820_90_90;0.778;0.864;0.927;0.838;0.862;0.922;1.0;0.228;0.557;0.236;0.503;0.764;0.907;0.178
ENSMUST00000127185_90_90;0.198;0.18;0.18;0.198;0.166;0.207;0.228;1.0;0.352;0.589;0.459;0.059;0.25;0.351
ENSMUST00000140751_90_90;0.489;0.449;0.499;0.544;0.46;0.508;0.557;0.352;1.0;0.369;0.768;0.335;0.609;0.272
ENSMUST00000143131_90_90;0.207;0.188;0.188;0.207;0.173;0.214;0.236;0.589;0.369;1.0;0.483;0.0;0.259;0.609
ENSMUST00000153090_90_90;0.424;0.39;0.442;0.482;0.402;0.454;0.503;0.459;0.768;0.483;1.0;0.268;0.551;0.343
ENSMUST00000156727_90_90;0.613;0.703;0.764;0.671;0.708;0.708;0.764;0.059;0.335;0.0;0.268;1.0;0.671;0.0
ENSMUST00000221129_90_90;0.855;0.778;0.838;0.921;0.778;0.836;0.907;0.25;0.609;0.259;0.551;0.671;1.0;0.194
ENSMUST00000222103_90_90;0.149;0.137;0.137;0.149;0.128;0.164;0.178;0.351;0.272;0.609;0.343;0.0;0.194;1.0
