;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.936;0.936;1.0;0.802;0.457;0.381;1.0;0.249;1.0;0.932;0.932;0.268
ENST00000347662_90_90;0.936;1.0;1.0;0.936;0.855;0.37;0.404;0.936;0.268;0.932;1.0;1.0;0.289
ENST00000351691_90_90;0.936;1.0;1.0;0.936;0.855;0.37;0.404;0.936;0.268;0.932;1.0;1.0;0.289
ENST00000392745_90_90;1.0;0.936;0.936;1.0;0.802;0.429;0.381;1.0;0.249;1.0;0.932;0.932;0.268
ENST00000539721_90_90;0.802;0.855;0.855;0.802;1.0;0.243;0.351;0.802;0.319;0.79;0.847;0.847;0.35
ENST00000558700_90_90;0.457;0.37;0.37;0.429;0.243;1.0;0.238;0.429;0.061;0.484;0.416;0.416;0.135
ENST00000559734_90_90;0.381;0.404;0.404;0.381;0.351;0.238;1.0;0.381;0.0;0.392;0.417;0.417;0.0
ENST00000560371_90_90;1.0;0.936;0.936;1.0;0.802;0.429;0.381;1.0;0.249;1.0;0.932;0.932;0.268
ENST00000560463_90_90;0.249;0.268;0.268;0.249;0.319;0.061;0.0;0.249;1.0;0.219;0.236;0.236;0.855
ENSMUST00000021706_90_90;1.0;0.932;0.932;1.0;0.79;0.484;0.392;1.0;0.219;1.0;0.932;0.932;0.268
ENSMUST00000060274_90_90;0.932;1.0;1.0;0.932;0.847;0.416;0.417;0.932;0.236;0.932;1.0;1.0;0.289
ENSMUST00000117269_90_90;0.932;1.0;1.0;0.932;0.847;0.416;0.417;0.932;0.236;0.932;1.0;1.0;0.289
ENSMUST00000139162_90_90;0.268;0.289;0.289;0.268;0.35;0.135;0.0;0.268;0.855;0.268;0.289;0.289;1.0
