;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.881;0.532;0.839;0.05;0.339;0.316;0.106;0.839;0.956;0.954;0.954;0.37;0.053
ENST00000339582_90_90;0.881;1.0;0.522;0.817;0.05;0.367;0.354;0.061;0.817;0.904;0.793;0.793;0.363;0.067
ENST00000341617_90_90;0.532;0.522;1.0;0.541;0.071;0.0;0.543;0.09;0.541;0.581;0.554;0.554;0.557;0.093
ENST00000358373_90_90;0.839;0.817;0.541;1.0;0.053;0.243;0.37;0.063;1.0;0.79;0.916;0.916;0.344;0.061
ENST00000412160_90_90;0.05;0.05;0.071;0.053;1.0;0.0;0.135;0.0;0.053;0.057;0.053;0.053;0.135;1.0
ENST00000444921_90_90;0.339;0.367;0.0;0.243;0.0;1.0;0.0;0.0;0.243;0.313;0.254;0.254;0.0;0.0
ENST00000457830_90_90;0.316;0.354;0.543;0.37;0.135;0.0;1.0;0.15;0.37;0.344;0.328;0.328;0.899;0.161
ENST00000465844_90_90;0.106;0.061;0.09;0.063;0.0;0.0;0.15;1.0;0.063;0.12;0.113;0.113;0.29;0.0
ENST00000472701_90_90;0.839;0.817;0.541;1.0;0.053;0.243;0.37;0.063;1.0;0.79;0.916;0.916;0.344;0.061
ENSMUST00000090512_90_90;0.956;0.904;0.581;0.79;0.057;0.313;0.344;0.12;0.79;1.0;0.84;0.84;0.37;0.053
ENSMUST00000115323_90_90;0.954;0.793;0.554;0.916;0.053;0.254;0.328;0.113;0.916;0.84;1.0;1.0;0.37;0.053
ENSMUST00000115324_90_90;0.954;0.793;0.554;0.916;0.053;0.254;0.328;0.113;0.916;0.84;1.0;1.0;0.37;0.053
ENSMUST00000131897_90_90;0.37;0.363;0.557;0.344;0.135;0.0;0.899;0.29;0.344;0.37;0.37;0.37;1.0;0.135
ENSMUST00000132755_90_90;0.053;0.067;0.093;0.061;1.0;0.0;0.161;0.0;0.061;0.053;0.053;0.053;0.135;1.0
