;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.55;0.611;0.458;0.153;0.583;0.145;0.145;0.261;0.577;0.782;0.699;0.669;0.617
ENST00000265651_90_90;0.55;1.0;0.821;0.744;0.29;0.777;0.304;0.304;0.455;0.839;0.526;0.672;0.634;0.584
ENST00000448981_90_90;0.611;0.821;1.0;0.586;0.294;0.953;0.182;0.182;0.457;0.863;0.553;0.816;0.774;0.606
ENST00000526785_90_90;0.458;0.744;0.586;1.0;0.048;0.612;0.408;0.408;0.199;0.599;0.438;0.567;0.59;0.472
ENST00000529137_90_90;0.153;0.29;0.294;0.048;1.0;0.25;0.0;0.0;0.614;0.302;0.146;0.192;0.153;0.211
ENST00000530401_90_90;0.583;0.777;0.953;0.612;0.25;1.0;0.191;0.191;0.409;0.818;0.528;0.774;0.806;0.57
ENST00000531080_90_90;0.145;0.304;0.182;0.408;0.0;0.191;1.0;1.0;0.0;0.186;0.139;0.177;0.184;0.082
ENST00000532057_90_90;0.145;0.304;0.182;0.408;0.0;0.191;1.0;1.0;0.0;0.186;0.139;0.177;0.184;0.082
ENST00000532927_90_90;0.261;0.455;0.457;0.199;0.614;0.409;0.0;0.0;1.0;0.473;0.247;0.331;0.29;0.366
ENST00000534136_90_90;0.577;0.839;0.863;0.599;0.302;0.818;0.186;0.186;0.473;1.0;0.551;0.706;0.667;0.611
ENSMUST00000028603_90_90;0.782;0.526;0.553;0.438;0.146;0.528;0.139;0.139;0.247;0.551;1.0;0.667;0.64;0.661
ENSMUST00000102565_90_90;0.699;0.672;0.816;0.567;0.192;0.774;0.177;0.177;0.331;0.706;0.667;1.0;0.956;0.76
ENSMUST00000111135_90_90;0.669;0.634;0.774;0.59;0.153;0.806;0.184;0.184;0.29;0.667;0.64;0.956;1.0;0.721
ENSMUST00000111136_90_90;0.617;0.584;0.606;0.472;0.211;0.57;0.082;0.082;0.366;0.611;0.661;0.76;0.721;1.0
