;ENSCAFT00000014361_90_90;ENSCAFT00000049149_90_90;ENST00000258104_90_90;ENST00000394120_90_90;ENST00000409366_90_90;ENST00000409582_90_90;ENST00000409651_90_90;ENST00000409744_90_90;ENST00000409762_90_90;ENST00000410020_90_90;ENST00000410041_90_90;ENST00000413539_90_90;ENST00000429174_90_90;ENSMUST00000081904_90_90;ENSMUST00000089595_90_90;ENSMUST00000113818_90_90;ENSMUST00000113821_90_90;ENSMUST00000113823_90_90;ENSMUST00000153860_90_90;ENSMUST00000168387_90_90;ENSMUST00000203695_90_90;ENSMUST00000203803_90_90;ENSMUST00000204354_90_90;ENSMUST00000204591_90_90;ENSMUST00000204987_90_90
ENSCAFT00000014361_90_90;1.0;0.722;0.667;0.786;0.857;0.733;0.857;0.786;0.667;0.857;0.786;0.733;0.733;0.733;0.733;0.667;0.625;0.625;0.688;0.688;0.8;0.733;0.733;0.688;0.8
ENSCAFT00000049149_90_90;0.722;1.0;0.923;0.786;0.857;0.857;0.733;0.786;0.786;0.733;0.667;0.857;1.0;0.625;0.733;0.667;0.857;0.733;0.929;0.929;0.688;0.733;0.733;0.8;0.8
ENST00000258104_90_90;0.667;0.923;1.0;0.867;0.812;0.75;0.812;0.688;0.8;0.647;0.688;0.933;0.933;0.625;0.8;0.667;0.929;0.733;0.867;1.0;0.75;0.8;0.625;0.688;0.75
ENST00000394120_90_90;0.786;0.786;0.867;1.0;0.933;0.647;0.933;0.8;0.688;0.75;0.8;0.812;0.812;0.733;0.929;0.786;0.8;0.625;0.75;0.867;0.867;0.688;0.733;0.588;0.867
ENST00000409366_90_90;0.857;0.857;0.812;0.933;1.0;0.706;0.875;0.867;0.647;0.812;0.75;0.765;0.875;0.688;0.867;0.733;0.75;0.588;0.812;0.812;0.812;0.647;0.8;0.647;0.933
ENST00000409582_90_90;0.733;0.857;0.75;0.647;0.706;1.0;0.706;0.8;0.929;0.867;0.8;0.812;0.812;0.733;0.588;0.667;0.688;0.857;0.75;0.75;0.647;0.688;0.733;0.929;0.647
ENST00000409651_90_90;0.857;0.733;0.812;0.933;0.875;0.706;1.0;0.75;0.75;0.812;0.867;0.875;0.765;0.8;0.867;0.733;0.75;0.688;0.706;0.812;0.933;0.75;0.688;0.647;0.812
ENST00000409744_90_90;0.786;0.786;0.688;0.8;0.867;0.8;0.75;1.0;0.733;0.929;0.857;0.647;0.75;0.786;0.733;0.846;0.625;0.667;0.688;0.688;0.688;0.529;0.923;0.733;0.8
ENST00000409762_90_90;0.667;0.786;0.8;0.688;0.647;0.929;0.75;0.733;1.0;0.8;0.857;0.867;0.75;0.786;0.625;0.714;0.733;0.923;0.688;0.8;0.688;0.733;0.667;0.857;0.588
ENST00000410020_90_90;0.857;0.733;0.647;0.75;0.812;0.867;0.812;0.929;0.8;1.0;0.929;0.706;0.706;0.857;0.688;0.786;0.588;0.733;0.647;0.647;0.75;0.588;0.857;0.8;0.75
ENST00000410041_90_90;0.786;0.667;0.688;0.8;0.75;0.8;0.867;0.857;0.857;0.929;1.0;0.75;0.647;0.923;0.733;0.846;0.625;0.786;0.588;0.688;0.8;0.625;0.786;0.733;0.688
ENST00000413539_90_90;0.733;0.857;0.933;0.812;0.765;0.812;0.875;0.647;0.867;0.706;0.75;1.0;0.875;0.688;0.75;0.625;0.867;0.8;0.812;0.933;0.812;0.867;0.588;0.75;0.706
ENST00000429174_90_90;0.733;1.0;0.933;0.812;0.875;0.812;0.765;0.75;0.75;0.706;0.647;0.875;1.0;0.588;0.75;0.625;0.867;0.688;0.933;0.933;0.706;0.75;0.688;0.75;0.812
ENSMUST00000081904_90_90;0.733;0.625;0.625;0.733;0.688;0.733;0.8;0.786;0.786;0.857;0.923;0.688;0.588;1.0;0.812;0.929;0.706;0.867;0.667;0.632;0.875;0.706;0.867;0.812;0.765
ENSMUST00000089595_90_90;0.733;0.733;0.8;0.929;0.867;0.588;0.867;0.733;0.625;0.688;0.733;0.75;0.75;0.812;1.0;0.867;0.875;0.706;0.824;0.778;0.938;0.765;0.812;0.667;0.938
ENSMUST00000113818_90_90;0.667;0.667;0.667;0.786;0.733;0.667;0.733;0.846;0.714;0.786;0.846;0.625;0.625;0.929;0.867;1.0;0.75;0.8;0.706;0.667;0.812;0.647;0.929;0.75;0.812
ENSMUST00000113821_90_90;0.625;0.857;0.929;0.8;0.75;0.688;0.75;0.625;0.733;0.588;0.625;0.867;0.867;0.706;0.875;0.75;1.0;0.812;0.938;0.882;0.824;0.875;0.706;0.765;0.824
ENSMUST00000113823_90_90;0.625;0.733;0.733;0.625;0.588;0.857;0.688;0.667;0.923;0.733;0.786;0.8;0.688;0.867;0.706;0.8;0.812;1.0;0.765;0.722;0.765;0.812;0.75;0.933;0.667
ENSMUST00000153860_90_90;0.688;0.929;0.867;0.75;0.812;0.75;0.706;0.688;0.688;0.647;0.588;0.812;0.933;0.667;0.824;0.706;0.938;0.765;1.0;0.833;0.778;0.824;0.765;0.824;0.882
ENSMUST00000168387_90_90;0.688;0.929;1.0;0.867;0.812;0.75;0.812;0.688;0.8;0.647;0.688;0.933;0.933;0.632;0.778;0.667;0.882;0.722;0.833;1.0;0.737;0.778;0.632;0.684;0.737
ENSMUST00000203695_90_90;0.8;0.688;0.75;0.867;0.812;0.647;0.933;0.688;0.688;0.75;0.8;0.812;0.706;0.875;0.938;0.812;0.824;0.765;0.778;0.737;1.0;0.824;0.765;0.722;0.882
ENSMUST00000203803_90_90;0.733;0.733;0.8;0.688;0.647;0.688;0.75;0.529;0.733;0.588;0.625;0.867;0.75;0.706;0.765;0.647;0.875;0.812;0.824;0.778;0.824;1.0;0.611;0.765;0.722
ENSMUST00000204354_90_90;0.733;0.733;0.625;0.733;0.8;0.733;0.688;0.923;0.667;0.857;0.786;0.588;0.688;0.867;0.812;0.929;0.706;0.75;0.765;0.632;0.765;0.611;1.0;0.812;0.875
ENSMUST00000204591_90_90;0.688;0.8;0.688;0.588;0.647;0.929;0.647;0.733;0.857;0.8;0.733;0.75;0.75;0.812;0.667;0.75;0.765;0.933;0.824;0.684;0.722;0.765;0.812;1.0;0.722
ENSMUST00000204987_90_90;0.8;0.8;0.75;0.867;0.933;0.647;0.812;0.8;0.588;0.75;0.688;0.706;0.812;0.765;0.938;0.812;0.824;0.667;0.882;0.737;0.882;0.722;0.875;0.722;1.0
