;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.978;0.504;0.015;0.015;0.03;0.03;0.03;0.985;1.0;0.015;0.978;1.0;0.985
transcript8_ENSHGLG00100006079;0.978;1.0;0.481;0.008;0.008;0.015;0.015;0.015;0.963;0.978;0.008;1.0;0.978;0.963
transcript6_ENSPCIG00000036398;0.504;0.481;1.0;0.014;0.014;0.029;0.029;0.029;0.511;0.504;0.014;0.481;0.504;0.511
transcript7_ENSPCIG00000036398;0.015;0.008;0.014;1.0;1.0;0.5;0.5;0.5;0.007;0.015;1.0;0.008;0.015;0.007
transcript7_ENSMUNG00000007775;0.015;0.008;0.014;1.0;1.0;0.5;0.5;0.5;0.007;0.015;1.0;0.008;0.015;0.007
transcript16_ENSMUNG00000007775;0.03;0.015;0.029;0.5;0.5;1.0;1.0;1.0;0.015;0.03;0.5;0.015;0.03;0.015
transcript23_ENSMUNG00000007775;0.03;0.015;0.029;0.5;0.5;1.0;1.0;1.0;0.015;0.03;0.5;0.015;0.03;0.015
transcript16_ENSMUNG00000002377;0.03;0.015;0.029;0.5;0.5;1.0;1.0;1.0;0.015;0.03;0.5;0.015;0.03;0.015
transcript10_ENSMUNG00000002391;0.985;0.963;0.511;0.007;0.007;0.015;0.015;0.015;1.0;0.985;0.007;0.963;0.985;1.0
transcript2_ENSXMAG00000026005;1.0;0.978;0.504;0.015;0.015;0.03;0.03;0.03;0.985;1.0;0.015;0.978;1.0;0.985
transcript7_ENSXMAG00000026005;0.015;0.008;0.014;1.0;1.0;0.5;0.5;0.5;0.007;0.015;1.0;0.008;0.015;0.007
transcript8_ENSXMAG00000026005;0.978;1.0;0.481;0.008;0.008;0.015;0.015;0.015;0.963;0.978;0.008;1.0;0.978;0.963
transcript9_ENSXMAG00000026005;1.0;0.978;0.504;0.015;0.015;0.03;0.03;0.03;0.985;1.0;0.015;0.978;1.0;0.985
transcript10_ENSXMAG00000026005;0.985;0.963;0.511;0.007;0.007;0.015;0.015;0.015;1.0;0.985;0.007;0.963;0.985;1.0
