;ENSCAFT00000031985_90_90;ENST00000370197_90_90;ENST00000370198_90_90;ENST00000426398_90_90;ENST00000609116_90_90;ENSMUST00000029780_90_90;ENSMUST00000195902_90_90;ENSMUST00000197387_90_90;ENSMUST00000197464_90_90;ENSMUST00000197833_90_90;ENSMUST00000198403_90_90;ENSMUST00000200097_90_90
ENSCAFT00000031985_90_90;1.0;1.0;0.998;0.997;0.999;0.998;0.282;0.062;0.442;0.667;0.073;0.996
ENST00000370197_90_90;1.0;1.0;0.998;0.989;0.991;0.989;0.289;0.061;0.438;0.662;0.073;0.988
ENST00000370198_90_90;0.998;0.998;1.0;0.991;0.989;0.988;0.289;0.062;0.439;0.663;0.073;0.989
ENST00000426398_90_90;0.997;0.989;0.991;1.0;0.998;0.997;0.28;0.062;0.443;0.669;0.073;0.999
ENST00000609116_90_90;0.999;0.991;0.989;0.998;1.0;0.999;0.279;0.062;0.442;0.668;0.073;0.997
ENSMUST00000029780_90_90;0.998;0.989;0.988;0.997;0.999;1.0;0.279;0.062;0.439;0.669;0.071;0.998
ENSMUST00000195902_90_90;0.282;0.289;0.289;0.28;0.279;0.279;1.0;0.213;0.0;0.307;0.0;0.28
ENSMUST00000197387_90_90;0.062;0.061;0.062;0.062;0.062;0.062;0.213;1.0;0.0;0.093;0.0;0.062
ENSMUST00000197464_90_90;0.442;0.438;0.439;0.443;0.442;0.439;0.0;0.0;1.0;0.654;0.152;0.44
ENSMUST00000197833_90_90;0.667;0.662;0.663;0.669;0.668;0.669;0.307;0.093;0.654;1.0;0.105;0.67
ENSMUST00000198403_90_90;0.073;0.073;0.073;0.073;0.073;0.071;0.0;0.0;0.152;0.105;1.0;0.071
ENSMUST00000200097_90_90;0.996;0.988;0.989;0.999;0.997;0.998;0.28;0.062;0.44;0.67;0.071;1.0
