;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.88;0.808;0.913;0.808;0.808;0.808;0.318;0.091;0.045;0.182;0.364;0.522;0.409;0.136;0.12;0.227;0.5;0.652;0.273;0.88;0.8;0.391;0.87;0.739
ENSCAFT00000045366_90_90;0.88;1.0;0.923;0.808;0.923;0.923;0.923;0.28;0.08;0.04;0.16;0.32;0.462;0.36;0.12;0.24;0.2;0.44;0.577;0.24;0.923;0.846;0.346;0.769;0.72
ENST00000340022_90_90;0.808;0.923;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.852;0.778;0.346;0.704;0.654
ENST00000394503_90_90;0.913;0.808;0.88;1.0;0.88;0.88;0.88;0.318;0.091;0.045;0.182;0.364;0.591;0.409;0.136;0.12;0.227;0.435;0.727;0.273;0.808;0.731;0.391;0.792;0.667
ENST00000394505_90_90;0.808;0.923;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.852;0.778;0.346;0.704;0.654
ENST00000394507_90_90;0.808;0.923;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.852;0.778;0.346;0.704;0.654
ENST00000412043_90_90;0.808;0.923;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.852;0.778;0.346;0.704;0.654
ENST00000413688_90_90;0.318;0.28;0.28;0.318;0.28;0.28;0.28;1.0;0.286;0.143;0.571;0.875;0.538;0.778;0.429;0.0;0.714;0.636;0.438;0.857;0.28;0.304;0.7;0.333;0.389
ENST00000422347_90_90;0.091;0.08;0.08;0.091;0.08;0.08;0.08;0.286;1.0;0.5;0.5;0.25;0.154;0.222;0.667;0.0;0.4;0.182;0.125;0.333;0.08;0.087;0.2;0.095;0.111
ENST00000425073_90_90;0.045;0.04;0.04;0.045;0.04;0.04;0.04;0.143;0.5;1.0;0.25;0.125;0.077;0.111;0.333;0.0;0.2;0.091;0.062;0.167;0.04;0.043;0.1;0.048;0.056
ENST00000425919_90_90;0.182;0.16;0.16;0.182;0.16;0.16;0.16;0.571;0.5;0.25;1.0;0.5;0.308;0.444;0.75;0.0;0.8;0.364;0.25;0.667;0.16;0.174;0.4;0.19;0.222
ENST00000430102_90_90;0.364;0.32;0.32;0.364;0.32;0.32;0.32;0.875;0.25;0.125;0.5;1.0;0.615;0.889;0.375;0.0;0.625;0.727;0.5;0.75;0.32;0.348;0.8;0.381;0.444
ENST00000433016_90_90;0.522;0.462;0.52;0.591;0.52;0.52;0.52;0.538;0.154;0.077;0.308;0.615;1.0;0.692;0.231;0.0;0.385;0.714;0.812;0.462;0.462;0.5;0.643;0.545;0.632
ENST00000440209_90_90;0.409;0.36;0.36;0.409;0.36;0.36;0.36;0.778;0.222;0.111;0.444;0.889;0.692;1.0;0.333;0.0;0.556;0.818;0.562;0.667;0.36;0.391;0.9;0.429;0.5
ENST00000444960_90_90;0.136;0.12;0.12;0.136;0.12;0.12;0.12;0.429;0.667;0.333;0.75;0.375;0.231;0.333;1.0;0.0;0.6;0.273;0.188;0.5;0.12;0.13;0.3;0.143;0.167
ENST00000445516_90_90;0.12;0.24;0.24;0.12;0.24;0.24;0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.048;0.0;0.192;0.208;0.0;0.125;0.143
ENST00000452773_90_90;0.227;0.2;0.2;0.227;0.2;0.2;0.2;0.714;0.4;0.2;0.8;0.625;0.385;0.556;0.6;0.0;1.0;0.455;0.312;0.833;0.2;0.217;0.5;0.238;0.278
ENST00000454017_90_90;0.5;0.44;0.385;0.435;0.385;0.385;0.385;0.636;0.182;0.091;0.364;0.727;0.714;0.818;0.273;0.0;0.455;1.0;0.588;0.545;0.44;0.478;0.75;0.524;0.611
ENST00000458177_90_90;0.652;0.577;0.64;0.727;0.64;0.64;0.64;0.438;0.125;0.062;0.25;0.5;0.812;0.562;0.188;0.048;0.312;0.588;1.0;0.375;0.577;0.625;0.529;0.682;0.789
ENST00000458493_90_90;0.273;0.24;0.24;0.273;0.24;0.24;0.24;0.857;0.333;0.167;0.667;0.75;0.462;0.667;0.5;0.0;0.833;0.545;0.375;1.0;0.24;0.261;0.6;0.286;0.333
ENSMUST00000080085_90_90;0.88;0.923;0.852;0.808;0.852;0.852;0.852;0.28;0.08;0.04;0.16;0.32;0.462;0.36;0.12;0.192;0.2;0.44;0.577;0.24;1.0;0.92;0.346;0.769;0.72
ENSMUST00000171023_90_90;0.8;0.846;0.778;0.731;0.778;0.778;0.778;0.304;0.087;0.043;0.174;0.348;0.5;0.391;0.13;0.208;0.217;0.478;0.625;0.261;0.92;1.0;0.375;0.76;0.783
ENSMUST00000198079_90_90;0.391;0.346;0.346;0.391;0.346;0.346;0.346;0.7;0.2;0.1;0.4;0.8;0.643;0.9;0.3;0.0;0.5;0.75;0.529;0.6;0.346;0.375;1.0;0.409;0.474
ENSMUST00000200386_90_90;0.87;0.769;0.704;0.792;0.704;0.704;0.704;0.333;0.095;0.048;0.19;0.381;0.545;0.429;0.143;0.125;0.238;0.524;0.682;0.286;0.769;0.76;0.409;1.0;0.773
ENSMUST00000200577_90_90;0.739;0.72;0.654;0.667;0.654;0.654;0.654;0.389;0.111;0.056;0.222;0.444;0.632;0.5;0.167;0.143;0.278;0.611;0.789;0.333;0.72;0.783;0.474;0.773;1.0
