;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.611;1.0;1.0;0.833;0.533;0.923;0.923;0.75;0.0;0.0;0.846;0.385;0.077;0.846;0.692
ENSCAFT00000039005_90_90;0.611;1.0;0.611;0.611;0.778;0.222;0.667;0.667;0.867;0.0;0.0;0.5;0.2;0.077;0.714;0.467
ENST00000319836_90_90;1.0;0.611;1.0;1.0;0.773;0.588;0.929;0.929;0.684;0.0;0.0;0.857;0.429;0.071;0.857;0.714
ENST00000395769_90_90;1.0;0.611;1.0;1.0;0.773;0.588;0.929;0.929;0.684;0.0;0.0;0.857;0.429;0.071;0.857;0.714
ENST00000453424_90_90;0.833;0.778;0.773;0.773;1.0;0.455;0.684;0.684;0.947;0.0;0.0;0.632;0.316;0.053;0.632;0.526
ENST00000453980_90_90;0.533;0.222;0.588;0.588;0.455;1.0;0.5;0.5;0.368;0.0;0.0;0.667;0.75;0.0;0.429;0.636
ENSMUST00000079012_90_90;0.923;0.667;0.929;0.929;0.684;0.5;1.0;1.0;0.75;0.067;0.133;0.688;0.533;0.067;0.8;0.8
ENSMUST00000101032_90_90;0.923;0.667;0.929;0.929;0.684;0.5;1.0;1.0;0.75;0.067;0.133;0.688;0.533;0.067;0.8;0.8
ENSMUST00000123405_90_90;0.75;0.867;0.684;0.684;0.947;0.368;0.75;0.75;1.0;0.05;0.1;0.524;0.4;0.05;0.6;0.6
ENSMUST00000126376_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.067;0.067;0.05;1.0;0.5;0.0;0.125;0.0;0.0;0.083
ENSMUST00000129170_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.133;0.133;0.1;0.5;1.0;0.0;0.25;0.0;0.0;0.167
ENSMUST00000135901_90_90;0.846;0.5;0.857;0.857;0.632;0.667;0.688;0.688;0.524;0.0;0.0;1.0;0.429;0.083;0.714;0.714
ENSMUST00000140884_90_90;0.385;0.2;0.429;0.429;0.316;0.75;0.533;0.533;0.4;0.125;0.25;0.429;1.0;0.0;0.333;0.667
ENSMUST00000203116_90_90;0.077;0.077;0.071;0.071;0.053;0.0;0.067;0.067;0.05;0.0;0.0;0.083;0.0;1.0;0.083;0.083
ENSMUST00000203193_90_90;0.846;0.714;0.857;0.857;0.632;0.429;0.8;0.8;0.6;0.0;0.0;0.714;0.333;0.083;1.0;0.6
ENSMUST00000204657_90_90;0.692;0.467;0.714;0.714;0.526;0.636;0.8;0.8;0.6;0.083;0.167;0.714;0.667;0.083;0.6;1.0
