;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;1.0;0.46;0.093;0.5;0.454;0.715;0.847;0.96;0.421;0.823;0.823
ENST00000320280_90_90;0.46;1.0;0.0;0.045;0.179;0.579;0.496;0.556;0.352;0.671;0.671
ENST00000510030_90_90;0.093;0.0;1.0;0.211;0.19;0.118;0.101;0.113;0.281;0.136;0.136
ENST00000511551_90_90;0.5;0.045;0.211;1.0;0.463;0.188;0.298;0.37;0.377;0.233;0.233
ENST00000614488_90_90;0.454;0.179;0.19;0.463;1.0;0.425;0.578;0.49;0.598;0.356;0.356
ENST00000618166_90_90;0.715;0.579;0.118;0.188;0.425;1.0;0.846;0.864;0.464;0.903;0.903
ENST00000621999_90_90;0.847;0.496;0.101;0.298;0.578;0.846;1.0;0.945;0.421;0.823;0.823
ENSMUST00000022197_90_90;0.96;0.556;0.113;0.37;0.49;0.864;0.945;1.0;0.364;0.73;0.73
ENSMUST00000138255_90_90;0.421;0.352;0.281;0.377;0.598;0.464;0.421;0.364;1.0;0.516;0.516
ENSMUST00000152555_90_90;0.823;0.671;0.136;0.233;0.356;0.903;0.823;0.73;0.516;1.0;1.0
ENSMUST00000153558_90_90;0.823;0.671;0.136;0.233;0.356;0.903;0.823;0.73;0.516;1.0;1.0
