;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.798;0.762;0.135;0.124;0.085;0.568;0.576;0.701;0.266;0.151
ENST00000318445_90_90;0.798;1.0;0.778;0.108;0.116;0.082;0.564;0.572;0.689;0.249;0.124
ENST00000424469_90_90;0.762;0.778;1.0;0.116;0.134;0.091;0.642;0.72;0.789;0.289;0.137
ENST00000553304_90_90;0.135;0.108;0.116;1.0;0.0;0.0;0.118;0.12;0.131;0.347;0.68
ENST00000555210_90_90;0.124;0.116;0.134;0.0;1.0;0.651;0.143;0.145;0.145;0.0;0.0
ENST00000555892_90_90;0.085;0.082;0.091;0.0;0.651;1.0;0.095;0.097;0.1;0.0;0.0
ENSMUST00000026897_90_90;0.568;0.564;0.642;0.118;0.143;0.095;1.0;0.889;0.727;0.354;0.141
ENSMUST00000098371_90_90;0.576;0.572;0.72;0.12;0.145;0.097;0.889;1.0;0.736;0.358;0.143
ENSMUST00000107453_90_90;0.701;0.689;0.789;0.131;0.145;0.1;0.727;0.736;1.0;0.348;0.15
ENSMUST00000134539_90_90;0.266;0.249;0.289;0.347;0.0;0.0;0.354;0.358;0.348;1.0;0.361
ENSMUST00000138099_90_90;0.151;0.124;0.137;0.68;0.0;0.0;0.141;0.143;0.15;0.361;1.0
