;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.787;0.787;0.986;0.817;0.787;0.215;0.701;0.909;0.954
ENSCAFT00000008903_90_90;0.787;1.0;1.0;0.799;0.968;1.0;0.135;0.706;0.786;0.822
ENST00000343600_90_90;0.787;1.0;1.0;0.799;0.968;1.0;0.135;0.706;0.786;0.822
ENST00000345429_90_90;0.986;0.799;0.799;1.0;0.829;0.799;0.226;0.695;0.922;0.967
ENST00000376673_90_90;0.817;0.968;0.968;0.829;1.0;0.968;0.131;0.684;0.765;0.799
ENST00000397601_90_90;0.787;1.0;1.0;0.799;0.968;1.0;0.135;0.706;0.786;0.822
ENST00000449284_90_90;0.215;0.135;0.135;0.226;0.131;0.135;1.0;0.0;0.28;0.232
ENST00000469707_90_90;0.701;0.706;0.706;0.695;0.684;0.706;0.0;1.0;0.684;0.718
ENSMUST00000088419_90_90;0.909;0.786;0.786;0.922;0.765;0.786;0.28;0.684;1.0;0.952
ENSMUST00000167459_90_90;0.954;0.822;0.822;0.967;0.799;0.822;0.232;0.718;0.952;1.0
