;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.917;0.84;0.913;0.84;0.84;0.84;0.318;0.091;0.045;0.182;0.364;0.478;0.409;0.136;0.167;0.227;0.478;0.609;0.273;0.84;0.76;0.391;0.792;0.696
ENSCAFT00000045366_90_90;0.917;1.0;0.92;0.84;0.92;0.92;0.92;0.292;0.083;0.042;0.167;0.333;0.44;0.375;0.125;0.25;0.208;0.44;0.56;0.25;0.92;0.84;0.36;0.731;0.708
ENST00000340022_90_90;0.84;0.92;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.846;0.769;0.36;0.667;0.64
ENST00000394503_90_90;0.913;0.84;0.917;1.0;0.917;0.917;0.917;0.318;0.091;0.045;0.182;0.364;0.545;0.409;0.136;0.167;0.227;0.417;0.682;0.273;0.769;0.692;0.391;0.72;0.625
ENST00000394505_90_90;0.84;0.92;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.846;0.769;0.36;0.667;0.64
ENST00000394507_90_90;0.84;0.92;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.846;0.769;0.36;0.667;0.64
ENST00000412043_90_90;0.84;0.92;1.0;0.917;1.0;1.0;1.0;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.25;0.208;0.385;0.625;0.25;0.846;0.769;0.36;0.667;0.64
ENST00000413688_90_90;0.318;0.292;0.292;0.318;0.292;0.292;0.292;1.0;0.286;0.143;0.571;0.875;0.583;0.778;0.429;0.0;0.714;0.583;0.467;0.857;0.292;0.318;0.7;0.333;0.412
ENST00000422347_90_90;0.091;0.083;0.083;0.091;0.083;0.083;0.083;0.286;1.0;0.5;0.5;0.25;0.167;0.222;0.667;0.0;0.4;0.167;0.133;0.333;0.083;0.091;0.2;0.095;0.118
ENST00000425073_90_90;0.045;0.042;0.042;0.045;0.042;0.042;0.042;0.143;0.5;1.0;0.25;0.125;0.083;0.111;0.333;0.0;0.2;0.083;0.067;0.167;0.042;0.045;0.1;0.048;0.059
