;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.907;0.871;0.956;0.871;0.871;0.871;0.21;0.064;0.031;0.118;0.253;0.395;0.286;0.092;0.14;0.155;0.368;0.502;0.184;0.907;0.841;0.275;0.895;0.561
ENSCAFT00000045366_90_90;0.907;1.0;0.961;0.871;0.961;0.961;0.961;0.187;0.057;0.028;0.106;0.227;0.356;0.256;0.083;0.232;0.14;0.331;0.453;0.164;0.961;0.896;0.247;0.815;0.584
ENST00000340022_90_90;0.871;0.961;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.924;0.861;0.247;0.781;0.55
ENST00000394503_90_90;0.956;0.871;0.907;1.0;0.907;0.907;0.907;0.21;0.064;0.031;0.118;0.253;0.429;0.286;0.092;0.14;0.155;0.335;0.54;0.184;0.871;0.805;0.275;0.855;0.524
ENST00000394505_90_90;0.871;0.961;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.924;0.861;0.247;0.781;0.55
ENST00000394507_90_90;0.871;0.961;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.924;0.861;0.247;0.781;0.55
ENST00000412043_90_90;0.871;0.961;1.0;0.907;1.0;1.0;1.0;0.187;0.057;0.028;0.106;0.227;0.385;0.256;0.083;0.232;0.14;0.302;0.485;0.164;0.924;0.861;0.247;0.781;0.55
ENST00000413688_90_90;0.21;0.187;0.187;0.21;0.187;0.187;0.187;1.0;0.324;0.155;0.559;0.792;0.457;0.699;0.46;0.0;0.775;0.531;0.361;0.902;0.187;0.202;0.613;0.22;0.3
ENST00000422347_90_90;0.064;0.057;0.057;0.064;0.057;0.057;0.057;0.324;1.0;0.484;0.579;0.253;0.145;0.223;0.701;0.0;0.415;0.168;0.114;0.357;0.057;0.061;0.195;0.067;0.093
ENST00000425073_90_90;0.031;0.028;0.028;0.031;0.028;0.028;0.028;0.155;0.484;1.0;0.278;0.122;0.07;0.107;0.338;0.0;0.201;0.081;0.055;0.172;0.028;0.03;0.094;0.033;0.045
ENST00000425919_90_90;0.118;0.106;0.106;0.118;0.106;0.106;0.106;0.559;0.579;0.278;1.0;0.445;0.257;0.392;0.823;0.0;0.728;0.299;0.203;0.623;0.106;0.114;0.344;0.124;0.169
ENST00000430102_90_90;0.253;0.227;0.227;0.253;0.227;0.227;0.227;0.792;0.253;0.122;0.445;1.0;0.573;0.881;0.361;0.0;0.609;0.664;0.451;0.711;0.227;0.244;0.77;0.266;0.37
