;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.716;0.662;0.71;0.72;0.693;0.613;0.891;0.893;0.921;0.716;0.906;0.921;0.833;0.864;0.822;0.716;0.833;0.745;0.828;0.828;0.659;0.758;0.819;0.742;0.776;0.756;0.556;0.688;0.842;0.842;0.842;0.827;0.877;0.754;0.842
transcript37_ENSMUGG00000013649;0.716;1.0;0.92;0.99;0.97;0.97;0.857;0.798;0.8;0.772;1.0;0.754;0.772;0.742;0.72;0.731;1.0;0.742;0.67;0.74;0.74;0.922;0.662;0.73;0.639;0.69;0.66;0.425;0.634;0.855;0.855;0.855;0.837;0.78;0.921;0.855
transcript57_ENSMUGG00000013649;0.662;0.92;1.0;0.91;0.891;0.897;0.783;0.729;0.731;0.704;0.92;0.684;0.704;0.673;0.651;0.661;0.92;0.673;0.599;0.67;0.67;0.842;0.593;0.659;0.569;0.621;0.591;0.382;0.595;0.787;0.787;0.787;0.768;0.712;0.845;0.787
transcript58_ENSMUGG00000013649;0.71;0.99;0.91;1.0;0.98;0.96;0.847;0.79;0.791;0.764;0.99;0.745;0.764;0.734;0.712;0.722;0.99;0.734;0.663;0.734;0.734;0.914;0.655;0.723;0.632;0.683;0.654;0.429;0.626;0.847;0.847;0.847;0.828;0.772;0.911;0.847
transcript59_ENSMUGG00000013649;0.72;0.97;0.891;0.98;1.0;0.941;0.828;0.802;0.804;0.775;0.97;0.756;0.775;0.745;0.723;0.734;0.97;0.745;0.674;0.745;0.745;0.895;0.665;0.734;0.642;0.694;0.664;0.436;0.637;0.832;0.832;0.832;0.812;0.784;0.894;0.832
transcript37_ENSMUGG00000013592;0.693;0.97;0.897;0.96;0.941;1.0;0.883;0.772;0.774;0.748;0.97;0.731;0.748;0.719;0.698;0.707;0.97;0.719;0.645;0.716;0.716;0.894;0.637;0.716;0.619;0.667;0.636;0.414;0.615;0.83;0.83;0.83;0.815;0.758;0.896;0.83
transcript51_ENSMUGG00000013592;0.613;0.857;0.783;0.847;0.828;0.883;1.0;0.675;0.677;0.651;0.857;0.664;0.651;0.621;0.6;0.609;0.857;0.621;0.546;0.617;0.617;0.781;0.539;0.617;0.688;0.569;0.538;0.358;0.566;0.733;0.733;0.733;0.717;0.661;0.788;0.733
transcript8_ENSCGRG00015005362;0.891;0.798;0.729;0.79;0.802;0.772;0.675;1.0;0.998;0.968;0.798;0.948;0.968;0.938;0.913;0.925;0.798;0.938;0.824;0.918;0.918;0.731;0.837;0.907;0.812;0.865;0.835;0.571;0.785;0.943;0.943;0.943;0.923;0.978;0.834;0.943
transcript9_ENSCGRG00015005362;0.893;0.8;0.731;0.791;0.804;0.774;0.677;0.998;1.0;0.97;0.8;0.95;0.97;0.94;0.915;0.927;0.8;0.94;0.825;0.919;0.919;0.732;0.839;0.908;0.815;0.867;0.837;0.572;0.788;0.945;0.945;0.945;0.925;0.98;0.835;0.945
transcript38_ENSCGRG00015005362;0.921;0.772;0.704;0.764;0.775;0.748;0.651;0.968;0.97;1.0;0.772;0.98;1.0;0.909;0.943;0.897;0.772;0.909;0.805;0.899;0.899;0.714;0.819;0.889;0.794;0.847;0.817;0.59;0.758;0.916;0.916;0.916;0.897;0.95;0.807;0.916
