;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.857;0.2;0.688;0.4;0.077;0.143;0.706;0.929;0.706
ENST00000308664_90_90;0.857;1.0;0.2;0.8;0.4;0.077;0.143;0.611;0.8;0.611
ENST00000377685_90_90;0.2;0.2;1.0;0.188;0.0;0.0;0.0;0.167;0.188;0.167
ENST00000539276_90_90;0.688;0.8;0.188;1.0;0.571;0.071;0.133;0.765;0.647;0.765
ENST00000548169_90_90;0.4;0.4;0.0;0.571;1.0;0.125;0.222;0.5;0.375;0.5
ENST00000552636_90_90;0.077;0.077;0.0;0.071;0.125;1.0;0.0;0.062;0.071;0.062
ENST00000553144_90_90;0.143;0.143;0.0;0.133;0.222;0.0;1.0;0.118;0.133;0.118
ENSMUST00000031423_90_90;0.706;0.611;0.167;0.765;0.5;0.062;0.118;1.0;0.765;1.0
ENSMUST00000177974_90_90;0.929;0.8;0.188;0.647;0.375;0.071;0.133;0.765;1.0;0.765
ENSMUST00000179939_90_90;0.706;0.611;0.167;0.765;0.5;0.062;0.118;1.0;0.765;1.0
