;ENSCAFT00000014154_90_90;ENST00000426335_90_90;ENST00000524586_90_90;ENST00000524782_90_90;ENST00000525314_90_90;ENST00000525398_90_90;ENST00000526342_90_90;ENST00000527776_90_90;ENST00000527927_90_90;ENST00000528041_90_90;ENST00000528444_90_90;ENST00000528708_90_90;ENST00000529439_90_90;ENST00000529455_90_90;ENST00000530596_90_90;ENST00000532438_90_90;ENST00000532478_90_90;ENST00000533243_90_90;ENST00000627920_90_90;ENST00000629231_90_90;ENSMUST00000028691_90_90;ENSMUST00000080008_90_90
ENSCAFT00000014154_90_90;1.0;0.907;0.131;0.959;0.415;0.56;0.261;0.454;0.488;0.172;0.369;0.0;0.0;0.216;0.29;0.13;0.19;0.096;0.701;0.096;0.99;0.99
ENST00000426335_90_90;0.907;1.0;0.176;0.946;0.393;0.534;0.316;0.479;0.556;0.217;0.34;0.004;0.002;0.266;0.278;0.178;0.175;0.142;0.781;0.142;0.844;0.866
ENST00000524586_90_90;0.131;0.176;1.0;0.167;0.341;0.264;0.342;0.0;0.314;0.454;0.36;0.018;0.009;0.628;0.435;0.947;0.275;0.635;0.225;0.635;0.116;0.119
ENST00000524782_90_90;0.959;0.946;0.167;1.0;0.445;0.586;0.299;0.454;0.527;0.211;0.391;0.004;0.002;0.254;0.332;0.169;0.228;0.134;0.739;0.134;0.893;0.916
ENST00000525314_90_90;0.415;0.393;0.341;0.445;1.0;0.697;0.185;0.0;0.24;0.437;0.771;0.007;0.004;0.525;0.687;0.348;0.472;0.278;0.191;0.278;0.408;0.383
ENST00000525398_90_90;0.56;0.534;0.264;0.586;0.697;1.0;0.152;0.066;0.419;0.336;0.672;0.006;0.003;0.404;0.528;0.268;0.363;0.214;0.332;0.214;0.519;0.533
ENST00000526342_90_90;0.261;0.316;0.342;0.299;0.185;0.152;1.0;0.308;0.375;0.315;0.192;0.012;0.006;0.28;0.24;0.351;0.086;0.392;0.405;0.392;0.238;0.244
ENST00000527776_90_90;0.454;0.479;0.0;0.454;0.0;0.066;0.308;1.0;0.347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.614;0.0;0.443;0.454
ENST00000527927_90_90;0.488;0.556;0.314;0.527;0.24;0.419;0.375;0.347;1.0;0.199;0.207;0.007;0.003;0.273;0.221;0.32;0.132;0.255;0.713;0.255;0.451;0.463
ENST00000528041_90_90;0.172;0.217;0.454;0.211;0.437;0.336;0.315;0.0;0.199;1.0;0.461;0.016;0.008;0.791;0.636;0.47;0.422;0.547;0.148;0.547;0.154;0.158
ENST00000528444_90_90;0.369;0.34;0.36;0.391;0.771;0.672;0.192;0.0;0.207;0.461;1.0;0.008;0.004;0.554;0.725;0.367;0.499;0.26;0.164;0.26;0.34;0.348
ENST00000528708_90_90;0.0;0.004;0.018;0.004;0.007;0.006;0.012;0.0;0.007;0.016;0.008;1.0;0.941;0.014;0.011;0.019;0.015;0.024;0.005;0.024;0.0;0.0
ENST00000529439_90_90;0.0;0.002;0.009;0.002;0.004;0.003;0.006;0.0;0.003;0.008;0.004;0.941;1.0;0.007;0.005;0.01;0.007;0.012;0.003;0.012;0.0;0.0
ENST00000529455_90_90;0.216;0.266;0.628;0.254;0.525;0.404;0.28;0.0;0.273;0.791;0.554;0.014;0.007;1.0;0.696;0.652;0.568;0.452;0.203;0.452;0.196;0.201
ENST00000530596_90_90;0.29;0.278;0.435;0.332;0.687;0.528;0.24;0.0;0.221;0.636;0.725;0.011;0.005;0.696;1.0;0.448;0.613;0.355;0.17;0.355;0.266;0.273
ENST00000532438_90_90;0.13;0.178;0.947;0.169;0.348;0.268;0.351;0.0;0.32;0.47;0.367;0.019;0.01;0.652;0.448;1.0;0.284;0.668;0.228;0.668;0.115;0.118
ENST00000532478_90_90;0.19;0.175;0.275;0.228;0.472;0.363;0.086;0.0;0.132;0.422;0.499;0.015;0.007;0.568;0.613;0.284;1.0;0.129;0.1;0.129;0.174;0.178
ENST00000533243_90_90;0.096;0.142;0.635;0.134;0.278;0.214;0.392;0.0;0.255;0.547;0.26;0.024;0.012;0.452;0.355;0.668;0.129;1.0;0.182;1.0;0.083;0.085
ENST00000627920_90_90;0.701;0.781;0.225;0.739;0.191;0.332;0.405;0.614;0.713;0.148;0.164;0.005;0.003;0.203;0.17;0.228;0.1;0.182;1.0;0.182;0.651;0.668
ENST00000629231_90_90;0.096;0.142;0.635;0.134;0.278;0.214;0.392;0.0;0.255;0.547;0.26;0.024;0.012;0.452;0.355;0.668;0.129;1.0;0.182;1.0;0.083;0.085
ENSMUST00000028691_90_90;0.99;0.844;0.116;0.893;0.408;0.519;0.238;0.443;0.451;0.154;0.34;0.0;0.0;0.196;0.266;0.115;0.174;0.083;0.651;0.083;1.0;0.974
ENSMUST00000080008_90_90;0.99;0.866;0.119;0.916;0.383;0.533;0.244;0.454;0.463;0.158;0.348;0.0;0.0;0.201;0.273;0.118;0.178;0.085;0.668;0.085;0.974;1.0
