;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.759;0.816;0.907;0.526;0.459;0.528;0.461;0.424;0.472;0.528;0.418;0.34;0.562;0.412;0.36;0.368;0.538;0.461;0.082;0.069;0.08;0.089;0.44;0.463;0.457;0.488;0.581;0.619;0.381;0.472
transcript7_ENSSTOG00000019743;0.759;1.0;0.771;0.847;0.418;0.424;0.419;0.426;0.517;0.441;0.419;0.344;0.322;0.445;0.326;0.346;0.353;0.426;0.426;0.072;0.085;0.077;0.084;0.414;0.435;0.56;0.461;0.548;0.578;0.357;0.441
transcript7_ENSCCNG00000000226;0.816;0.771;1.0;0.897;0.448;0.456;0.45;0.458;0.428;0.467;0.45;0.366;0.343;0.478;0.365;0.431;0.387;0.457;0.458;0.075;0.074;0.088;0.086;0.44;0.463;0.462;0.573;0.69;0.613;0.379;0.467
transcript7_ENSCPOG00000024843;0.907;0.847;0.897;1.0;0.499;0.505;0.502;0.507;0.473;0.52;0.502;0.395;0.366;0.532;0.391;0.407;0.416;0.51;0.507;0.081;0.073;0.079;0.091;0.488;0.514;0.51;0.538;0.64;0.682;0.407;0.52
transcript10_ENSMPUG00000020072;0.526;0.418;0.448;0.499;1.0;0.804;0.996;0.8;0.758;0.895;0.996;0.782;0.622;0.935;0.875;0.703;0.787;0.98;0.8;0.047;0.041;0.046;0.052;0.798;0.76;0.707;0.744;0.621;0.701;0.723;0.895
transcript10_ENSECAG00000007947;0.459;0.424;0.456;0.505;0.804;1.0;0.8;0.996;0.76;0.897;0.8;0.648;0.629;0.754;0.719;0.736;0.818;0.785;0.996;0.047;0.042;0.046;0.053;0.808;0.77;0.711;0.748;0.64;0.71;0.722;0.897
transcript17_ENSMPUG00000020072;0.528;0.419;0.45;0.502;0.996;0.8;1.0;0.803;0.754;0.892;1.0;0.784;0.625;0.94;0.879;0.7;0.784;0.984;0.803;0.043;0.037;0.042;0.048;0.8;0.757;0.704;0.741;0.617;0.697;0.72;0.892
transcript17_ENSECAG00000007947;0.461;0.426;0.458;0.507;0.8;0.996;0.803;1.0;0.757;0.893;0.803;0.65;0.631;0.756;0.722;0.732;0.815;0.788;1.0;0.043;0.038;0.042;0.05;0.811;0.766;0.707;0.744;0.636;0.707;0.718;0.893
transcript17_ENSSTOG00000019743;0.424;0.517;0.428;0.473;0.758;0.76;0.754;0.757;1.0;0.851;0.754;0.61;0.59;0.714;0.67;0.687;0.77;0.74;0.757;0.042;0.049;0.044;0.048;0.765;0.732;0.921;0.709;0.599;0.67;0.681;0.851
transcript17_ENSCPOG00000024843;0.472;0.441;0.467;0.52;0.895;0.897;0.892;0.893;0.851;1.0;0.892;0.7;0.67;0.837;0.784;0.791;0.893;0.877;0.893;0.046;0.041;0.045;0.051;0.891;0.845;0.784;0.814;0.676;0.762;0.779;1.0
transcript20_ENSMPUG00000020072;0.528;0.419;0.45;0.502;0.996;0.8;1.0;0.803;0.754;0.892;1.0;0.784;0.625;0.94;0.879;0.7;0.784;0.984;0.803;0.043;0.037;0.042;0.048;0.8;0.757;0.704;0.741;0.617;0.697;0.72;0.892
transcript22_ENSMPUG00000020072;0.418;0.344;0.366;0.395;0.782;0.648;0.784;0.65;0.61;0.7;0.784;1.0;0.781;0.724;0.663;0.553;0.592;0.768;0.65;0.055;0.047;0.054;0.06;0.606;0.562;0.556;0.595;0.465;0.5;0.898;0.7
transcript22_ENSMLUG00000027828;0.34;0.322;0.343;0.366;0.622;0.629;0.625;0.631;0.59;0.67;0.625;0.781;1.0;0.584;0.54;0.552;0.59;0.611;0.631;0.063;0.048;0.053;0.062;0.752;0.694;0.52;0.552;0.452;0.483;0.861;0.67
transcript23_ENSMPUG00000020072;0.562;0.445;0.478;0.532;0.935;0.754;0.94;0.756;0.714;0.837;0.94;0.724;0.584;1.0;0.819;0.652;0.73;0.923;0.756;0.046;0.04;0.045;0.051;0.763;0.801;0.662;0.694;0.569;0.641;0.665;0.837
transcript24_ENSMPUG00000020072;0.412;0.326;0.365;0.391;0.875;0.719;0.879;0.722;0.67;0.784;0.879;0.663;0.54;0.819;1.0;0.785;0.879;0.863;0.722;0.05;0.042;0.048;0.054;0.722;0.677;0.619;0.66;0.533;0.587;0.609;0.784
transcript24_ENSCCNG00000000226;0.36;0.346;0.431;0.407;0.703;0.736;0.7;0.732;0.687;0.791;0.7;0.553;0.552;0.652;0.785;1.0;0.887;0.688;0.732;0.05;0.048;0.056;0.055;0.728;0.685;0.635;0.82;0.663;0.605;0.623;0.791
transcript24_ENSCPOG00000024843;0.368;0.353;0.387;0.416;0.787;0.818;0.784;0.815;0.77;0.893;0.784;0.592;0.59;0.73;0.879;0.887;1.0;0.77;0.815;0.051;0.046;0.05;0.057;0.816;0.768;0.702;0.736;0.595;0.653;0.671;0.893
transcript25_ENSMPUG00000020072;0.538;0.426;0.457;0.51;0.98;0.785;0.984;0.788;0.74;0.877;0.984;0.768;0.611;0.923;0.863;0.688;0.77;1.0;0.788;0.044;0.037;0.043;0.049;0.788;0.745;0.689;0.729;0.627;0.709;0.704;0.877
transcript12_ENSECAG00000007947;0.461;0.426;0.458;0.507;0.8;0.996;0.803;1.0;0.757;0.893;0.803;0.65;0.631;0.756;0.722;0.732;0.815;0.788;1.0;0.043;0.038;0.042;0.05;0.811;0.766;0.707;0.744;0.636;0.707;0.718;0.893
transcript9_ENSMLUG00000027828;0.082;0.072;0.075;0.081;0.047;0.047;0.043;0.043;0.042;0.046;0.043;0.055;0.063;0.046;0.05;0.05;0.051;0.044;0.043;1.0;0.704;0.767;0.894;0.048;0.054;0.045;0.048;0.057;0.06;0.058;0.046
transcript9_ENSSTOG00000019743;0.069;0.085;0.074;0.073;0.041;0.042;0.037;0.038;0.049;0.041;0.037;0.047;0.048;0.04;0.042;0.048;0.046;0.037;0.038;0.704;1.0;0.795;0.81;0.037;0.042;0.053;0.046;0.056;0.054;0.053;0.041
transcript9_ENSCCNG00000000226;0.08;0.077;0.088;0.079;0.046;0.046;0.042;0.042;0.044;0.045;0.042;0.054;0.053;0.045;0.048;0.056;0.05;0.043;0.042;0.767;0.795;1.0;0.873;0.039;0.046;0.048;0.054;0.066;0.058;0.057;0.045
transcript9_ENSCPOG00000024843;0.089;0.084;0.086;0.091;0.052;0.053;0.048;0.05;0.048;0.051;0.048;0.06;0.062;0.051;0.054;0.055;0.057;0.049;0.05;0.894;0.81;0.873;1.0;0.047;0.054;0.052;0.054;0.066;0.067;0.066;0.051
transcript13_ENSMLUG00000027828;0.44;0.414;0.44;0.488;0.798;0.808;0.8;0.811;0.765;0.891;0.8;0.606;0.752;0.763;0.722;0.728;0.816;0.788;0.811;0.048;0.037;0.039;0.047;1.0;0.941;0.698;0.725;0.633;0.712;0.67;0.891
transcript14_ENSMLUG00000027828;0.463;0.435;0.463;0.514;0.76;0.77;0.757;0.766;0.732;0.845;0.757;0.562;0.694;0.801;0.677;0.685;0.768;0.745;0.766;0.054;0.042;0.046;0.054;0.941;1.0;0.664;0.683;0.591;0.663;0.623;0.845
transcript26_ENSSTOG00000019743;0.457;0.56;0.462;0.51;0.707;0.711;0.704;0.707;0.921;0.784;0.704;0.556;0.52;0.662;0.619;0.635;0.702;0.689;0.707;0.045;0.053;0.048;0.052;0.698;0.664;1.0;0.762;0.545;0.601;0.613;0.784
transcript26_ENSCCNG00000000226;0.488;0.461;0.573;0.538;0.744;0.748;0.741;0.744;0.709;0.814;0.741;0.595;0.552;0.694;0.66;0.82;0.736;0.729;0.744;0.048;0.046;0.054;0.054;0.725;0.683;0.762;1.0;0.689;0.628;0.646;0.814
transcript18_ENSCCNG00000000226;0.581;0.548;0.69;0.64;0.621;0.64;0.617;0.636;0.599;0.676;0.617;0.465;0.452;0.569;0.533;0.663;0.595;0.627;0.636;0.057;0.056;0.066;0.066;0.633;0.591;0.545;0.689;1.0;0.887;0.504;0.676
