;transcript16_ENSXMAG00000026005;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript12_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript22_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript17_ENSXMAG00000026005;transcript3_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript16_ENSXMAG00000026005;1.0;0.569;0.569;0.546;0.546;0.289;0.187;0.479;0.467;0.569;0.569;0.402;0.289;0.379;0.187;0.546;0.569;0.455;0.479;0.972;0.972;0.569;0.569;0.517
transcript19_ENSAPOG00000016134;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript19_ENSAPOG00000023408;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript22_ENSAPOG00000016134;0.546;0.949;0.949;1.0;1.0;0.529;0.342;0.793;0.772;0.949;0.949;0.663;0.529;0.621;0.342;1.0;0.949;0.751;0.793;0.53;0.53;0.949;0.949;0.7
transcript22_ENSAPOG00000023408;0.546;0.949;0.949;1.0;1.0;0.529;0.342;0.793;0.772;0.949;0.949;0.663;0.529;0.621;0.342;1.0;0.949;0.751;0.793;0.53;0.53;0.949;0.949;0.7
transcript27_ENSAPOG00000016134;0.289;0.502;0.502;0.529;0.529;1.0;0.647;0.596;0.325;0.502;0.502;0.708;1.0;0.752;0.647;0.529;0.502;0.304;0.596;0.281;0.281;0.502;0.502;0.509
transcript28_ENSAPOG00000016134;0.187;0.325;0.325;0.342;0.342;0.647;1.0;0.385;0.395;0.325;0.325;0.458;0.647;0.486;1.0;0.342;0.325;0.127;0.385;0.181;0.181;0.325;0.325;0.329
transcript32_ENSAPOG00000023408;0.479;0.843;0.843;0.793;0.793;0.596;0.385;1.0;0.666;0.843;0.843;0.553;0.596;0.577;0.385;0.793;0.843;0.645;1.0;0.471;0.471;0.843;0.843;0.607
transcript33_ENSAPOG00000023408;0.467;0.823;0.823;0.772;0.772;0.325;0.395;0.666;1.0;0.823;0.823;0.532;0.325;0.491;0.395;0.772;0.823;0.624;0.666;0.459;0.459;0.823;0.823;0.589
transcript19_ENSAOCG00000015695;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript12_ENSAOCG00000015695;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript26_ENSAOCG00000015695;0.402;0.71;0.71;0.663;0.663;0.708;0.458;0.553;0.532;0.71;0.71;1.0;0.708;0.942;0.458;0.663;0.71;0.512;0.553;0.396;0.396;0.71;0.71;0.716
transcript27_ENSAOCG00000015695;0.289;0.502;0.502;0.529;0.529;1.0;0.647;0.596;0.325;0.502;0.502;0.708;1.0;0.752;0.647;0.529;0.502;0.304;0.596;0.281;0.281;0.502;0.502;0.509
transcript29_ENSAOCG00000015695;0.379;0.668;0.668;0.621;0.621;0.752;0.486;0.577;0.491;0.668;0.668;0.942;0.752;1.0;0.486;0.621;0.668;0.47;0.577;0.373;0.373;0.668;0.668;0.674
transcript28_ENSAOCG00000015695;0.187;0.325;0.325;0.342;0.342;0.647;1.0;0.385;0.395;0.325;0.325;0.458;0.647;0.486;1.0;0.342;0.325;0.127;0.385;0.181;0.181;0.325;0.325;0.329
transcript22_ENSPNYG00000024266;0.546;0.949;0.949;1.0;1.0;0.529;0.342;0.793;0.772;0.949;0.949;0.663;0.529;0.621;0.342;1.0;0.949;0.751;0.793;0.53;0.53;0.949;0.949;0.7
transcript12_ENSPNYG00000024266;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript21_ENSPNYG00000024266;0.455;0.802;0.802;0.751;0.751;0.304;0.127;0.645;0.624;0.802;0.802;0.512;0.304;0.47;0.127;0.751;0.802;1.0;0.645;0.448;0.448;0.802;0.802;0.571
transcript14_ENSPNYG00000024266;0.479;0.843;0.843;0.793;0.793;0.596;0.385;1.0;0.666;0.843;0.843;0.553;0.596;0.577;0.385;0.793;0.843;0.645;1.0;0.471;0.471;0.843;0.843;0.607
transcript17_ENSXMAG00000026005;0.972;0.559;0.559;0.53;0.53;0.281;0.181;0.471;0.459;0.559;0.559;0.396;0.281;0.373;0.181;0.53;0.559;0.448;0.471;1.0;1.0;0.559;0.559;0.545
transcript3_ENSXMAG00000026005;0.972;0.559;0.559;0.53;0.53;0.281;0.181;0.471;0.459;0.559;0.559;0.396;0.281;0.373;0.181;0.53;0.559;0.448;0.471;1.0;1.0;0.559;0.559;0.545
transcript11_ENSXMAG00000026005;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript12_ENSXMAG00000026005;0.569;1.0;1.0;0.949;0.949;0.502;0.325;0.843;0.823;1.0;1.0;0.71;0.502;0.668;0.325;0.949;1.0;0.802;0.843;0.559;0.559;1.0;1.0;0.745
transcript10_ENSXMAG00000026005;0.517;0.745;0.745;0.7;0.7;0.509;0.329;0.607;0.589;0.745;0.745;0.716;0.509;0.674;0.329;0.7;0.745;0.571;0.607;0.545;0.545;0.745;0.745;1.0
