;transcript7_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226
transcript7_ENSMPUG00000020072;1.0;0.948;0.912;0.916;0.916;0.916;0.865;0.909;0.423;0.948;0.938;0.848;0.858;0.819;0.789;0.952;0.955
transcript25_ENSMPUG00000020072;0.948;1.0;0.962;0.864;0.864;0.864;0.916;0.875;0.425;0.898;0.887;0.792;0.803;0.842;0.73;0.794;0.904
transcript28_ENSMPUG00000020072;0.912;0.962;1.0;0.831;0.831;0.831;0.88;0.841;0.426;0.863;0.853;0.752;0.764;0.799;0.689;0.794;0.871
transcript12_ENSECAG00000007947;0.916;0.864;0.831;1.0;1.0;1.0;0.948;0.988;0.473;0.956;0.947;0.858;0.867;0.829;0.805;0.966;0.96
transcript23_ENSECAG00000007947;0.916;0.864;0.831;1.0;1.0;1.0;0.948;0.988;0.473;0.956;0.947;0.858;0.867;0.829;0.805;0.966;0.96
transcript31_ENSECAG00000007947;0.916;0.864;0.831;1.0;1.0;1.0;0.948;0.988;0.473;0.956;0.947;0.858;0.867;0.829;0.805;0.966;0.96
transcript32_ENSECAG00000007947;0.865;0.916;0.88;0.948;0.948;0.948;1.0;0.959;0.475;0.906;0.897;0.801;0.812;0.851;0.747;0.81;0.909
transcript33_ENSECAG00000007947;0.909;0.875;0.841;0.988;0.988;0.988;0.959;1.0;0.474;0.944;0.935;0.845;0.854;0.835;0.791;0.919;0.948
transcript7_ENSMLUG00000027828;0.423;0.425;0.426;0.473;0.473;0.473;0.475;0.474;1.0;0.526;0.526;0.532;0.532;0.534;0.537;0.514;0.467
transcript12_ENSMLUG00000027828;0.948;0.898;0.863;0.956;0.956;0.956;0.906;0.944;0.526;1.0;0.99;0.903;0.912;0.879;0.85;0.988;0.996
transcript15_ENSMLUG00000027828;0.938;0.887;0.853;0.947;0.947;0.947;0.897;0.935;0.526;0.99;1.0;0.91;0.903;0.885;0.857;0.951;0.987
transcript16_ENSMLUG00000027828;0.848;0.792;0.752;0.858;0.858;0.858;0.801;0.845;0.532;0.903;0.91;1.0;0.988;0.97;0.935;0.951;0.899
transcript25_ENSMLUG00000027828;0.858;0.803;0.764;0.867;0.867;0.867;0.812;0.854;0.532;0.912;0.903;0.988;1.0;0.959;0.925;0.988;0.908
transcript26_ENSMLUG00000027828;0.819;0.842;0.799;0.829;0.829;0.829;0.851;0.835;0.534;0.879;0.885;0.97;0.959;1.0;0.905;0.883;0.874
transcript27_ENSMLUG00000027828;0.789;0.73;0.689;0.805;0.805;0.805;0.747;0.791;0.537;0.85;0.857;0.935;0.925;0.905;1.0;0.788;0.845
transcript7_ENSSTOG00000019743;0.952;0.794;0.794;0.966;0.966;0.966;0.81;0.919;0.514;0.988;0.951;0.951;0.988;0.883;0.788;1.0;1.0
transcript7_ENSCCNG00000000226;0.955;0.904;0.871;0.96;0.96;0.96;0.909;0.948;0.467;0.996;0.987;0.899;0.908;0.874;0.845;1.0;1.0
