;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.947;0.789;0.368;0.158;0.105;0.368;1.0;0.474;0.158;0.842
ENST00000260643_90_90;0.947;1.0;0.789;0.421;0.143;0.105;0.364;0.947;0.381;0.167;0.789
ENST00000406567_90_90;0.789;0.789;1.0;0.211;0.053;0.133;0.238;0.789;0.238;0.2;0.632
ENST00000430533_90_90;0.368;0.421;0.211;1.0;0.3;0.0;0.462;0.368;0.385;0.111;0.438
ENST00000441451_90_90;0.158;0.143;0.053;0.3;1.0;0.0;0.231;0.158;0.167;0.0;0.188
ENST00000444452_90_90;0.105;0.105;0.133;0.0;0.0;1.0;0.0;0.105;0.0;0.0;0.125
ENST00000456259_90_90;0.368;0.364;0.238;0.462;0.231;0.0;1.0;0.333;0.429;0.091;0.25
ENSMUST00000074840_90_90;1.0;0.947;0.789;0.368;0.158;0.105;0.333;1.0;0.391;0.158;0.842
ENSMUST00000201002_90_90;0.474;0.381;0.238;0.385;0.167;0.0;0.429;0.391;1.0;0.143;0.381
ENSMUST00000201821_90_90;0.158;0.167;0.2;0.111;0.0;0.0;0.091;0.158;0.143;1.0;0.188
ENSMUST00000202567_90_90;0.842;0.789;0.632;0.438;0.188;0.125;0.25;0.842;0.381;0.188;1.0
