;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.815;0.815;0.084;0.815;0.194;0.815;0.37;0.728;0.815;0.815;0.728;0.0;0.3
ENSCAFT00000043901_90_90;0.815;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.997;0.997;0.901;0.088;0.3
ENST00000256953_90_90;0.815;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.997;0.997;0.901;0.088;0.3
ENST00000393736_90_90;0.084;0.194;0.194;1.0;0.194;0.552;0.194;0.137;0.103;0.192;0.192;0.101;0.3;0.0
ENST00000536465_90_90;0.815;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.997;0.997;0.901;0.088;0.3
ENST00000537647_90_90;0.194;0.312;0.312;0.552;0.312;1.0;0.312;0.313;0.22;0.31;0.31;0.218;0.204;0.075
ENST00000538313_90_90;0.815;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.997;0.997;0.901;0.088;0.3
ENST00000545567_90_90;0.37;0.344;0.344;0.137;0.344;0.313;0.344;1.0;0.263;0.344;0.344;0.263;0.0;0.355
ENST00000546331_90_90;0.728;0.905;0.905;0.103;0.905;0.22;0.905;0.263;1.0;0.901;0.901;0.996;0.096;0.331
ENSMUST00000032347_90_90;0.815;0.997;0.997;0.192;0.997;0.31;0.997;0.344;0.901;1.0;1.0;0.905;0.09;0.3
ENSMUST00000117919_90_90;0.815;0.997;0.997;0.192;0.997;0.31;0.997;0.344;0.901;1.0;1.0;0.905;0.09;0.3
ENSMUST00000119610_90_90;0.728;0.901;0.901;0.101;0.901;0.218;0.901;0.263;0.996;0.905;0.905;1.0;0.098;0.331
ENSMUST00000149100_90_90;0.0;0.088;0.088;0.3;0.088;0.204;0.088;0.0;0.096;0.09;0.09;0.098;1.0;0.0
ENSMUST00000203003_90_90;0.3;0.3;0.3;0.0;0.3;0.075;0.3;0.355;0.331;0.3;0.3;0.331;0.0;1.0
