;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.995;0.829;0.973;0.977;0.938;0.952;0.931;1.0;0.837;0.995;0.911;0.829;0.85;0.768;0.702;0.828;0.96;0.832;0.995;0.93;0.964;0.952;0.931;0.96
transcript27_ENSAPOG00000016134;0.995;1.0;0.833;0.977;0.981;0.942;0.956;0.935;0.995;0.841;1.0;0.907;0.833;0.846;0.773;0.707;0.832;0.965;0.836;1.0;0.935;0.969;0.956;0.935;0.965
transcript32_ENSAPOG00000016134;0.829;0.833;1.0;0.856;0.815;0.777;0.79;0.77;0.829;0.721;0.833;0.784;1.0;0.724;0.93;0.853;0.999;0.845;0.716;0.833;0.813;0.803;0.79;0.77;0.845
transcript33_ENSAPOG00000016134;0.973;0.977;0.856;1.0;0.959;0.921;0.935;0.914;0.973;0.863;0.977;0.93;0.856;0.869;0.796;0.73;0.855;0.987;0.858;0.977;0.957;0.947;0.935;0.914;0.987
transcript35_ENSAPOG00000016134;0.977;0.981;0.815;0.959;1.0;0.924;0.938;0.917;0.977;0.856;0.981;0.889;0.815;0.828;0.755;0.689;0.814;0.947;0.851;0.981;0.917;0.95;0.938;0.917;0.947
transcript36_ENSAPOG00000016134;0.938;0.942;0.777;0.921;0.924;1.0;0.985;0.992;0.938;0.864;0.942;0.85;0.777;0.79;0.717;0.673;0.776;0.909;0.859;0.942;0.962;0.911;0.985;0.992;0.909
transcript37_ENSAPOG00000016134;0.952;0.956;0.79;0.935;0.938;0.985;1.0;0.978;0.952;0.878;0.956;0.864;0.79;0.803;0.73;0.664;0.79;0.923;0.873;0.956;0.976;0.925;1.0;0.978;0.923
transcript38_ENSAPOG00000016134;0.931;0.935;0.77;0.914;0.917;0.992;0.978;1.0;0.931;0.857;0.935;0.843;0.77;0.782;0.71;0.666;0.769;0.902;0.852;0.935;0.955;0.904;0.978;1.0;0.902
transcript7_ENSAPOG00000023408;1.0;0.995;0.829;0.973;0.977;0.938;0.952;0.931;1.0;0.837;0.995;0.911;0.829;0.85;0.768;0.702;0.828;0.96;0.832;0.995;0.93;0.964;0.952;0.931;0.96
transcript8_ENSAPOG00000023408;0.837;0.841;0.721;0.863;0.856;0.864;0.878;0.857;0.837;1.0;0.841;0.793;0.721;0.733;0.662;0.596;0.721;0.876;0.992;0.841;0.901;0.867;0.878;0.857;0.876
