;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.991;0.656;0.987;0.947;0.951;0.96;0.933;1.0;0.871;0.991;0.638;0.656;0.645;0.605;0.475;0.647;0.974;0.853;0.991;0.969;0.906;0.955;0.937;0.982
transcript27_ENSAPOG00000016134;0.991;1.0;0.665;0.996;0.956;0.96;0.969;0.942;0.991;0.88;1.0;0.647;0.665;0.654;0.614;0.484;0.656;0.982;0.862;1.0;0.978;0.915;0.964;0.946;0.991
transcript32_ENSAPOG00000016134;0.656;0.665;1.0;0.662;0.671;0.693;0.687;0.684;0.656;0.643;0.665;0.919;1.0;0.873;0.913;0.72;0.987;0.654;0.648;0.665;0.661;0.639;0.674;0.671;0.659
transcript33_ENSAPOG00000016134;0.987;0.996;0.662;1.0;0.952;0.955;0.964;0.938;0.987;0.876;0.996;0.644;0.662;0.651;0.612;0.482;0.653;0.978;0.858;0.996;0.973;0.911;0.96;0.942;0.996
transcript35_ENSAPOG00000016134;0.947;0.956;0.671;0.952;1.0;0.968;0.977;0.95;0.947;0.888;0.956;0.652;0.671;0.659;0.62;0.489;0.662;0.939;0.87;0.956;0.943;0.915;0.964;0.946;0.948
transcript36_ENSAPOG00000016134;0.951;0.96;0.693;0.955;0.968;1.0;0.991;0.981;0.951;0.899;0.96;0.673;0.693;0.68;0.64;0.505;0.684;0.943;0.889;0.96;0.955;0.926;0.977;0.977;0.951
transcript37_ENSAPOG00000016134;0.96;0.969;0.687;0.964;0.977;0.991;1.0;0.972;0.96;0.908;0.969;0.667;0.687;0.674;0.634;0.5;0.677;0.952;0.89;0.969;0.964;0.934;0.986;0.968;0.96
transcript38_ENSAPOG00000016134;0.933;0.942;0.684;0.938;0.95;0.981;0.972;1.0;0.933;0.881;0.942;0.664;0.684;0.671;0.631;0.495;0.674;0.925;0.872;0.942;0.938;0.909;0.959;0.967;0.934
transcript7_ENSAPOG00000023408;1.0;0.991;0.656;0.987;0.947;0.951;0.96;0.933;1.0;0.871;0.991;0.638;0.656;0.645;0.605;0.475;0.647;0.974;0.853;0.991;0.969;0.906;0.955;0.937;0.982
transcript8_ENSAPOG00000023408;0.871;0.88;0.643;0.876;0.888;0.899;0.908;0.881;0.871;1.0;0.88;0.624;0.643;0.632;0.59;0.453;0.634;0.865;0.97;0.88;0.884;0.881;0.912;0.903;0.872
