;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.918;0.997;0.184;0.039;0.118;0.017;0.148;0.091;0.141;0.183;0.013;0.221;0.076;0.075;0.876;0.794;1.0;0.957;0.876;0.794;1.0;0.919;0.875;0.015;0.021;0.264;0.272;0.832;0.328;0.095;0.04;0.014
ENST00000323180_90_90;0.918;1.0;0.908;0.198;0.042;0.124;0.018;0.16;0.099;0.147;0.198;0.014;0.218;0.077;0.08;0.786;0.864;0.908;0.866;0.786;0.864;0.908;0.998;0.951;0.016;0.023;0.283;0.292;0.741;0.365;0.099;0.043;0.015
ENST00000418153_90_90;0.997;0.908;1.0;0.185;0.039;0.116;0.017;0.149;0.092;0.137;0.184;0.013;0.221;0.072;0.075;0.874;0.785;0.997;0.954;0.874;0.785;0.997;0.906;0.863;0.015;0.021;0.264;0.27;0.831;0.325;0.093;0.04;0.014
ENST00000524497_90_90;0.184;0.198;0.185;1.0;0.199;0.0;0.085;0.756;0.468;0.0;0.998;0.067;0.0;0.309;0.381;0.195;0.212;0.183;0.191;0.195;0.212;0.183;0.197;0.205;0.078;0.108;0.64;0.054;0.148;0.0;0.527;0.203;0.07
ENST00000525438_90_90;0.039;0.042;0.039;0.199;1.0;0.0;0.425;0.263;0.043;0.0;0.2;0.338;0.0;0.325;0.523;0.045;0.049;0.039;0.041;0.045;0.049;0.039;0.042;0.044;0.388;0.537;0.131;0.0;0.0;0.0;0.372;0.988;0.35
ENST00000525676_90_90;0.118;0.124;0.116;0.0;0.0;1.0;0.0;0.0;0.0;0.233;0.0;0.0;0.492;0.0;0.0;0.134;0.146;0.118;0.123;0.134;0.146;0.118;0.126;0.133;0.0;0.0;0.0;0.0;0.141;0.09;0.0;0.0;0.0
ENST00000527782_90_90;0.017;0.018;0.017;0.085;0.425;0.0;1.0;0.112;0.0;0.0;0.085;0.794;0.0;0.138;0.222;0.019;0.021;0.017;0.017;0.019;0.021;0.017;0.018;0.019;0.912;0.791;0.047;0.0;0.0;0.0;0.158;0.42;0.824
ENST00000529734_90_90;0.148;0.16;0.149;0.756;0.263;0.0;0.112;1.0;0.618;0.0;0.758;0.089;0.0;0.385;0.503;0.168;0.183;0.148;0.154;0.168;0.183;0.148;0.159;0.166;0.103;0.143;0.534;0.0;0.12;0.0;0.588;0.269;0.093
ENST00000529782_90_90;0.091;0.099;0.092;0.468;0.043;0.0;0.0;0.618;1.0;0.0;0.469;0.0;0.0;0.24;0.327;0.103;0.113;0.091;0.095;0.103;0.113;0.091;0.097;0.102;0.0;0.0;0.342;0.0;0.097;0.0;0.439;0.047;0.0
ENST00000530587_90_90;0.141;0.147;0.137;0.0;0.0;0.233;0.0;0.0;0.0;1.0;0.0;0.0;0.291;0.0;0.0;0.161;0.175;0.141;0.147;0.161;0.175;0.141;0.152;0.159;0.0;0.0;0.0;0.0;0.169;0.337;0.0;0.0;0.0
ENST00000531959_90_90;0.183;0.198;0.184;0.998;0.2;0.0;0.085;0.758;0.469;0.0;1.0;0.067;0.0;0.31;0.382;0.195;0.212;0.183;0.191;0.195;0.212;0.183;0.196;0.204;0.078;0.108;0.639;0.053;0.148;0.0;0.529;0.204;0.07
ENST00000532010_90_90;0.013;0.014;0.013;0.067;0.338;0.0;0.794;0.089;0.0;0.0;0.067;1.0;0.0;0.11;0.176;0.015;0.016;0.013;0.014;0.015;0.016;0.013;0.014;0.015;0.871;0.628;0.035;0.0;0.0;0.0;0.126;0.333;0.964
ENST00000532028_90_90;0.221;0.218;0.221;0.0;0.0;0.492;0.0;0.0;0.0;0.291;0.0;0.0;1.0;0.0;0.0;0.251;0.25;0.22;0.229;0.251;0.25;0.22;0.217;0.227;0.0;0.0;0.0;0.0;0.263;0.139;0.0;0.0;0.0
ENST00000532883_90_90;0.076;0.077;0.072;0.309;0.325;0.0;0.138;0.385;0.24;0.0;0.31;0.11;0.0;1.0;0.622;0.087;0.095;0.076;0.08;0.087;0.095;0.076;0.082;0.086;0.199;0.276;0.27;0.0;0.039;0.0;0.726;0.519;0.179
ENST00000533757_90_90;0.075;0.08;0.075;0.381;0.523;0.0;0.222;0.503;0.327;0.0;0.382;0.176;0.0;0.622;1.0;0.086;0.093;0.075;0.078;0.086;0.093;0.075;0.081;0.085;0.203;0.281;0.264;0.0;0.037;0.0;0.712;0.529;0.183
ENSMUST00000044036_90_90;0.876;0.786;0.874;0.195;0.045;0.134;0.019;0.168;0.103;0.161;0.195;0.015;0.251;0.087;0.086;1.0;0.896;0.878;0.836;1.0;0.896;0.878;0.79;0.749;0.017;0.024;0.188;0.148;0.949;0.365;0.106;0.045;0.015
ENSMUST00000068702_90_90;0.794;0.864;0.785;0.212;0.049;0.146;0.021;0.183;0.113;0.175;0.212;0.016;0.25;0.095;0.093;0.896;1.0;0.788;0.747;0.896;1.0;0.788;0.867;0.823;0.019;0.026;0.202;0.157;0.849;0.415;0.115;0.049;0.017
ENSMUST00000090586_90_90;1.0;0.908;0.997;0.183;0.039;0.118;0.017;0.148;0.091;0.141;0.183;0.013;0.22;0.076;0.075;0.878;0.788;1.0;0.958;0.878;0.788;1.0;0.91;0.867;0.015;0.021;0.274;0.268;0.833;0.321;0.093;0.039;0.014
ENSMUST00000111290_90_90;0.957;0.866;0.954;0.191;0.041;0.123;0.017;0.154;0.095;0.147;0.191;0.014;0.229;0.08;0.078;0.836;0.747;0.958;1.0;0.836;0.747;0.958;0.869;0.905;0.016;0.022;0.286;0.28;0.791;0.279;0.097;0.041;0.014
ENSMUST00000111291_90_90;0.876;0.786;0.874;0.195;0.045;0.134;0.019;0.168;0.103;0.161;0.195;0.015;0.251;0.087;0.086;1.0;0.896;0.878;0.836;1.0;0.896;0.878;0.79;0.749;0.017;0.024;0.188;0.148;0.949;0.365;0.106;0.045;0.015
ENSMUST00000111292_90_90;0.794;0.864;0.785;0.212;0.049;0.146;0.021;0.183;0.113;0.175;0.212;0.016;0.25;0.095;0.093;0.896;1.0;0.788;0.747;0.896;1.0;0.788;0.867;0.823;0.019;0.026;0.202;0.157;0.849;0.415;0.115;0.049;0.017
ENSMUST00000111293_90_90;1.0;0.908;0.997;0.183;0.039;0.118;0.017;0.148;0.091;0.141;0.183;0.013;0.22;0.076;0.075;0.878;0.788;1.0;0.958;0.878;0.788;1.0;0.91;0.867;0.015;0.021;0.274;0.268;0.833;0.321;0.093;0.039;0.014
ENSMUST00000111294_90_90;0.919;0.998;0.906;0.197;0.042;0.126;0.018;0.159;0.097;0.152;0.196;0.014;0.217;0.082;0.081;0.79;0.867;0.91;0.869;0.79;0.867;0.91;1.0;0.953;0.016;0.022;0.294;0.288;0.745;0.36;0.1;0.042;0.015
ENSMUST00000111297_90_90;0.875;0.951;0.863;0.205;0.044;0.133;0.019;0.166;0.102;0.159;0.204;0.015;0.227;0.086;0.085;0.749;0.823;0.867;0.905;0.749;0.823;0.867;0.953;1.0;0.017;0.023;0.308;0.302;0.705;0.315;0.105;0.044;0.015
ENSMUST00000128781_90_90;0.015;0.016;0.015;0.078;0.388;0.0;0.912;0.103;0.0;0.0;0.078;0.871;0.0;0.199;0.203;0.017;0.019;0.015;0.016;0.017;0.019;0.015;0.016;0.017;1.0;0.721;0.04;0.0;0.0;0.0;0.144;0.383;0.903
