;transcript52_ENSMUGG00000013592;transcript55_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript7_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript7_ENSPEMG00000024651;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript54_ENSCGRG00015005362;transcript53_ENSCGRG00015005362
transcript52_ENSMUGG00000013592;1.0;0.706;0.821;0.154;0.171;0.131;0.131;0.172;0.702;0.722;0.18;0.814;0.172;0.172;0.172;0.73;0.678
transcript55_ENSCGRG00015005362;0.706;1.0;0.824;0.231;0.241;0.208;0.208;0.253;0.932;0.905;0.231;0.77;0.253;0.253;0.253;0.976;0.889
transcript52_ENSCGRG00015005362;0.821;0.824;1.0;0.136;0.149;0.116;0.116;0.14;0.812;0.835;0.136;0.719;0.14;0.14;0.14;0.849;0.762
transcript7_MGP-CAROLIEiJ-G0020234;0.154;0.231;0.136;1.0;0.834;0.744;0.744;0.936;0.214;0.22;0.872;0.234;0.936;0.936;0.936;0.226;0.248
transcript58_MGP-CAROLIEiJ-G0020234;0.171;0.241;0.149;0.834;1.0;0.869;0.869;0.79;0.258;0.265;0.736;0.275;0.79;0.79;0.79;0.237;0.259
transcript57_MGP-CAROLIEiJ-G0020234;0.131;0.208;0.116;0.744;0.869;1.0;1.0;0.701;0.227;0.233;0.645;0.238;0.701;0.701;0.701;0.204;0.224
transcript59_MGP-CAROLIEiJ-G0020234;0.131;0.208;0.116;0.744;0.869;1.0;1.0;0.701;0.227;0.233;0.645;0.238;0.701;0.701;0.701;0.204;0.224
transcript7_ENSMUGG00000013649;0.172;0.253;0.14;0.936;0.79;0.701;0.701;1.0;0.234;0.24;0.936;0.26;1.0;1.0;1.0;0.247;0.273
transcript28_ENSMUGG00000013649;0.702;0.932;0.812;0.214;0.258;0.227;0.227;0.234;1.0;0.973;0.214;0.825;0.234;0.234;0.234;0.956;0.874
transcript42_ENSMUGG00000013649;0.722;0.905;0.835;0.22;0.265;0.233;0.233;0.24;0.973;1.0;0.22;0.849;0.24;0.24;0.24;0.928;0.847
transcript7_ENSMUGG00000013592;0.18;0.231;0.136;0.872;0.736;0.645;0.645;0.936;0.214;0.22;1.0;0.27;0.936;0.936;0.936;0.226;0.248
transcript42_ENSMUGG00000013592;0.814;0.77;0.719;0.234;0.275;0.238;0.238;0.26;0.825;0.849;0.27;1.0;0.26;0.26;0.26;0.794;0.746
transcript7_ENSPEMG00000024651;0.172;0.253;0.14;0.936;0.79;0.701;0.701;1.0;0.234;0.24;0.936;0.26;1.0;1.0;1.0;0.247;0.273
transcript7_ENSCGRG00015005362;0.172;0.253;0.14;0.936;0.79;0.701;0.701;1.0;0.234;0.24;0.936;0.26;1.0;1.0;1.0;0.247;0.273
transcript7_ENSCGRG00000018457;0.172;0.253;0.14;0.936;0.79;0.701;0.701;1.0;0.234;0.24;0.936;0.26;1.0;1.0;1.0;0.247;0.273
transcript54_ENSCGRG00015005362;0.73;0.976;0.849;0.226;0.237;0.204;0.204;0.247;0.956;0.928;0.226;0.794;0.247;0.247;0.247;1.0;0.914
transcript53_ENSCGRG00015005362;0.678;0.889;0.762;0.248;0.259;0.224;0.224;0.273;0.874;0.847;0.248;0.746;0.273;0.273;0.273;0.914;1.0
