;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.375;0.261;0.261;0.429;0.048;0.267;0.19;0.273;0.048;0.321;0.24;0.24;0.24;0.267;0.423;0.048;0.048;0.75;0.75;0.625;0.474;0.35;0.316
ENST00000249647_90_90;0.375;1.0;0.423;0.423;0.846;0.111;0.704;0.138;0.333;0.111;0.731;0.258;0.258;0.258;0.704;0.731;0.111;0.111;0.433;0.433;0.382;0.241;0.25;0.222
ENST00000349777_90_90;0.261;0.423;1.0;1.0;0.32;0.25;0.148;0.286;0.75;0.25;0.154;0.5;0.5;0.5;0.148;0.364;0.25;0.25;0.333;0.333;0.28;0.5;0.538;0.5
ENST00000397138_90_90;0.261;0.423;1.0;1.0;0.32;0.25;0.148;0.286;0.75;0.25;0.154;0.5;0.5;0.5;0.148;0.364;0.25;0.25;0.333;0.333;0.28;0.5;0.538;0.5
ENST00000561526_90_90;0.429;0.846;0.32;0.32;1.0;0.13;0.615;0.16;0.333;0.13;0.708;0.296;0.296;0.296;0.615;0.864;0.13;0.13;0.5;0.5;0.433;0.28;0.292;0.261
ENST00000563765_90_90;0.048;0.111;0.25;0.25;0.13;1.0;0.0;0.0;0.273;0.6;0.0;0.214;0.214;0.214;0.0;0.15;1.0;0.6;0.105;0.105;0.087;0.167;0.182;0.222
ENST00000563830_90_90;0.267;0.704;0.148;0.148;0.615;0.0;1.0;0.125;0.071;0.0;0.857;0.065;0.065;0.065;0.905;0.5;0.0;0.0;0.276;0.276;0.242;0.071;0.074;0.038
ENST00000563873_90_90;0.19;0.138;0.286;0.286;0.16;0.0;0.125;1.0;0.308;0.0;0.13;0.25;0.25;0.25;0.125;0.182;0.0;0.0;0.2;0.2;0.167;0.308;0.333;0.273
ENST00000564153_90_90;0.273;0.333;0.75;0.75;0.333;0.273;0.071;0.308;1.0;0.273;0.115;0.533;0.533;0.533;0.071;0.381;0.273;0.273;0.35;0.35;0.292;0.538;0.583;0.545
ENST00000566035_90_90;0.048;0.111;0.25;0.25;0.13;0.6;0.0;0.0;0.273;1.0;0.0;0.214;0.214;0.214;0.0;0.15;0.6;1.0;0.105;0.105;0.087;0.167;0.182;0.222
