;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;0.954;1.0;0.887;0.589;0.089;0.415;0.922;0.795;0.885
ENST00000299259_90_90;0.954;1.0;0.954;0.844;0.562;0.085;0.396;0.885;0.839;0.928
ENST00000388901_90_90;1.0;0.954;1.0;0.887;0.589;0.089;0.415;0.922;0.795;0.885
ENST00000542928_90_90;0.887;0.844;0.887;1.0;0.476;0.101;0.469;0.811;0.689;0.777
ENST00000558843_90_90;0.589;0.562;0.589;0.476;1.0;0.0;0.704;0.589;0.471;0.562
ENST00000560240_90_90;0.089;0.085;0.089;0.101;0.0;1.0;0.0;0.089;0.095;0.085
ENST00000561248_90_90;0.415;0.396;0.415;0.469;0.704;0.0;1.0;0.415;0.304;0.396
ENSMUST00000028635_90_90;0.922;0.885;0.922;0.811;0.589;0.089;0.415;1.0;0.862;0.954
ENSMUST00000110462_90_90;0.795;0.839;0.795;0.689;0.471;0.095;0.304;0.862;1.0;0.908
ENSMUST00000110463_90_90;0.885;0.928;0.885;0.777;0.562;0.085;0.396;0.954;0.908;1.0
