;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.833;1.0;1.0;1.0;0.71;0.697;0.885;0.856;0.653;0.983;1.0;0.661;0.653
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.833;1.0;1.0;1.0;0.71;0.697;0.884;0.856;0.651;0.983;1.0;0.661;0.651
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.834;1.0;1.0;1.0;0.71;0.697;0.887;0.855;0.603;0.98;1.0;0.603;0.603
transcript22_ENSAPOG00000016134;0.976;0.976;0.976;1.0;1.0;0.975;0.719;0.608;0.524;0.501;0.888;0.863;0.976;0.976;0.976;0.677;0.663;0.915;0.887;0.631;0.958;0.976;0.638;0.631
transcript22_ENSAPOG00000023408;0.965;0.965;0.965;1.0;1.0;0.964;0.719;0.608;0.524;0.501;0.888;0.863;0.965;0.965;0.965;0.67;0.655;0.913;0.887;0.624;0.948;0.965;0.634;0.624
transcript22_ENSPNYG00000024266;0.999;0.999;0.999;0.975;0.964;1.0;0.695;0.634;0.504;0.528;0.852;0.827;0.999;0.999;0.999;0.694;0.68;0.885;0.857;0.643;0.981;0.999;0.654;0.643
transcript27_ENSAPOG00000016134;0.696;0.696;0.696;0.719;0.719;0.695;1.0;0.691;0.765;0.77;0.812;0.833;0.696;0.696;0.696;0.596;0.622;0.745;0.708;0.401;0.692;0.696;0.406;0.401
transcript27_ENSAOCG00000015695;0.606;0.606;0.606;0.608;0.608;0.634;0.691;1.0;0.728;1.0;0.607;0.58;0.606;0.606;0.606;0.933;0.933;0.634;0.63;0.338;0.616;0.606;0.338;0.338
transcript28_ENSAPOG00000016134;0.504;0.504;0.504;0.524;0.524;0.504;0.765;0.728;1.0;0.998;0.601;0.618;0.504;0.504;0.504;0.577;0.612;0.574;0.554;0.276;0.505;0.504;0.281;0.276
transcript28_ENSAOCG00000015695;0.499;0.499;0.499;0.501;0.501;0.528;0.77;1.0;0.998;1.0;0.5;0.5;0.499;0.499;0.499;0.9;0.9;0.528;0.52;0.248;0.51;0.499;0.248;0.248
transcript32_ENSAPOG00000023408;0.856;0.856;0.856;0.888;0.888;0.852;0.812;0.607;0.601;0.5;1.0;0.972;0.856;0.856;0.856;0.562;0.585;0.926;0.898;0.554;0.839;0.856;0.563;0.554
transcript33_ENSAPOG00000023408;0.833;0.833;0.834;0.863;0.863;0.827;0.833;0.58;0.618;0.5;0.972;1.0;0.834;0.833;0.834;0.539;0.561;0.898;0.87;0.54;0.817;0.834;0.548;0.54
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.834;1.0;1.0;1.0;0.71;0.697;0.887;0.855;0.603;0.98;1.0;0.603;0.603
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.833;1.0;1.0;1.0;0.71;0.697;0.884;0.856;0.656;0.983;1.0;0.666;0.656
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.834;1.0;1.0;1.0;0.71;0.697;0.887;0.855;0.601;0.98;1.0;0.601;0.601
transcript26_ENSAOCG00000015695;0.71;0.71;0.71;0.677;0.67;0.694;0.596;0.933;0.577;0.9;0.562;0.539;0.71;0.71;0.71;1.0;1.0;0.581;0.575;0.428;0.72;0.71;0.428;0.428
transcript29_ENSAOCG00000015695;0.697;0.697;0.697;0.663;0.655;0.68;0.622;0.933;0.612;0.9;0.585;0.561;0.697;0.697;0.697;1.0;1.0;0.561;0.555;0.413;0.707;0.697;0.413;0.413
transcript14_ENSPNYG00000024266;0.885;0.884;0.887;0.915;0.913;0.885;0.745;0.634;0.574;0.528;0.926;0.898;0.887;0.884;0.887;0.581;0.561;1.0;0.965;0.571;0.869;0.887;0.58;0.571
transcript21_ENSPNYG00000024266;0.856;0.856;0.855;0.887;0.887;0.857;0.708;0.63;0.554;0.52;0.898;0.87;0.855;0.856;0.855;0.575;0.555;0.965;1.0;0.548;0.837;0.855;0.556;0.548
transcript3_ENSXMAG00000026005;0.653;0.651;0.603;0.631;0.624;0.643;0.401;0.338;0.276;0.248;0.554;0.54;0.603;0.656;0.601;0.428;0.413;0.571;0.548;1.0;0.589;0.601;1.0;1.0
transcript10_ENSXMAG00000026005;0.983;0.983;0.98;0.958;0.948;0.981;0.692;0.616;0.505;0.51;0.839;0.817;0.98;0.983;0.98;0.72;0.707;0.869;0.837;0.589;1.0;0.98;0.589;0.589
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.976;0.965;0.999;0.696;0.606;0.504;0.499;0.856;0.834;1.0;1.0;1.0;0.71;0.697;0.887;0.855;0.601;0.98;1.0;0.601;0.601
transcript16_ENSXMAG00000026005;0.661;0.661;0.603;0.638;0.634;0.654;0.406;0.338;0.281;0.248;0.563;0.548;0.603;0.666;0.601;0.428;0.413;0.58;0.556;1.0;0.589;0.601;1.0;1.0
transcript17_ENSXMAG00000026005;0.653;0.651;0.603;0.631;0.624;0.643;0.401;0.338;0.276;0.248;0.554;0.54;0.603;0.656;0.601;0.428;0.413;0.571;0.548;1.0;0.589;0.601;1.0;1.0
