;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript38_MGP-PahariEiJ-G0020237;transcript66_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131
transcript8_ENSMSIG00000000513;1.0;0.194;0.195;0.17;0.147;0.141;0.167;0.167;0.206;0.208;0.2;0.149;0.17;0.154
transcript49_ENSMSIG00000000513;0.194;1.0;0.996;0.74;0.723;0.701;0.71;0.713;0.884;0.874;0.914;0.722;0.778;0.789
transcript49_MGP-SPRETEiJ-G0021131;0.195;0.996;1.0;0.742;0.721;0.699;0.709;0.712;0.881;0.871;0.911;0.72;0.781;0.792
transcript65_MGP-SPRETEiJ-G0021131;0.17;0.74;0.742;1.0;0.83;0.804;0.823;0.826;0.657;0.649;0.682;0.827;0.844;0.909
transcript47_MGP-CAROLIEiJ-G0020234;0.147;0.723;0.721;0.83;1.0;0.954;0.903;0.905;0.725;0.717;0.761;0.928;0.827;0.915
transcript38_MGP-CAROLIEiJ-G0020234;0.141;0.701;0.699;0.804;0.954;1.0;0.863;0.866;0.702;0.695;0.727;0.971;0.801;0.885
transcript7_ENSMUSG00000054036;0.167;0.71;0.709;0.823;0.903;0.863;1.0;0.997;0.678;0.67;0.714;0.886;0.819;0.91
transcript46_ENSMUSG00000054036;0.167;0.713;0.712;0.826;0.905;0.866;0.997;1.0;0.681;0.673;0.717;0.889;0.822;0.913
transcript61_ENSMSIG00000000513;0.206;0.884;0.881;0.657;0.725;0.702;0.678;0.681;1.0;0.989;0.952;0.724;0.692;0.706
transcript62_ENSMSIG00000000513;0.208;0.874;0.871;0.649;0.717;0.695;0.67;0.673;0.989;1.0;0.942;0.717;0.698;0.698
transcript60_ENSMSIG00000000513;0.2;0.914;0.911;0.682;0.761;0.727;0.714;0.717;0.952;0.942;1.0;0.749;0.717;0.731
transcript38_MGP-PahariEiJ-G0020237;0.149;0.722;0.72;0.827;0.928;0.971;0.886;0.889;0.724;0.717;0.749;1.0;0.824;0.91
transcript66_MGP-SPRETEiJ-G0021131;0.17;0.778;0.781;0.844;0.827;0.801;0.819;0.822;0.692;0.698;0.717;0.824;1.0;0.905
transcript40_MGP-SPRETEiJ-G0021131;0.154;0.789;0.792;0.909;0.915;0.885;0.91;0.913;0.706;0.698;0.731;0.91;0.905;1.0
