;ENSCAFT00000011194_90_90;ENST00000313726_90_90;ENST00000524757_90_90;ENST00000525169_90_90;ENST00000526057_90_90;ENST00000526062_90_90;ENST00000526099_90_90;ENST00000526126_90_90;ENST00000526155_90_90;ENST00000526241_90_90;ENST00000526757_90_90;ENST00000526828_90_90;ENST00000527347_90_90;ENST00000527392_90_90;ENST00000527473_90_90;ENST00000527510_90_90;ENST00000527516_90_90;ENST00000527930_90_90;ENST00000528196_90_90;ENST00000528523_90_90;ENST00000528527_90_90;ENST00000530338_90_90;ENST00000530438_90_90;ENST00000530580_90_90;ENST00000530593_90_90;ENST00000530938_90_90;ENST00000530959_90_90;ENST00000530991_90_90;ENST00000531060_90_90;ENST00000531093_90_90;ENST00000531578_90_90;ENST00000532734_90_90;ENST00000533016_90_90;ENST00000533020_90_90;ENST00000533225_90_90;ENST00000533471_90_90;ENST00000533580_90_90;ENST00000533681_90_90;ENST00000534127_90_90;ENST00000534248_90_90;ENST00000534278_90_90;ENST00000534665_90_90;ENST00000626808_90_90;ENSMUST00000077909_90_90;ENSMUST00000079282_90_90;ENSMUST00000084738_90_90;ENSMUST00000168005_90_90;ENSMUST00000207394_90_90;ENSMUST00000207745_90_90;ENSMUST00000208583_90_90;ENSMUST00000208734_90_90
ENSCAFT00000011194_90_90;1.0;0.981;0.113;0.057;0.113;0.057;0.453;0.057;0.321;0.377;0.509;0.075;0.283;0.094;0.189;0.189;0.208;0.434;0.226;0.453;0.208;0.057;0.509;0.189;0.245;0.132;0.358;0.377;0.151;0.094;0.019;0.358;0.264;0.302;0.075;0.132;0.34;0.415;0.981;0.302;0.094;0.038;0.358;1.0;1.0;0.566;0.566;0.208;0.038;0.226;0.019
ENST00000313726_90_90;0.981;1.0;0.107;0.054;0.107;0.052;0.456;0.071;0.304;0.357;0.536;0.071;0.268;0.089;0.179;0.196;0.196;0.397;0.232;0.429;0.196;0.053;0.536;0.196;0.25;0.125;0.339;0.393;0.14;0.107;0.018;0.339;0.241;0.304;0.089;0.125;0.31;0.393;1.0;0.286;0.105;0.036;0.339;0.981;0.981;0.519;0.519;0.216;0.039;0.235;0.02
ENST00000524757_90_90;0.113;0.107;1.0;0.5;0.0;0.0;0.0;0.111;0.353;0.3;0.029;0.667;0.4;0.833;0.6;0.062;0.545;0.24;0.056;0.25;0.0;0.0;0.029;0.062;0.0;0.857;0.316;0.0;0.0;0.091;0.167;0.036;0.375;0.0;0.1;0.857;0.3;0.273;0.107;0.375;0.0;0.333;0.036;0.115;0.115;0.03;0.03;0.545;0.143;0.5;0.167
ENST00000525169_90_90;0.057;0.054;0.5;1.0;0.0;0.0;0.0;0.167;0.176;0.15;0.031;0.75;0.2;0.6;0.3;0.077;0.273;0.12;0.067;0.125;0.0;0.0;0.031;0.077;0.0;0.429;0.158;0.0;0.0;0.125;0.333;0.04;0.188;0.0;0.143;0.429;0.15;0.136;0.054;0.188;0.0;0.667;0.04;0.058;0.058;0.033;0.033;0.273;0.25;0.25;0.333
ENST00000526057_90_90;0.113;0.107;0.0;0.0;1.0;0.0;0.222;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.214;0.0;0.0;0.357;0.0;0.545;0.0;0.2;0.214;0.429;0.0;0.0;0.273;0.667;0.0;0.0;0.261;0.0;0.353;0.0;0.0;0.0;0.0;0.107;0.0;0.0;0.0;0.261;0.115;0.115;0.214;0.214;0.0;0.0;0.0;0.0
ENST00000526062_90_90;0.057;0.052;0.0;0.0;0.0;1.0;0.103;0.0;0.0;0.0;0.094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.094;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.052;0.0;0.333;0.0;0.0;0.058;0.058;0.107;0.107;0.0;0.0;0.0;0.0
ENST00000526099_90_90;0.453;0.456;0.0;0.0;0.222;0.103;1.0;0.0;0.0;0.0;0.839;0.0;0.0;0.0;0.0;0.226;0.0;0.0;0.29;0.0;0.407;0.107;0.839;0.226;0.519;0.0;0.0;0.815;0.286;0.065;0.0;0.471;0.0;0.63;0.032;0.0;0.0;0.0;0.456;0.0;0.214;0.0;0.471;0.462;0.462;0.857;0.857;0.0;0.0;0.0;0.0
ENST00000526126_90_90;0.057;0.071;0.111;0.167;0.0;0.0;0.0;1.0;0.05;0.043;0.133;0.143;0.056;0.125;0.077;0.364;0.071;0.036;0.308;0.037;0.0;0.0;0.133;0.364;0.0;0.1;0.045;0.0;0.0;0.667;0.25;0.174;0.053;0.0;0.8;0.1;0.043;0.04;0.071;0.053;0.0;0.2;0.174;0.058;0.058;0.107;0.107;0.077;0.667;0.071;0.333
ENST00000526155_90_90;0.321;0.304;0.353;0.176;0.0;0.0;0.0;0.05;1.0;0.85;0.022;0.235;0.882;0.294;0.588;0.037;0.647;0.68;0.034;0.708;0.0;0.0;0.022;0.037;0.0;0.412;0.895;0.0;0.0;0.045;0.059;0.026;0.737;0.0;0.048;0.412;0.85;0.773;0.304;0.941;0.0;0.118;0.026;0.308;0.308;0.023;0.023;0.688;0.059;0.75;0.062
ENST00000526241_90_90;0.377;0.357;0.3;0.15;0.0;0.0;0.0;0.043;0.85;1.0;0.02;0.2;0.75;0.25;0.5;0.033;0.55;0.8;0.031;0.833;0.0;0.0;0.02;0.033;0.0;0.35;0.95;0.0;0.0;0.04;0.05;0.024;0.636;0.0;0.042;0.35;0.818;0.909;0.357;0.8;0.0;0.1;0.024;0.365;0.365;0.022;0.022;0.579;0.05;0.632;0.053
ENST00000526757_90_90;0.509;0.536;0.029;0.031;0.2;0.094;0.839;0.133;0.022;0.02;1.0;0.03;0.023;0.029;0.026;0.367;0.025;0.019;0.433;0.019;0.367;0.097;1.0;0.367;0.467;0.028;0.021;0.733;0.258;0.2;0.033;0.606;0.022;0.567;0.167;0.028;0.02;0.02;0.536;0.022;0.194;0.032;0.606;0.519;0.519;0.964;0.964;0.027;0.074;0.026;0.037
ENST00000526828_90_90;0.075;0.071;0.667;0.75;0.0;0.0;0.0;0.143;0.235;0.2;0.03;1.0;0.267;0.8;0.4;0.071;0.364;0.16;0.062;0.167;0.0;0.0;0.03;0.071;0.0;0.571;0.211;0.0;0.0;0.111;0.25;0.038;0.25;0.0;0.125;0.571;0.2;0.182;0.071;0.25;0.0;0.5;0.038;0.077;0.077;0.032;0.032;0.364;0.2;0.333;0.25
ENST00000527347_90_90;0.283;0.268;0.4;0.2;0.0;0.0;0.0;0.056;0.882;0.75;0.023;0.267;1.0;0.333;0.667;0.04;0.733;0.6;0.037;0.625;0.0;0.0;0.023;0.04;0.0;0.467;0.789;0.0;0.0;0.05;0.067;0.027;0.824;0.0;0.053;0.467;0.75;0.682;0.268;0.938;0.0;0.133;0.027;0.269;0.269;0.024;0.024;0.786;0.067;0.857;0.071
ENST00000527392_90_90;0.094;0.089;0.833;0.6;0.0;0.0;0.0;0.125;0.294;0.25;0.029;0.8;0.333;1.0;0.5;0.067;0.455;0.2;0.059;0.208;0.0;0.0;0.029;0.067;0.0;0.714;0.263;0.0;0.0;0.1;0.2;0.037;0.312;0.0;0.111;0.714;0.25;0.227;0.089;0.312;0.0;0.4;0.037;0.096;0.096;0.031;0.031;0.455;0.167;0.417;0.2
ENST00000527473_90_90;0.189;0.179;0.6;0.3;0.0;0.0;0.0;0.077;0.588;0.5;0.026;0.4;0.667;0.5;1.0;0.05;0.909;0.4;0.045;0.417;0.0;0.0;0.026;0.05;0.0;0.7;0.526;0.0;0.0;0.067;0.1;0.031;0.625;0.0;0.071;0.7;0.5;0.455;0.179;0.625;0.0;0.2;0.031;0.173;0.173;0.028;0.028;0.818;0.1;0.75;0.111
ENST00000527510_90_90;0.189;0.196;0.062;0.077;0.214;0.0;0.226;0.364;0.037;0.033;0.367;0.071;0.04;0.067;0.05;1.0;0.048;0.029;0.846;0.029;0.158;0.0;0.367;0.833;0.136;0.059;0.034;0.1;0.25;0.545;0.091;0.478;0.038;0.12;0.455;0.059;0.033;0.031;0.196;0.038;0.0;0.083;0.478;0.192;0.192;0.357;0.357;0.05;0.2;0.048;0.1
ENST00000527516_90_90;0.208;0.196;0.545;0.273;0.0;0.0;0.0;0.071;0.647;0.55;0.025;0.364;0.733;0.455;0.909;0.048;1.0;0.44;0.043;0.458;0.0;0.0;0.025;0.048;0.0;0.636;0.579;0.0;0.0;0.062;0.091;0.03;0.688;0.0;0.067;0.636;0.55;0.5;0.196;0.688;0.0;0.182;0.03;0.192;0.192;0.027;0.027;0.909;0.091;0.833;0.1
ENST00000527930_90_90;0.434;0.397;0.24;0.12;0.0;0.0;0.0;0.036;0.68;0.8;0.019;0.16;0.6;0.2;0.4;0.029;0.44;1.0;0.027;0.885;0.0;0.0;0.019;0.029;0.0;0.28;0.76;0.0;0.0;0.033;0.04;0.067;0.577;0.0;0.034;0.28;0.731;0.88;0.397;0.64;0.0;0.08;0.067;0.404;0.404;0.021;0.021;0.524;0.045;0.571;0.048
ENST00000528196_90_90;0.226;0.232;0.056;0.067;0.357;0.0;0.29;0.308;0.034;0.031;0.433;0.062;0.037;0.059;0.045;0.846;0.043;0.027;1.0;0.028;0.263;0.0;0.433;0.846;0.227;0.053;0.032;0.167;0.375;0.462;0.077;0.565;0.036;0.2;0.385;0.053;0.031;0.029;0.232;0.036;0.0;0.071;0.565;0.231;0.231;0.429;0.429;0.045;0.167;0.043;0.083
ENST00000528523_90_90;0.453;0.429;0.25;0.125;0.0;0.0;0.0;0.037;0.708;0.833;0.019;0.167;0.625;0.208;0.417;0.029;0.458;0.885;0.028;1.0;0.0;0.0;0.019;0.029;0.0;0.292;0.792;0.0;0.0;0.034;0.042;0.022;0.538;0.0;0.036;0.292;0.692;0.917;0.429;0.667;0.0;0.083;0.022;0.423;0.423;0.02;0.02;0.5;0.043;0.545;0.045
ENST00000528527_90_90;0.208;0.196;0.0;0.0;0.545;0.0;0.407;0.0;0.0;0.0;0.367;0.0;0.0;0.0;0.0;0.158;0.0;0.0;0.263;0.0;1.0;0.071;0.367;0.158;0.667;0.0;0.0;0.5;0.538;0.0;0.0;0.478;0.0;0.647;0.0;0.0;0.0;0.0;0.196;0.0;0.0;0.0;0.478;0.212;0.212;0.393;0.393;0.0;0.0;0.0;0.0
ENST00000530338_90_90;0.057;0.053;0.0;0.0;0.0;0.0;0.107;0.0;0.0;0.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071;1.0;0.097;0.0;0.2;0.0;0.0;0.13;0.0;0.0;0.0;0.08;0.0;0.167;0.0;0.0;0.0;0.0;0.053;0.0;0.0;0.0;0.08;0.058;0.058;0.107;0.107;0.0;0.0;0.0;0.0
ENST00000530438_90_90;0.509;0.536;0.029;0.031;0.2;0.094;0.839;0.133;0.022;0.02;1.0;0.03;0.023;0.029;0.026;0.367;0.025;0.019;0.433;0.019;0.367;0.097;1.0;0.367;0.467;0.028;0.021;0.733;0.258;0.2;0.033;0.606;0.022;0.567;0.167;0.028;0.02;0.02;0.536;0.022;0.194;0.032;0.606;0.519;0.519;0.964;0.964;0.027;0.074;0.026;0.037
ENST00000530580_90_90;0.189;0.196;0.062;0.077;0.214;0.0;0.226;0.364;0.037;0.033;0.367;0.071;0.04;0.067;0.05;0.833;0.048;0.029;0.846;0.029;0.158;0.0;0.367;1.0;0.136;0.059;0.034;0.1;0.25;0.545;0.091;0.478;0.038;0.12;0.455;0.059;0.033;0.031;0.196;0.038;0.0;0.083;0.478;0.192;0.192;0.357;0.357;0.05;0.2;0.048;0.1
ENST00000530593_90_90;0.245;0.25;0.0;0.0;0.429;0.0;0.519;0.0;0.0;0.0;0.467;0.0;0.0;0.0;0.0;0.136;0.0;0.0;0.227;0.0;0.667;0.2;0.467;0.136;1.0;0.0;0.0;0.636;0.438;0.0;0.0;0.423;0.0;0.824;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.423;0.25;0.25;0.464;0.464;0.0;0.0;0.0;0.0
