;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.744;0.663;0.664;0.815;0.812;0.904;0.904;0.62;0.892;0.796;0.892;0.892
transcript47_ENSRNOG00000031503;0.744;1.0;0.877;0.894;0.725;0.722;0.672;0.672;0.545;0.657;0.739;0.657;0.657
transcript47_ENSMUGG00000013649;0.663;0.877;1.0;0.866;0.833;0.812;0.66;0.66;0.642;0.756;0.848;0.756;0.756
transcript47_ENSPEMG00000024651;0.664;0.894;0.866;1.0;0.715;0.712;0.751;0.751;0.538;0.647;0.729;0.647;0.647
transcript20_ENSMUGG00000013649;0.815;0.725;0.833;0.715;1.0;0.98;0.812;0.812;0.76;0.906;0.962;0.906;0.906
transcript20_ENSMUGG00000013592;0.812;0.722;0.812;0.712;0.98;1.0;0.81;0.81;0.74;0.887;0.941;0.887;0.887
transcript19_ENSPEMG00000024651;0.904;0.672;0.66;0.751;0.812;0.81;1.0;1.0;0.619;0.874;0.794;0.874;0.874
transcript38_ENSPEMG00000024651;0.904;0.672;0.66;0.751;0.812;0.81;1.0;1.0;0.619;0.874;0.794;0.874;0.874
transcript27_ENSNGAG00000018584;0.62;0.545;0.642;0.538;0.76;0.74;0.619;0.619;1.0;0.702;0.793;0.702;0.702
transcript7_ENSSTOG00000019743;0.892;0.657;0.756;0.647;0.906;0.887;0.874;0.874;0.702;1.0;0.887;1.0;1.0
transcript24_ENSSTOG00000019743;0.796;0.739;0.848;0.729;0.962;0.941;0.794;0.794;0.793;0.887;1.0;0.887;0.887
transcript25_ENSSTOG00000019743;0.892;0.657;0.756;0.647;0.906;0.887;0.874;0.874;0.702;1.0;0.887;1.0;1.0
transcript32_ENSSTOG00000019743;0.892;0.657;0.756;0.647;0.906;0.887;0.874;0.874;0.702;1.0;0.887;1.0;1.0
