id_transcript;block_sequence
ENSCAFT00000048678_90_90;0.2.4.5.6.9.10.11.12.13.14.15.16.17.18.19.20.21
ENST00000222597_90_90;0.1.3.4.5.6.7.11.12.13.14.15.16.17.18.19.20.21
ENST00000415884_90_90;0.1.3.4.5.6.7.10.11.13
ENST00000420796_90_90;5.6.7.10.11.12.13.14.15.16.17
ENST00000432748_90_90;0.1.3.4.5.6.7.8
ENST00000440859_90_90;0.1.3.4.5.6.7.10.11.12.13.14.15.16.17.18.19.20.21
ENSMUST00000064240_90_90;0.2.4.5.10.11.12.13.14.15.16.17.18.19.20.21
ENSMUST00000085487_90_90;0.2.4.5.6.9.10.11.12.13.14.15.17.18.20.21
ENSMUST00000101499_90_90;0.2.4.5.6.9.10.11.12.13.14.15.16.17.18.19.20.21
ENSMUST00000185739_90_90;0.2.4.5.6.9.11.12.13.14.15.16.17.18.19.20.21
ENSMUST00000188326_90_90;0.2.4.5.11.12.13.14.21
