;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.852;0.289;0.591;0.149;0.877;0.942;0.868;1.0;0.971;0.588
ENST00000222597_90_90;0.852;1.0;0.361;0.591;0.244;0.972;0.843;0.728;0.852;0.871;0.546
ENST00000415884_90_90;0.289;0.361;1.0;0.298;0.55;0.389;0.27;0.329;0.289;0.264;0.352
ENST00000420796_90_90;0.591;0.591;0.298;1.0;0.107;0.618;0.576;0.52;0.591;0.564;0.423
ENST00000432748_90_90;0.149;0.244;0.55;0.107;1.0;0.235;0.127;0.169;0.149;0.153;0.188
ENST00000440859_90_90;0.877;0.972;0.389;0.618;0.235;1.0;0.869;0.754;0.877;0.852;0.536
ENSMUST00000064240_90_90;0.942;0.843;0.27;0.576;0.127;0.869;1.0;0.809;0.942;0.912;0.621
ENSMUST00000085487_90_90;0.868;0.728;0.329;0.52;0.169;0.754;0.809;1.0;0.868;0.839;0.68
ENSMUST00000101499_90_90;1.0;0.852;0.289;0.591;0.149;0.877;0.942;0.868;1.0;0.971;0.588
ENSMUST00000185739_90_90;0.971;0.871;0.264;0.564;0.153;0.852;0.912;0.839;0.971;1.0;0.604
ENSMUST00000188326_90_90;0.588;0.546;0.352;0.423;0.188;0.536;0.621;0.68;0.588;0.604;1.0
