;ENSCAFT00000024529_90_90;ENST00000326194_90_90;ENST00000355961_90_90;ENST00000359882_90_90;ENST00000361988_90_90;ENST00000367574_90_90;ENST00000470275_90_90;ENST00000472520_90_90;ENST00000485288_90_90;ENST00000489940_90_90;ENST00000528612_90_90;ENST00000537758_90_90;ENSMUST00000077595_90_90;ENSMUST00000082320_90_90;ENSMUST00000089402_90_90;ENSMUST00000089403_90_90;ENSMUST00000122943_90_90;ENSMUST00000154695_90_90
ENSCAFT00000024529_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.164;0.212;0.187;0.989;0.39;0.384;0.382;0.389;0.0;0.0
ENST00000326194_90_90;1.0;1.0;0.989;0.987;0.976;0.987;0.187;0.108;0.164;0.212;0.187;0.989;0.39;0.384;0.382;0.389;0.0;0.0
ENST00000355961_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.393;0.387;0.385;0.392;0.0;0.0
ENST00000359882_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.394;0.387;0.386;0.392;0.0;0.0
ENST00000361988_90_90;0.976;0.976;0.987;0.989;1.0;0.989;0.191;0.111;0.167;0.217;0.191;0.987;0.397;0.39;0.389;0.395;0.0;0.0
ENST00000367574_90_90;0.987;0.987;0.976;1.0;0.989;1.0;0.189;0.11;0.166;0.215;0.189;0.976;0.394;0.387;0.386;0.392;0.0;0.0
ENST00000470275_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.186;0.188;0.19;0.188;0.0;0.0
ENST00000472520_90_90;0.108;0.108;0.11;0.11;0.111;0.11;0.5;1.0;0.293;0.443;0.5;0.11;0.108;0.109;0.11;0.109;0.0;0.0
ENST00000485288_90_90;0.164;0.164;0.165;0.166;0.167;0.166;0.573;0.293;1.0;0.426;0.573;0.165;0.324;0.328;0.332;0.329;0.127;0.036
ENST00000489940_90_90;0.212;0.212;0.214;0.215;0.217;0.215;0.675;0.443;0.426;1.0;0.675;0.214;0.211;0.202;0.198;0.208;0.0;0.0
ENST00000528612_90_90;0.187;0.187;0.189;0.189;0.191;0.189;1.0;0.5;0.573;0.675;1.0;0.189;0.186;0.188;0.19;0.188;0.0;0.0
ENST00000537758_90_90;0.989;0.989;1.0;0.976;0.987;0.976;0.189;0.11;0.165;0.214;0.189;1.0;0.393;0.387;0.385;0.392;0.0;0.0
ENSMUST00000077595_90_90;0.39;0.39;0.393;0.394;0.397;0.394;0.186;0.108;0.324;0.211;0.186;0.393;1.0;0.989;0.976;0.987;0.187;0.115
ENSMUST00000082320_90_90;0.384;0.384;0.387;0.387;0.39;0.387;0.188;0.109;0.328;0.202;0.188;0.387;0.989;1.0;0.987;0.976;0.189;0.116
ENSMUST00000089402_90_90;0.382;0.382;0.385;0.386;0.389;0.386;0.19;0.11;0.332;0.198;0.19;0.385;0.976;0.987;1.0;0.989;0.191;0.118
ENSMUST00000089403_90_90;0.389;0.389;0.392;0.392;0.395;0.392;0.188;0.109;0.329;0.208;0.188;0.392;0.987;0.976;0.989;1.0;0.189;0.116
ENSMUST00000122943_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127;0.0;0.0;0.0;0.187;0.189;0.191;0.189;1.0;0.484
ENSMUST00000154695_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036;0.0;0.0;0.0;0.115;0.116;0.118;0.116;0.484;1.0
