;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;1.0;0.818;1.0;0.364;0.818;0.182;0.364;0.818;0.545;0.818;0.364;1.0;0.727
ENST00000233892_90_90;0.818;1.0;0.818;0.3;1.0;0.222;0.182;0.8;0.364;0.8;0.182;0.818;0.889
ENST00000323303_90_90;1.0;0.818;1.0;0.364;0.818;0.182;0.364;0.818;0.545;0.818;0.364;1.0;0.727
ENST00000409355_90_90;0.364;0.3;0.364;1.0;0.3;0.0;0.333;0.444;0.111;0.444;0.333;0.364;0.333
ENST00000409360_90_90;0.818;1.0;0.818;0.3;1.0;0.222;0.182;0.8;0.364;0.8;0.182;0.818;0.889
ENST00000409916_90_90;0.182;0.222;0.182;0.0;0.222;1.0;0.0;0.222;0.333;0.222;0.0;0.182;0.111
ENST00000417097_90_90;0.364;0.182;0.364;0.333;0.182;0.0;1.0;0.182;0.429;0.182;1.0;0.364;0.2
ENST00000448447_90_90;0.818;0.8;0.818;0.444;0.8;0.222;0.182;1.0;0.364;1.0;0.182;0.818;0.7
ENSMUST00000027122_90_90;0.545;0.364;0.545;0.111;0.364;0.333;0.429;0.364;1.0;0.333;0.375;0.5;0.25
ENSMUST00000159311_90_90;0.818;0.8;0.818;0.444;0.8;0.222;0.182;1.0;0.333;1.0;0.182;0.818;0.7
ENSMUST00000161122_90_90;0.364;0.182;0.364;0.333;0.182;0.0;1.0;0.182;0.375;0.182;1.0;0.364;0.2
ENSMUST00000162364_90_90;1.0;0.818;1.0;0.364;0.818;0.182;0.364;0.818;0.5;0.818;0.364;1.0;0.727
ENSMUST00000162553_90_90;0.727;0.889;0.727;0.333;0.889;0.111;0.2;0.7;0.25;0.7;0.2;0.727;1.0
