;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.923;0.278;0.544;0.227;0.154;0.222;0.072;0.106;0.017;0.017;0.017;0.0;0.018;0.048;0.024;0.012;0.061;0.017;0.158;0.017;0.017;0.017;0.045;0.088;0.222;0.086;0.048;0.234;0.104;0.24;0.003;0.071;0.899;0.978;0.868;0.894;0.573;0.946;0.925;0.556;0.384;0.349;0.404;0.275;0.966;0.934;0.416;0.033;0.419;0.234;0.017;0.35;0.139;0.416;0.017;0.041;0.274;0.017;0.044;0.0;0.017;0.237;0.232;0.238;0.071;0.036;0.073;0.218;0.237;0.069;0.057
ENSCAFT00000045695_90_90;0.923;1.0;0.307;0.558;0.226;0.154;0.221;0.074;0.108;0.003;0.003;0.003;0.008;0.003;0.051;0.027;0.017;0.064;0.003;0.153;0.003;0.003;0.003;0.044;0.085;0.221;0.084;0.065;0.238;0.123;0.243;0.0;0.076;0.866;0.908;0.9;0.891;0.526;0.941;0.858;0.565;0.397;0.362;0.391;0.331;0.936;0.969;0.405;0.032;0.408;0.228;0.003;0.34;0.135;0.405;0.003;0.039;0.266;0.003;0.043;0.008;0.003;0.241;0.236;0.254;0.076;0.038;0.071;0.211;0.241;0.077;0.043
ENSCAFT00000013241_90_90;0.278;0.307;1.0;0.179;0.09;0.102;0.09;0.132;0.185;0.065;0.065;0.065;0.076;0.045;0.143;0.071;0.061;0.139;0.065;0.0;0.065;0.065;0.065;0.0;0.0;0.091;0.0;0.14;0.475;0.223;0.461;0.033;0.224;0.219;0.274;0.242;0.261;0.365;0.297;0.238;0.397;0.482;0.468;0.144;0.424;0.288;0.312;0.14;0.06;0.138;0.192;0.065;0.158;0.182;0.14;0.065;0.071;0.0;0.065;0.071;0.076;0.065;0.457;0.471;0.414;0.224;0.071;0.165;0.295;0.457;0.232;0.064
ENSCAFT00000019370_90_90;0.544;0.558;0.179;1.0;0.161;0.103;0.159;0.055;0.045;0.009;0.009;0.009;0.0;0.009;0.03;0.017;0.0;0.043;0.009;0.123;0.009;0.009;0.009;0.037;0.049;0.155;0.056;0.007;0.153;0.045;0.158;0.0;0.013;0.572;0.538;0.592;0.578;0.355;0.557;0.558;0.384;0.219;0.198;0.284;0.166;0.538;0.557;0.313;0.021;0.313;0.203;0.009;0.258;0.121;0.313;0.009;0.013;0.24;0.009;0.025;0.0;0.009;0.155;0.15;0.161;0.013;0.013;0.07;0.181;0.155;0.013;0.062
ENST00000253363_90_90;0.227;0.226;0.09;0.161;1.0;0.725;0.982;0.416;0.066;0.04;0.04;0.04;0.039;0.0;0.17;0.074;0.075;0.348;0.04;0.595;0.04;0.04;0.04;0.09;0.343;0.964;0.277;0.029;0.102;0.026;0.105;0.041;0.041;0.232;0.222;0.227;0.222;0.085;0.216;0.228;0.08;0.054;0.055;0.208;0.044;0.229;0.224;0.48;0.041;0.474;0.21;0.04;0.34;0.126;0.48;0.04;0.041;0.277;0.04;0.04;0.039;0.04;0.105;0.102;0.099;0.041;0.0;0.115;0.088;0.105;0.026;0.015
ENST00000338163_90_90;0.154;0.154;0.102;0.103;0.725;1.0;0.738;0.528;0.081;0.05;0.05;0.05;0.048;0.0;0.215;0.092;0.096;0.441;0.05;0.474;0.05;0.05;0.05;0.114;0.427;0.691;0.348;0.035;0.117;0.032;0.12;0.051;0.049;0.155;0.148;0.151;0.148;0.099;0.145;0.152;0.092;0.062;0.065;0.248;0.052;0.156;0.152;0.329;0.052;0.325;0.251;0.05;0.384;0.154;0.329;0.05;0.051;0.233;0.05;0.05;0.048;0.05;0.12;0.117;0.113;0.049;0.0;0.143;0.104;0.12;0.031;0.018
ENST00000361162_90_90;0.222;0.221;0.09;0.159;0.982;0.738;1.0;0.424;0.067;0.041;0.041;0.041;0.04;0.0;0.172;0.075;0.077;0.355;0.041;0.578;0.041;0.041;0.041;0.092;0.349;0.947;0.281;0.029;0.103;0.026;0.106;0.041;0.041;0.228;0.217;0.222;0.217;0.086;0.212;0.223;0.081;0.054;0.056;0.211;0.044;0.225;0.22;0.487;0.041;0.48;0.213;0.041;0.332;0.128;0.487;0.041;0.041;0.281;0.041;0.041;0.04;0.041;0.106;0.103;0.1;0.041;0.0;0.117;0.089;0.106;0.026;0.015
ENST00000374038_90_90;0.072;0.074;0.132;0.055;0.416;0.528;0.424;1.0;0.134;0.088;0.088;0.088;0.083;0.0;0.409;0.17;0.179;0.819;0.088;0.193;0.088;0.088;0.088;0.0;0.168;0.382;0.0;0.057;0.155;0.048;0.16;0.093;0.074;0.069;0.067;0.067;0.065;0.092;0.065;0.067;0.089;0.088;0.092;0.188;0.075;0.075;0.073;0.187;0.095;0.184;0.318;0.088;0.224;0.251;0.187;0.088;0.092;0.093;0.088;0.089;0.083;0.088;0.16;0.155;0.155;0.074;0.0;0.247;0.148;0.16;0.047;0.029
ENST00000397370_90_90;0.106;0.108;0.185;0.045;0.066;0.081;0.067;0.134;1.0;0.144;0.144;0.144;0.129;0.0;0.125;0.294;0.321;0.151;0.144;0.0;0.144;0.144;0.144;0.0;0.0;0.068;0.0;0.242;0.097;0.183;0.101;0.159;0.303;0.058;0.103;0.056;0.064;0.156;0.099;0.067;0.15;0.241;0.258;0.0;0.28;0.102;0.099;0.059;0.37;0.058;0.101;0.144;0.071;0.153;0.059;0.144;0.407;0.0;0.144;0.285;0.129;0.144;0.101;0.097;0.09;0.303;0.18;0.0;0.0;0.101;0.254;0.039
ENST00000403542_90_90;0.017;0.003;0.065;0.009;0.04;0.05;0.041;0.088;0.144;1.0;1.0;1.0;0.205;0.6;0.038;0.243;0.278;0.103;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.041;0.0;0.0;0.058;0.0;0.06;0.43;0.144;0.0;0.021;0.0;0.021;0.033;0.02;0.021;0.022;0.0;0.0;0.0;0.0;0.023;0.022;0.036;0.284;0.036;0.066;1.0;0.044;0.108;0.036;1.0;0.27;0.0;1.0;0.246;0.205;1.0;0.06;0.058;0.0;0.144;0.0;0.0;0.0;0.06;0.077;0.183
