;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.992;0.767;0.797;0.381;0.689;0.208;0.284;0.247;0.995;0.769;0.21
ENST00000301244_90_90;0.992;1.0;0.774;0.802;0.383;0.693;0.208;0.287;0.247;0.987;0.762;0.208
ENST00000454580_90_90;0.767;0.774;1.0;0.673;0.492;0.467;0.042;0.355;0.084;0.762;0.983;0.265
ENST00000587090_90_90;0.797;0.802;0.673;1.0;0.475;0.495;0.259;0.345;0.309;0.792;0.663;0.082
ENST00000587334_90_90;0.381;0.383;0.492;0.475;1.0;0.175;0.0;0.233;0.0;0.381;0.489;0.0
ENST00000587516_90_90;0.689;0.693;0.467;0.495;0.175;1.0;0.229;0.371;0.217;0.684;0.459;0.17
ENST00000590510_90_90;0.208;0.208;0.042;0.259;0.0;0.229;1.0;0.0;0.84;0.208;0.042;0.088
ENST00000590738_90_90;0.284;0.287;0.355;0.345;0.233;0.371;0.0;1.0;0.0;0.281;0.347;0.003
ENST00000592007_90_90;0.247;0.247;0.084;0.309;0.0;0.217;0.84;0.0;1.0;0.247;0.084;0.176
ENSMUST00000098604_90_90;0.995;0.987;0.762;0.792;0.381;0.684;0.208;0.281;0.247;1.0;0.774;0.207
ENSMUST00000108236_90_90;0.769;0.762;0.983;0.663;0.489;0.459;0.042;0.347;0.084;0.774;1.0;0.263
ENSMUST00000207601_90_90;0.21;0.208;0.265;0.082;0.0;0.17;0.088;0.003;0.176;0.207;0.263;1.0
