;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.9;0.545;0.818;0.545;0.818;0.75;0.091;0.818;0.636;0.727;0.636
ENSCAFT00000027252_90_90;0.9;1.0;0.455;0.727;0.455;0.727;0.667;0.1;0.727;0.545;0.636;0.545
ENST00000327028_90_90;0.545;0.455;1.0;0.7;1.0;0.7;0.636;0.286;0.7;0.667;0.778;0.667
ENST00000343765_90_90;0.818;0.727;0.7;1.0;0.7;1.0;0.909;0.2;1.0;0.8;0.9;0.8
ENST00000448935_90_90;0.545;0.455;1.0;0.7;1.0;0.7;0.636;0.286;0.7;0.667;0.778;0.667
ENST00000553888_90_90;0.818;0.727;0.7;1.0;0.7;1.0;0.909;0.2;1.0;0.8;0.9;0.8
ENST00000556412_90_90;0.75;0.667;0.636;0.909;0.636;0.909;1.0;0.182;0.909;0.727;0.818;0.727
ENST00000557466_90_90;0.091;0.1;0.286;0.2;0.286;0.2;0.182;1.0;0.2;0.25;0.222;0.25
ENST00000557658_90_90;0.818;0.727;0.7;1.0;0.7;1.0;0.909;0.2;1.0;0.8;0.9;0.8
ENSMUST00000021426_90_90;0.636;0.545;0.667;0.8;0.667;0.8;0.727;0.25;0.8;1.0;0.889;1.0
ENSMUST00000072744_90_90;0.727;0.636;0.778;0.9;0.778;0.9;0.818;0.222;0.9;0.889;1.0;0.889
ENSMUST00000179379_90_90;0.636;0.545;0.667;0.8;0.667;0.8;0.727;0.25;0.8;1.0;0.889;1.0
