;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.737;0.5;0.833;0.778;0.944;0.111;0.111;0.889;0.765;1.0;0.824;0.118;0.176;0.059;0.765
ENSCAFT00000001399_90_90;0.737;1.0;0.588;0.933;1.0;0.824;0.143;0.143;0.765;1.0;0.765;0.929;0.154;0.231;0.077;0.857
ENSCAFT00000001401_90_90;0.5;0.588;1.0;0.667;0.714;0.588;0.2;0.0;0.529;0.692;0.529;0.643;0.0;0.333;0.111;0.571
ENST00000378735_90_90;0.833;0.933;0.667;1.0;0.944;0.857;0.105;0.111;0.81;0.938;0.842;1.0;0.125;0.25;0.062;0.938
ENST00000378746_90_90;0.778;1.0;0.714;0.944;1.0;0.81;0.111;0.118;0.762;1.0;0.789;0.938;0.133;0.267;0.067;0.875
ENST00000403231_90_90;0.944;0.824;0.588;0.857;0.81;1.0;0.091;0.095;0.783;0.833;0.947;0.889;0.111;0.222;0.056;0.833
ENST00000428744_90_90;0.111;0.143;0.2;0.105;0.111;0.091;1.0;0.0;0.095;0.133;0.105;0.125;0.0;0.5;0.5;0.133
ENST00000450441_90_90;0.111;0.143;0.0;0.111;0.118;0.095;0.0;1.0;0.1;0.133;0.105;0.125;1.0;0.0;0.0;0.133
ENST00000618515_90_90;0.889;0.765;0.529;0.81;0.762;0.783;0.095;0.1;1.0;0.778;0.895;0.833;0.118;0.235;0.059;0.778
ENSMUST00000057330_90_90;0.765;1.0;0.692;0.938;1.0;0.833;0.133;0.133;0.778;1.0;0.8;0.941;0.125;0.25;0.059;0.882
ENSMUST00000118353_90_90;1.0;0.765;0.529;0.842;0.789;0.947;0.105;0.105;0.895;0.8;1.0;0.85;0.1;0.2;0.048;0.8
ENSMUST00000120613_90_90;0.824;0.929;0.643;1.0;0.938;0.889;0.125;0.125;0.833;0.941;0.85;1.0;0.118;0.235;0.056;0.941
ENSMUST00000130037_90_90;0.118;0.154;0.0;0.125;0.133;0.111;0.0;1.0;0.118;0.125;0.1;0.118;1.0;0.0;0.0;0.125
ENSMUST00000132496_90_90;0.176;0.231;0.333;0.25;0.267;0.222;0.5;0.0;0.235;0.25;0.2;0.235;0.0;1.0;0.2;0.25
ENSMUST00000132653_90_90;0.059;0.077;0.111;0.062;0.067;0.056;0.5;0.0;0.059;0.059;0.048;0.056;0.0;0.2;1.0;0.059
ENSMUST00000173744_90_90;0.765;0.857;0.571;0.938;0.875;0.833;0.133;0.133;0.778;0.882;0.8;0.941;0.125;0.25;0.059;1.0
