;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.92;0.51;0.742;0.155;0.198;0.613;0.649;0.395;1.0;0.828
ENST00000360057_90_90;0.92;1.0;0.54;0.828;0.12;0.217;0.544;0.7;0.332;0.92;0.742
ENST00000378098_90_90;0.51;0.54;1.0;0.645;0.169;0.348;0.353;0.756;0.056;0.51;0.619
ENST00000378099_90_90;0.742;0.828;0.645;1.0;0.138;0.258;0.639;0.589;0.182;0.742;0.905
ENST00000482940_90_90;0.155;0.12;0.169;0.138;1.0;0.282;0.351;0.158;0.0;0.155;0.186
ENST00000489798_90_90;0.198;0.217;0.348;0.258;0.282;1.0;0.274;0.303;0.0;0.198;0.239
ENST00000538212_90_90;0.613;0.544;0.353;0.639;0.351;0.274;1.0;0.329;0.19;0.613;0.746
ENST00000552881_90_90;0.649;0.7;0.756;0.589;0.158;0.303;0.329;1.0;0.193;0.649;0.532
ENST00000639328_90_90;0.395;0.332;0.056;0.182;0.0;0.0;0.19;0.193;1.0;0.395;0.217
ENSMUST00000067888_90_90;1.0;0.92;0.51;0.742;0.155;0.198;0.613;0.649;0.395;1.0;0.828
ENSMUST00000114644_90_90;0.828;0.742;0.619;0.905;0.186;0.239;0.746;0.532;0.217;0.828;1.0
