;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.766;0.459;0.459;0.766;0.118;0.485;0.29;0.459;0.118;0.541;0.459;0.459;0.459;0.485;0.708;0.118;0.118;0.998;0.998;0.998;0.684;0.444;0.403
ENST00000249647_90_90;0.766;1.0;0.586;0.586;0.719;0.127;0.666;0.173;0.406;0.13;0.702;0.331;0.331;0.331;0.673;0.625;0.127;0.13;0.693;0.693;0.592;0.433;0.485;0.45
ENST00000349777_90_90;0.459;0.586;1.0;1.0;0.388;0.217;0.27;0.276;0.688;0.223;0.288;0.516;0.516;0.516;0.274;0.43;0.217;0.223;0.432;0.432;0.376;0.699;0.778;0.714
ENST00000397138_90_90;0.459;0.586;1.0;1.0;0.388;0.217;0.27;0.276;0.688;0.223;0.288;0.516;0.516;0.516;0.274;0.43;0.217;0.223;0.432;0.432;0.376;0.699;0.778;0.714
ENST00000561526_90_90;0.766;0.719;0.388;0.388;1.0;0.179;0.494;0.24;0.438;0.186;0.576;0.481;0.481;0.481;0.498;0.869;0.179;0.186;0.76;0.76;0.653;0.498;0.61;0.586
ENST00000563765_90_90;0.118;0.127;0.217;0.217;0.179;1.0;0.0;0.0;0.248;0.558;0.0;0.248;0.248;0.248;0.0;0.203;1.0;0.558;0.154;0.154;0.136;0.243;0.308;0.355
ENST00000563830_90_90;0.485;0.666;0.27;0.27;0.494;0.0;1.0;0.2;0.117;0.0;0.853;0.126;0.126;0.126;0.887;0.398;0.0;0.0;0.419;0.419;0.357;0.152;0.176;0.135
ENST00000563873_90_90;0.29;0.173;0.276;0.276;0.24;0.0;0.2;1.0;0.312;0.0;0.188;0.319;0.319;0.319;0.186;0.268;0.0;0.0;0.26;0.26;0.226;0.416;0.478;0.409
ENST00000564153_90_90;0.459;0.406;0.688;0.688;0.438;0.248;0.117;0.312;1.0;0.256;0.16;0.594;0.594;0.594;0.118;0.49;0.248;0.256;0.45;0.45;0.392;0.726;0.834;0.776
ENST00000566035_90_90;0.118;0.13;0.223;0.223;0.186;0.558;0.0;0.0;0.256;1.0;0.0;0.26;0.26;0.26;0.0;0.212;0.558;1.0;0.154;0.154;0.136;0.243;0.308;0.355
ENST00000566327_90_90;0.541;0.702;0.288;0.288;0.576;0.0;0.853;0.188;0.16;0.0;1.0;0.169;0.169;0.169;0.866;0.471;0.0;0.0;0.476;0.476;0.407;0.209;0.241;0.202
ENST00000567094_90_90;0.459;0.331;0.516;0.516;0.481;0.248;0.126;0.319;0.594;0.26;0.169;1.0;1.0;1.0;0.128;0.543;0.248;0.26;0.425;0.425;0.521;0.616;0.781;0.758
ENST00000568331_90_90;0.459;0.331;0.516;0.516;0.481;0.248;0.126;0.319;0.594;0.26;0.169;1.0;1.0;1.0;0.128;0.543;0.248;0.26;0.425;0.425;0.521;0.616;0.781;0.758
ENST00000568451_90_90;0.459;0.331;0.516;0.516;0.481;0.248;0.126;0.319;0.594;0.26;0.169;1.0;1.0;1.0;0.128;0.543;0.248;0.26;0.425;0.425;0.521;0.616;0.781;0.758
ENST00000568841_90_90;0.485;0.673;0.274;0.274;0.498;0.0;0.887;0.186;0.118;0.0;0.866;0.128;0.128;0.128;1.0;0.401;0.0;0.0;0.42;0.42;0.359;0.153;0.178;0.137
ENST00000568859_90_90;0.708;0.625;0.43;0.43;0.869;0.203;0.398;0.268;0.49;0.212;0.471;0.543;0.543;0.543;0.401;1.0;0.203;0.212;0.709;0.709;0.611;0.536;0.669;0.647
ENST00000626061_90_90;0.118;0.127;0.217;0.217;0.179;1.0;0.0;0.0;0.248;0.558;0.0;0.248;0.248;0.248;0.0;0.203;1.0;0.558;0.154;0.154;0.136;0.243;0.308;0.355
ENST00000627440_90_90;0.118;0.13;0.223;0.223;0.186;0.558;0.0;0.0;0.256;1.0;0.0;0.26;0.26;0.26;0.0;0.212;0.558;1.0;0.154;0.154;0.136;0.243;0.308;0.355
ENSMUST00000028743_90_90;0.998;0.693;0.432;0.432;0.76;0.154;0.419;0.26;0.45;0.154;0.476;0.425;0.425;0.425;0.42;0.709;0.154;0.154;1.0;1.0;0.88;0.679;0.424;0.41
ENSMUST00000110711_90_90;0.998;0.693;0.432;0.432;0.76;0.154;0.419;0.26;0.45;0.154;0.476;0.425;0.425;0.425;0.42;0.709;0.154;0.154;1.0;1.0;0.88;0.679;0.424;0.41
ENSMUST00000116437_90_90;0.998;0.592;0.376;0.376;0.653;0.136;0.357;0.226;0.392;0.136;0.407;0.521;0.521;0.521;0.359;0.611;0.136;0.136;0.88;0.88;1.0;0.604;0.374;0.361
ENSMUST00000142278_90_90;0.684;0.433;0.699;0.699;0.498;0.243;0.152;0.416;0.726;0.243;0.209;0.616;0.616;0.616;0.153;0.536;0.243;0.243;0.679;0.679;0.604;1.0;0.623;0.615
ENSMUST00000150611_90_90;0.444;0.485;0.778;0.778;0.61;0.308;0.176;0.478;0.834;0.308;0.241;0.781;0.781;0.781;0.178;0.669;0.308;0.308;0.424;0.424;0.374;0.623;1.0;0.826
ENSMUST00000153580_90_90;0.403;0.45;0.714;0.714;0.586;0.355;0.135;0.409;0.776;0.355;0.202;0.758;0.758;0.758;0.137;0.647;0.355;0.355;0.41;0.41;0.361;0.615;0.826;1.0
