;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.843;0.885;0.843;0.851;0.886;0.444;0.859;0.717;0.157;0.202;0.851;0.336;0.844;0.238;0.851
ENST00000265997_90_90;0.843;1.0;0.894;1.0;0.841;0.797;0.481;0.777;0.643;0.118;0.16;0.841;0.283;0.889;0.194;0.841
ENST00000412050_90_90;0.885;0.894;1.0;0.894;0.807;0.884;0.444;0.857;0.715;0.122;0.166;0.807;0.294;0.797;0.201;0.807
ENST00000614585_90_90;0.843;1.0;0.894;1.0;0.841;0.797;0.481;0.777;0.643;0.118;0.16;0.841;0.283;0.889;0.194;0.841
ENSMUST00000079754_90_90;0.851;0.841;0.807;0.841;1.0;0.899;0.5;0.931;0.787;0.172;0.214;1.0;0.336;0.935;0.247;1.0
ENSMUST00000123727_90_90;0.886;0.797;0.884;0.797;0.899;1.0;0.444;0.964;0.811;0.195;0.241;0.899;0.381;0.894;0.28;0.899
ENSMUST00000124158_90_90;0.444;0.481;0.444;0.481;0.5;0.444;1.0;0.431;0.303;0.0;0.0;0.5;0.0;0.481;0.0;0.5
ENSMUST00000126188_90_90;0.859;0.777;0.857;0.777;0.931;0.964;0.431;1.0;0.845;0.186;0.231;0.931;0.365;0.867;0.268;0.931
ENSMUST00000126781_90_90;0.717;0.643;0.715;0.643;0.787;0.811;0.303;0.845;1.0;0.203;0.252;0.787;0.395;0.726;0.29;0.787
ENSMUST00000128642_90_90;0.157;0.118;0.122;0.118;0.172;0.195;0.0;0.186;0.203;1.0;0.807;0.172;0.516;0.186;0.709;0.172
ENSMUST00000131917_90_90;0.202;0.16;0.166;0.16;0.214;0.241;0.0;0.231;0.252;0.807;1.0;0.214;0.639;0.231;0.877;0.214
ENSMUST00000132580_90_90;0.851;0.841;0.807;0.841;1.0;0.899;0.5;0.931;0.787;0.172;0.214;1.0;0.336;0.935;0.247;1.0
ENSMUST00000133988_90_90;0.336;0.283;0.294;0.283;0.336;0.381;0.0;0.365;0.395;0.516;0.639;0.336;1.0;0.364;0.73;0.336
ENSMUST00000136286_90_90;0.844;0.889;0.797;0.889;0.935;0.894;0.481;0.867;0.726;0.186;0.231;0.935;0.364;1.0;0.267;0.935
ENSMUST00000142973_90_90;0.238;0.194;0.201;0.194;0.247;0.28;0.0;0.268;0.29;0.709;0.877;0.247;0.73;0.267;1.0;0.247
ENSMUST00000154376_90_90;0.851;0.841;0.807;0.841;1.0;0.899;0.5;0.931;0.787;0.172;0.214;1.0;0.336;0.935;0.247;1.0
