;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.998;0.915;0.678;0.915;0.105;0.105;0.048;0.127;0.374;0.433;0.12;0.217;0.105;0.438;0.599;0.438;0.069;0.056;0.543;0.056;0.0
ENST00000293872_90_90;0.998;1.0;0.901;0.651;0.901;0.126;0.126;0.076;0.117;0.377;0.412;0.133;0.206;0.126;0.426;0.571;0.426;0.036;0.1;0.487;0.099;0.0
ENST00000337351_90_90;0.915;0.901;1.0;0.734;1.0;0.132;0.132;0.08;0.123;0.291;0.448;0.165;0.222;0.132;0.432;0.581;0.432;0.037;0.102;0.499;0.102;0.0
ENST00000397780_90_90;0.678;0.651;0.734;1.0;0.734;0.0;0.0;0.0;0.176;0.389;0.601;0.226;0.301;0.0;0.095;0.243;0.095;0.0;0.0;0.3;0.0;0.0
ENST00000397783_90_90;0.915;0.901;1.0;0.734;1.0;0.132;0.132;0.08;0.123;0.291;0.448;0.165;0.222;0.132;0.432;0.581;0.432;0.037;0.102;0.499;0.102;0.0
ENST00000418978_90_90;0.105;0.126;0.132;0.0;0.132;1.0;1.0;0.282;0.0;0.0;0.0;0.0;0.0;1.0;0.244;0.199;0.244;0.097;0.653;0.094;0.264;0.0
ENST00000419516_90_90;0.105;0.126;0.132;0.0;0.132;1.0;1.0;0.282;0.0;0.0;0.0;0.0;0.0;1.0;0.244;0.199;0.244;0.097;0.653;0.094;0.264;0.0
ENST00000426094_90_90;0.048;0.076;0.08;0.0;0.08;0.282;0.282;1.0;0.0;0.0;0.0;0.0;0.0;0.282;0.151;0.122;0.151;0.0;0.336;0.0;0.797;0.0
ENST00000428363_90_90;0.127;0.117;0.123;0.176;0.123;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.141;0.077;0.141;0.0;0.0;0.11;0.0;0.0
ENST00000429378_90_90;0.374;0.377;0.291;0.389;0.291;0.0;0.0;0.0;0.0;1.0;0.327;0.34;0.212;0.0;0.0;0.128;0.0;0.0;0.0;0.166;0.0;0.0
ENST00000430864_90_90;0.433;0.412;0.448;0.601;0.448;0.0;0.0;0.0;0.0;0.327;1.0;0.048;0.508;0.0;0.0;0.193;0.0;0.0;0.0;0.246;0.0;0.0
ENST00000442701_90_90;0.12;0.133;0.165;0.226;0.165;0.0;0.0;0.0;0.0;0.34;0.048;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000443357_90_90;0.217;0.206;0.222;0.301;0.222;0.0;0.0;0.0;0.0;0.212;0.508;0.0;1.0;0.0;0.0;0.178;0.0;0.0;0.0;0.253;0.0;0.0
ENST00000629543_90_90;0.105;0.126;0.132;0.0;0.132;1.0;1.0;0.282;0.0;0.0;0.0;0.0;0.0;1.0;0.244;0.199;0.244;0.097;0.653;0.094;0.264;0.0
ENSMUST00000025023_90_90;0.438;0.426;0.432;0.095;0.432;0.244;0.244;0.151;0.141;0.0;0.0;0.0;0.0;0.244;1.0;0.805;1.0;0.404;0.158;0.416;0.074;0.158
ENSMUST00000114976_90_90;0.599;0.571;0.581;0.243;0.581;0.199;0.199;0.122;0.077;0.128;0.193;0.0;0.178;0.199;0.805;1.0;0.805;0.341;0.133;0.608;0.061;0.134
ENSMUST00000119928_90_90;0.438;0.426;0.432;0.095;0.432;0.244;0.244;0.151;0.141;0.0;0.0;0.0;0.0;0.244;1.0;0.805;1.0;0.404;0.158;0.416;0.074;0.158
ENSMUST00000140427_90_90;0.069;0.036;0.037;0.0;0.037;0.097;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.097;0.404;0.341;0.404;1.0;0.0;0.181;0.0;0.138
ENSMUST00000148894_90_90;0.056;0.1;0.102;0.0;0.102;0.653;0.653;0.336;0.0;0.0;0.0;0.0;0.0;0.653;0.158;0.133;0.158;0.0;1.0;0.0;0.216;0.058
ENSMUST00000152107_90_90;0.543;0.487;0.499;0.3;0.499;0.094;0.094;0.0;0.11;0.166;0.246;0.0;0.253;0.094;0.416;0.608;0.416;0.181;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.056;0.099;0.102;0.0;0.102;0.264;0.264;0.797;0.0;0.0;0.0;0.0;0.0;0.264;0.074;0.061;0.074;0.0;0.216;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.158;0.134;0.158;0.138;0.058;0.0;0.0;1.0
