;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;1.0;0.707;0.684;0.727;0.705;0.727;0.636;0.681;0.707;0.681;0.719;0.341;0.308;0.352;0.311;0.315;0.329;0.352;0.322;0.333;0.36;0.315;0.268;0.341;0.374;0.308;0.312;0.312;0.383;0.383
transcript7_ENSMUSG00000054036;1.0;1.0;0.707;0.684;0.727;0.705;0.727;0.636;0.681;0.707;0.681;0.719;0.341;0.308;0.352;0.311;0.315;0.329;0.352;0.322;0.333;0.36;0.315;0.268;0.341;0.374;0.308;0.312;0.312;0.383;0.383
transcript26_ENSMSIG00000000513;0.707;0.707;1.0;0.948;0.603;0.586;0.603;0.534;0.655;1.0;0.655;0.983;0.35;0.32;0.359;0.311;0.301;0.31;0.333;0.282;0.284;0.314;0.301;0.274;0.472;0.533;0.337;0.326;0.326;0.542;0.542
transcript26_MGP-PahariEiJ-G0020237;0.684;0.684;0.948;1.0;0.579;0.561;0.579;0.509;0.632;0.948;0.632;0.931;0.333;0.304;0.343;0.294;0.284;0.291;0.317;0.265;0.264;0.298;0.284;0.253;0.438;0.505;0.318;0.307;0.307;0.514;0.514
transcript41_ENSMSIG00000000513;0.727;0.727;0.603;0.579;1.0;0.971;1.0;0.886;0.921;0.603;0.921;0.614;0.415;0.378;0.427;0.366;0.354;0.379;0.393;0.362;0.385;0.402;0.354;0.333;0.333;0.318;0.391;0.397;0.397;0.327;0.327
transcript41_MGP-SPRETEiJ-G0021131;0.705;0.705;0.586;0.561;0.971;1.0;0.971;0.857;0.895;0.586;0.895;0.596;0.42;0.366;0.415;0.354;0.341;0.364;0.381;0.35;0.369;0.39;0.341;0.317;0.321;0.308;0.377;0.382;0.382;0.318;0.318
transcript43_ENSMSIG00000000513;0.727;0.727;0.603;0.579;1.0;0.971;1.0;0.886;0.921;0.603;0.921;0.614;0.415;0.378;0.427;0.366;0.354;0.379;0.393;0.362;0.385;0.402;0.354;0.333;0.333;0.318;0.391;0.397;0.397;0.327;0.327
transcript43_MGP-CAROLIEiJ-G0020234;0.636;0.636;0.534;0.509;0.886;0.857;0.886;1.0;0.816;0.534;0.816;0.544;0.366;0.397;0.378;0.385;0.372;0.318;0.345;0.382;0.323;0.354;0.372;0.311;0.284;0.28;0.333;0.338;0.338;0.29;0.29
transcript46_ENSMSIG00000000513;0.681;0.681;0.655;0.632;0.921;0.895;0.921;0.816;1.0;0.655;1.0;0.638;0.434;0.398;0.446;0.386;0.373;0.403;0.412;0.349;0.368;0.388;0.373;0.359;0.37;0.346;0.435;0.42;0.42;0.355;0.355
transcript47_ENSMSIG00000000513;0.707;0.707;1.0;0.948;0.603;0.586;0.603;0.534;0.655;1.0;0.655;0.983;0.35;0.32;0.359;0.311;0.301;0.31;0.333;0.282;0.284;0.314;0.301;0.274;0.472;0.533;0.337;0.326;0.326;0.542;0.542
